"plj0047","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","no migration background","in school","","","",""
"Big worries","1992","no migration background","inadequately","","","",""
"Big worries","1992","no migration background","general elemantary","","","",""
"Big worries","1992","no migration background","middle vocational","","","",""
"Big worries","1992","no migration background","vocational + Abi","","","",""
"Big worries","1992","no migration background","higher vocational","","","",""
"Big worries","1992","no migration background","higher education","","","",""
"Big worries","1992","direct migration background","in school","1","","",""
"Big worries","1992","direct migration background","inadequately","187","0.410965952410793","0.367579140659852","0.454352764161734"
"Big worries","1992","direct migration background","general elemantary","269","0.41171135260324","0.374963654899057","0.448459050307423"
"Big worries","1992","direct migration background","middle vocational","204","0.424429421410953","0.383197783632285","0.46566105918962"
"Big worries","1992","direct migration background","vocational + Abi","29","","",""
"Big worries","1992","direct migration background","higher vocational","8","","",""
"Big worries","1992","direct migration background","higher education","17","","",""
"Big worries","1992","indirect migration background","in school","17","","",""
"Big worries","1992","indirect migration background","inadequately","8","","",""
"Big worries","1992","indirect migration background","general elemantary","58","0.493830310456603","0.408540320290333","0.579120300622872"
"Big worries","1992","indirect migration background","middle vocational","34","0.401548281912274","0.302972612844663","0.500123950979885"
"Big worries","1992","indirect migration background","vocational + Abi","7","","",""
"Big worries","1992","indirect migration background","higher vocational","2","","",""
"Big worries","1992","indirect migration background","higher education","","","",""
"Some worries","1992","no migration background","in school","","","",""
"Some worries","1992","no migration background","inadequately","","","",""
"Some worries","1992","no migration background","general elemantary","","","",""
"Some worries","1992","no migration background","middle vocational","","","",""
"Some worries","1992","no migration background","vocational + Abi","","","",""
"Some worries","1992","no migration background","higher vocational","","","",""
"Some worries","1992","no migration background","higher education","","","",""
"Some worries","1992","direct migration background","in school","4","","",""
"Some worries","1992","direct migration background","inadequately","203","0.396758385826062","0.353617076606895","0.439899695045229"
"Some worries","1992","direct migration background","general elemantary","302","0.422516897514831","0.385633564341504","0.459400230688158"
