"plj0047","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","no migration background","(0) in school","","","",""
"Big worries","1992","no migration background","(1a) inadequately completed","","","",""
"Big worries","1992","no migration background","(1b) general elementary school","","","",""
"Big worries","1992","no migration background","(1c) basic vocational qualification","","","",""
"Big worries","1992","no migration background","(2b) intermediate general qualification","","","",""
"Big worries","1992","no migration background","(2a) intermediate vocational","","","",""
"Big worries","1992","no migration background","(2c_gen) general maturity certificate","","","",""
"Big worries","1992","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Big worries","1992","no migration background","(3a) lower tertiary education","","","",""
"Big worries","1992","no migration background","(3b) higher tertiary education","","","",""
"Big worries","1992","direct migration background","(0) in school","1","","",""
"Big worries","1992","direct migration background","(1a) inadequately completed","203","0.39204117494643","0.351351103733723","0.432731246159137"
"Big worries","1992","direct migration background","(1b) general elementary school","255","0.413313402356123","0.375659652428798","0.450967152283448"
"Big worries","1992","direct migration background","(1c) basic vocational qualification","142","0.418638110265038","0.369550161083905","0.467726059446172"
"Big worries","1992","direct migration background","(2b) intermediate general qualification","16","","",""
"Big worries","1992","direct migration background","(2a) intermediate vocational","11","","",""
"Big worries","1992","direct migration background","(2c_gen) general maturity certificate","32","0.482377157341597","0.370767233417326","0.593987081265868"
"Big worries","1992","direct migration background","(2c_voc) vocational maturity certificate","33","0.403999716902247","0.300291628596651","0.507707805207842"
"Big worries","1992","direct migration background","(3a) lower tertiary education","1","","",""
"Big worries","1992","direct migration background","(3b) higher tertiary education","16","","",""
"Big worries","1992","indirect migration background","(0) in school","17","","",""
"Big worries","1992","indirect migration background","(1a) inadequately completed","7","","",""
"Big worries","1992","indirect migration background","(1b) general elementary school","40","0.449208047554462","0.351716795458103","0.54669929965082"
"Big worries","1992","indirect migration background","(1c) basic vocational qualification","16","","",""
"Big worries","1992","indirect migration background","(2b) intermediate general qualification","19","","",""
"Big worries","1992","indirect migration background","(2a) intermediate vocational","7","","",""
"Big worries","1992","indirect migration background","(2c_gen) general maturity certificate","11","","",""
"Big worries","1992","indirect migration background","(2c_voc) vocational maturity certificate","7","","",""
"Big worries","1992","indirect migration background","(3a) lower tertiary education","","","",""
"Big worries","1992","indirect migration background","(3b) higher tertiary education","","","",""
"Some worries","1992","no migration background","(0) in school","","","",""
"Some worries","1992","no migration background","(1a) inadequately completed","","","",""
"Some worries","1992","no migration background","(1b) general elementary school","","","",""
"Some worries","1992","no migration background","(1c) basic vocational qualification","","","",""
"Some worries","1992","no migration background","(2b) intermediate general qualification","","","",""
"Some worries","1992","no migration background","(2a) intermediate vocational","","","",""
"Some worries","1992","no migration background","(2c_gen) general maturity certificate","","","",""
"Some worries","1992","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Some worries","1992","no migration background","(3a) lower tertiary education","","","",""
"Some worries","1992","no migration background","(3b) higher tertiary education","","","",""
"Some worries","1992","direct migration background","(0) in school","4","","",""
"Some worries","1992","direct migration background","(1a) inadequately completed","229","0.399427416344512","0.358606080527076","0.440248752161947"
"Some worries","1992","direct migration background","(1b) general elementary school","292","0.426262380903216","0.388447688430826","0.464077073375606"
"Some worries","1992","direct migration background","(1c) basic vocational qualification","164","0.367976863056119","0.319991479209544","0.415962246902694"
"Some worries","1992","direct migration background","(2b) intermediate general qualification","10","","",""
"Some worries","1992","direct migration background","(2a) intermediate vocational","4","","",""
"Some worries","1992","direct migration background","(2c_gen) general maturity certificate","40","0.473404098448052","0.361882888533172","0.584925308362933"
"Some worries","1992","direct migration background","(2c_voc) vocational maturity certificate","41","0.392437579078356","0.289237599505046","0.495637558651667"
"Some worries","1992","direct migration background","(3a) lower tertiary education","6","","",""
"Some worries","1992","direct migration background","(3b) higher tertiary education","15","","",""
"Some worries","1992","indirect migration background","(0) in school","15","","",""
"Some worries","1992","indirect migration background","(1a) inadequately completed","6","","",""
"Some worries","1992","indirect migration background","(1b) general elementary school","42","0.379212168258364","0.284116481065046","0.474307855451681"
"Some worries","1992","indirect migration background","(1c) basic vocational qualification","24","","",""
"Some worries","1992","indirect migration background","(2b) intermediate general qualification","11","","",""
"Some worries","1992","indirect migration background","(2a) intermediate vocational","8","","",""
"Some worries","1992","indirect migration background","(2c_gen) general maturity certificate","9","","",""
"Some worries","1992","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
