"plj0047","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1992","16-34 y.","Full Time","190","0.424611578491802","0.381024165645689","0.468198991337915","1"
"Big worries","1992","16-34 y.","Part Time","100","0.521916900410433","0.452688313164353","0.591145487656513","1"
"Big worries","1992","16-34 y.","Not Working","146","0.487324338939022","0.4323007567039","0.542347921174145","1"
"Big worries","1992","35-65 y.","Full Time","237","0.372023028619369","0.336766766754926","0.407279290483811","1"
"Big worries","1992","35-65 y.","Part Time","57","0.40985299591716","0.334811707973195","0.484894283861125","1"
"Big worries","1992","35-65 y.","Not Working","127","0.431408434020775","0.377562745714467","0.485254122327082","1"
"Big worries","1992","66 and older","Full Time","","","","","1"
"Big worries","1992","66 and older","Part Time","","","","","1"
"Big worries","1992","66 and older","Not Working","8","","","","1"
"No worries","1992","66 and older","Not Working","6","","","","3"
"No worries","1992","66 and older","Part Time","1","","","","3"
"No worries","1992","66 and older","Full Time","1","","","","3"
"No worries","1992","35-65 y.","Not Working","60","0.187139730908082","0.144736655209881","0.229542806606283","3"
"No worries","1992","35-65 y.","Part Time","37","0.188404701105703","0.128739412198189","0.248069990013216","3"
"No worries","1992","35-65 y.","Full Time","154","0.223057135377893","0.192691519515622","0.253422751240164","3"
"No worries","1992","16-34 y.","Not Working","45","0.139999670648321","0.101802492895965","0.178196848400678","3"
"No worries","1992","16-34 y.","Part Time","29","","","","3"
"No worries","1992","16-34 y.","Full Time","85","0.152809333741407","0.121080790052731","0.184537877430083","3"
"Some worries","1992","35-65 y.","Not Working","138","0.381451835071143","0.328642217050123","0.434261453092164","2"
"Some worries","1992","66 and older","Full Time","1","","","","2"
"Some worries","1992","35-65 y.","Part Time","71","0.401742302977137","0.326938436086868","0.476546169867406","2"
"Some worries","1992","35-65 y.","Full Time","331","0.404919836002738","0.36911417006895","0.440725501936526","2"
"Some worries","1992","16-34 y.","Part Time","71","0.346347133857183","0.28040507887679","0.412289188837576","2"
"Some worries","1992","16-34 y.","Not Working","126","0.372675990412656","0.319449219245953","0.42590276157936","2"
"Some worries","1992","16-34 y.","Full Time","219","0.422579087766791","0.37901938863197","0.466138786901613","2"
"Some worries","1992","66 and older","Part Time","","","","","2"
"Some worries","1992","66 and older","Not Working","15","","","","2"
"Big worries","1993","16-34 y.","Full Time","228","0.517076721466557","0.472185525262352","0.561967917670763","1"
"Big worries","1993","16-34 y.","Part Time","114","0.581531867849602","0.516785767767304","0.6462779679319","1"
"Big worries","1993","16-34 y.","Not Working","179","0.559403369065811","0.505177904683704","0.613628833447919","1"
"Big worries","1993","35-65 y.","Full Time","263","0.417340097300605","0.379430948313269","0.455249246287941","1"
"Big worries","1993","35-65 y.","Part Time","83","0.568075235676972","0.49404811651691","0.642102354837035","1"
"Big worries","1993","35-65 y.","Not Working","161","0.507899480587364","0.453123659300354","0.562675301874374","1"
"Big worries","1993","66 and older","Full Time","","","","","1"
"Big worries","1993","66 and older","Part Time","","","","","1"
"Big worries","1993","66 and older","Not Working","10","","","","1"
"No worries","1993","66 and older","Not Working","5","","","","3"
"No worries","1993","66 and older","Part Time","","","","","3"
"No worries","1993","66 and older","Full Time","1","","","","3"
"No worries","1993","35-65 y.","Not Working","39","0.122846425712242","0.0868804221432427","0.158812429281241","3"
"No worries","1993","35-65 y.","Part Time","23","","","","3"
"No worries","1993","35-65 y.","Full Time","89","0.141720136873828","0.114908603281933","0.168531670465723","3"
"No worries","1993","16-34 y.","Not Working","28","","","","3"
"No worries","1993","16-34 y.","Part Time","20","","","","3"
"No worries","1993","16-34 y.","Full Time","49","0.0836897803464626","0.0588125461990989","0.108567014493826","3"
"Some worries","1993","35-65 y.","Not Working","120","0.369254093700394","0.316377559501592","0.422130627899196","2"
"Some worries","1993","66 and older","Full Time","","","","","2"
"Some worries","1993","35-65 y.","Part Time","66","0.34552017408564","0.274453055955138","0.416587292216142","2"
"Some worries","1993","35-65 y.","Full Time","298","0.440939765825567","0.402770804021032","0.479108727630101","2"
"Some worries","1993","16-34 y.","Not Working","115","0.356602603417807","0.304284491864775","0.40892071497084","2"
"Some worries","1993","16-34 y.","Part Time","89","0.329373329498868","0.267688227808997","0.391058431188739","2"
"Some worries","1993","16-34 y.","Full Time","199","0.39923349818698","0.355237724827551","0.443229271546409","2"
"Some worries","1993","66 and older","Part Time","1","","","","2"
"Some worries","1993","66 and older","Not Working","23","","","","2"
"Big worries","1994","16-34 y.","Full Time","210","0.473124410651569","0.427399057450204","0.518849763852934","1"
"Big worries","1994","16-34 y.","Part Time","97","0.519156391252827","0.449912076854358","0.588400705651296","1"
"Big worries","1994","16-34 y.","Not Working","177","0.557772470541036","0.503610026306161","0.61193491477591","1"
"Big worries","1994","35-65 y.","Full Time","220","0.441712808414345","0.401263822533438","0.482161794295252","1"
"Big worries","1994","35-65 y.","Part Time","99","0.553944852044065","0.482699779816748","0.625189924271383","1"
"Big worries","1994","35-65 y.","Not Working","148","0.468681059522032","0.414344525013805","0.523017594030259","1"
"Big worries","1994","66 and older","Full Time","","","","","1"
"Big worries","1994","66 and older","Part Time","","","","","1"
"Big worries","1994","66 and older","Not Working","15","","","","1"
"No worries","1994","66 and older","Not Working","7","","","","3"
"No worries","1994","66 and older","Part Time","1","","","","3"
"No worries","1994","66 and older","Full Time","1","","","","3"
"No worries","1994","35-65 y.","Not Working","46","0.124246914537865","0.0883291556911986","0.160164673384532","3"
"No worries","1994","35-65 y.","Part Time","16","","","","3"
"No worries","1994","35-65 y.","Full Time","82","0.122114469486572","0.0954451878214516","0.148783751151692","3"
"No worries","1994","16-34 y.","Not Working","22","","","","3"
"No worries","1994","16-34 y.","Part Time","19","","","","3"
"No worries","1994","16-34 y.","Full Time","51","0.0800485016008427","0.055195753324937","0.104901249876748","3"
"Some worries","1994","35-65 y.","Not Working","130","0.407072025940103","0.35357714989449","0.460566901985716","2"
"Some worries","1994","35-65 y.","Part Time","72","0.362818671351296","0.293905280034147","0.431732062668445","2"
"Some worries","1994","66 and older","Full Time","","","","","2"
"Some worries","1994","35-65 y.","Full Time","277","0.436172722099083","0.395779257797193","0.476566186400974","2"
"Some worries","1994","16-34 y.","Part Time","84","0.359519428898164","0.293015507255866","0.426023350540462","2"
"Some worries","1994","16-34 y.","Full Time","197","0.446827087747589","0.401295211022104","0.492358964473073","2"
"Some worries","1994","16-34 y.","Not Working","124","0.369133537320857","0.31650669623345","0.421760378408265","2"
"Some worries","1994","66 and older","Part Time","2","","","","2"
"Some worries","1994","66 and older","Not Working","21","","","","2"
"Big worries","1995","16-34 y.","Full Time","162","0.463242034655289","0.414497234557352","0.511986834753226","1"
"Big worries","1995","16-34 y.","Part Time","83","0.419530495970246","0.351645852108302","0.48741513983219","1"
"Big worries","1995","16-34 y.","Not Working","145","0.531229680401607","0.47466651366608","0.587792847137133","1"
"Big worries","1995","35-65 y.","Full Time","168","0.391533200457309","0.348360413450543","0.434705987464076","1"
"Big worries","1995","35-65 y.","Part Time","73","0.481498937498942","0.408505413628277","0.554492461369606","1"
"Big worries","1995","35-65 y.","Not Working","153","0.484477966092467","0.431199664478934","0.537756267706001","1"
"Big worries","1995","66 and older","Full Time","","","","","1"
"Big worries","1995","66 and older","Part Time","","","","","1"
"Big worries","1995","66 and older","Not Working","16","","","","1"
"No worries","1995","66 and older","Not Working","8","","","","3"
"No worries","1995","66 and older","Part Time","1","","","","3"
"No worries","1995","66 and older","Full Time","","","","","3"
"No worries","1995","35-65 y.","Not Working","48","0.133883111185493","0.0975802468694581","0.170185975501527","3"
"No worries","1995","35-65 y.","Part Time","32","0.157608328595633","0.104378085150633","0.210838572040632","3"
"No worries","1995","35-65 y.","Full Time","77","0.165487012175965","0.132616546822693","0.198357477529236","3"
"No worries","1995","16-34 y.","Not Working","23","","","","3"
"No worries","1995","16-34 y.","Part Time","22","","","","3"
"No worries","1995","16-34 y.","Full Time","54","0.128621412938282","0.095895245783048","0.161347580093516","3"
"Some worries","1995","35-65 y.","Not Working","137","0.38163892272204","0.329849968177487","0.433427877266593","2"
"Some worries","1995","35-65 y.","Part Time","75","0.360892733905425","0.290733023921872","0.431052443888979","2"
"Some worries","1995","35-65 y.","Full Time","246","0.442979787366726","0.399042344514151","0.486917230219301","2"
"Some worries","1995","66 and older","Full Time","1","","","","2"
"Some worries","1995","16-34 y.","Full Time","186","0.408136552406429","0.360091511214827","0.45618159359803","2"
"Some worries","1995","16-34 y.","Not Working","131","0.395167691288074","0.339753537871027","0.45058184470512","2"
"Some worries","1995","16-34 y.","Part Time","98","0.489043247369017","0.420278511862749","0.557807982875285","2"
"Some worries","1995","66 and older","Part Time","1","","","","2"
"Some worries","1995","66 and older","Not Working","25","","","","2"
"Big worries","1996","66 and older","Not Working","463","0.316528081833098","0.29294289869124","0.340113264974956","1"
"Big worries","1996","16-34 y.","Full Time","689","0.278331948903378","0.260223243763052","0.296440654043704","1"
"Big worries","1996","16-34 y.","Part Time","351","0.313755107746078","0.286604057880999","0.340906157611157","1"
"Big worries","1996","16-34 y.","Not Working","412","0.33135860084478","0.305327110883348","0.357390090806212","1"
"Big worries","1996","35-65 y.","Full Time","899","0.259739517195137","0.244841868469761","0.274637165920513","1"
"Big worries","1996","35-65 y.","Part Time","435","0.292597640239376","0.269673276606243","0.315522003872508","1"
"Big worries","1996","35-65 y.","Not Working","601","0.336730224874033","0.315036161202769","0.358424288545296","1"
"Big worries","1996","66 and older","Full Time","3","","","","1"
"Big worries","1996","66 and older","Part Time","10","","","","1"
"No worries","1996","66 and older","Not Working","319","0.216999560807284","0.196097783201811","0.237901338412757","3"
"No worries","1996","66 and older","Part Time","8","","","","3"
"No worries","1996","66 and older","Full Time","2","","","","3"
"No worries","1996","35-65 y.","Not Working","301","0.162068777656137","0.145152351334703","0.178985203977571","3"
"No worries","1996","35-65 y.","Part Time","225","0.150684569304669","0.132658645753787","0.168710492855551","3"
"No worries","1996","35-65 y.","Full Time","596","0.184131836862377","0.170963501806749","0.197300171918005","3"
"No worries","1996","16-34 y.","Not Working","189","0.131987242088439","0.113268256813841","0.150706227363038","3"
"No worries","1996","16-34 y.","Part Time","159","0.140135549350069","0.119824104409199","0.160446994290939","3"
"No worries","1996","16-34 y.","Full Time","401","0.171822237870702","0.156580355858574","0.18706411988283","3"
"Some worries","1996","35-65 y.","Part Time","853","0.556717790455955","0.531686322006023","0.581749258905887","2"
"Some worries","1996","35-65 y.","Not Working","921","0.50120099746983","0.478248840352649","0.524153154587012","2"
"Some worries","1996","35-65 y.","Full Time","1833","0.556128645942486","0.539248638871306","0.573008653013666","2"
"Some worries","1996","16-34 y.","Part Time","612","0.546109342903853","0.516977558480713","0.575241127326993","2"
"Some worries","1996","16-34 y.","Not Working","655","0.53665415706678","0.509076767398887","0.564231546734674","2"
"Some worries","1996","16-34 y.","Full Time","1263","0.54984581322592","0.529743861044163","0.569947765407676","2"
"Some worries","1996","66 and older","Full Time","7","","","","2"
"Some worries","1996","66 and older","Not Working","712","0.466472357359618","0.441175637484041","0.491769077235195","2"
"Some worries","1996","66 and older","Part Time","21","","","","2"
"Big worries","1997","16-34 y.","Full Time","721","0.321080586863593","0.301861246914983","0.340299926812203","1"
"Big worries","1997","16-34 y.","Part Time","322","0.31423353993873","0.28585657635173","0.342610503525729","1"
"Big worries","1997","16-34 y.","Not Working","390","0.285474957464921","0.260961643311284","0.309988271618557","1"
"Big worries","1997","35-65 y.","Full Time","914","0.2819929996652","0.266600960755345","0.297385038575054","1"
"Big worries","1997","35-65 y.","Part Time","441","0.307560089328952","0.283969137779083","0.331151040878821","1"
"Big worries","1997","35-65 y.","Not Working","630","0.336025013961369","0.31451839976167","0.357531628161068","1"
"Big worries","1997","66 and older","Full Time","6","","","","1"
"Big worries","1997","66 and older","Part Time","8","","","","1"
"Big worries","1997","66 and older","Not Working","471","0.320308462019327","0.29689794733577","0.343718976702883","1"
"No worries","1997","66 and older","Not Working","305","0.207210674695026","0.186875131221191","0.22754621816886","3"
"No worries","1997","66 and older","Part Time","9","","","","3"
"No worries","1997","66 and older","Full Time","1","","","","3"
"No worries","1997","35-65 y.","Not Working","303","0.16197142219027","0.14519655874313","0.178746285637411","3"
"No worries","1997","35-65 y.","Part Time","229","0.152113133711428","0.133754441771303","0.170471825651553","3"
"No worries","1997","35-65 y.","Full Time","633","0.198130096957103","0.184495577617156","0.211764616297051","3"
"No worries","1997","16-34 y.","Not Working","245","0.196484890339126","0.174918825894627","0.218050954783624","3"
"No worries","1997","16-34 y.","Part Time","169","0.16064277198682","0.138195914680318","0.183089629293322","3"
