"plj0589","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Bavaria","Other degree","","","",""
"Very often","2013","Bavaria","no degree/no degree yet","","","",""
"Very often","2013","Berlin","lower secondary degree","","","",""
"Very often","2013","Berlin","secondary school degree","","","",""
"Very often","2013","Berlin","college entrance qualification","","","",""
"Very often","2013","Berlin","Other degree","","","",""
"Very often","2013","Berlin","no degree/no degree yet","","","",""
"Very often","2013","Brandenburg","lower secondary degree","","","",""
"Very often","2013","Brandenburg","secondary school degree","","","",""
"Very often","2013","Brandenburg","college entrance qualification","","","",""
"Very often","2013","Brandenburg","Other degree","","","",""
"Very often","2013","Brandenburg","no degree/no degree yet","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","Other degree","","","",""
"Very often","2013","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Very often","2013","Saxony","lower secondary degree","","","",""
"Very often","2013","Saxony","secondary school degree","","","",""
"Very often","2013","Saxony","college entrance qualification","","","",""
"Very often","2013","Saxony","Other degree","","","",""
"Very often","2013","Saxony","no degree/no degree yet","","","",""
"Very often","2013","Saxony-Anhalt","lower secondary degree","","","",""
"Very often","2013","Saxony-Anhalt","secondary school degree","","","",""
"Very often","2013","Saxony-Anhalt","college entrance qualification","","","",""
"Very often","2013","Saxony-Anhalt","Other degree","","","",""
"Very often","2013","Saxony-Anhalt","no degree/no degree yet","","","",""
"Very often","2013","Thuringia","lower secondary degree","","","",""
"Very often","2013","Thuringia","secondary school degree","","","",""
"Very often","2013","Thuringia","college entrance qualification","","","",""
"Very often","2013","Thuringia","Other degree","","","",""
"Very often","2013","Thuringia","no degree/no degree yet","","","",""
"Often","2013","Schleswig-Holstein","lower secondary degree","","","",""
"Often","2013","Schleswig-Holstein","secondary school degree","","","",""
"Often","2013","Schleswig-Holstein","college entrance qualification","","","",""
"Often","2013","Schleswig-Holstein","Other degree","","","",""
"Often","2013","Schleswig-Holstein","no degree/no degree yet","","","",""
"Often","2013","Hamburg","lower secondary degree","","","",""
"Often","2013","Hamburg","secondary school degree","","","",""
"Often","2013","Hamburg","college entrance qualification","","","",""
"Often","2013","Hamburg","Other degree","","","",""
"Often","2013","Hamburg","no degree/no degree yet","","","",""
"Often","2013","Lower Saxony","lower secondary degree","","","",""
"Often","2013","Lower Saxony","secondary school degree","","","",""
"Often","2013","Lower Saxony","college entrance qualification","","","",""
"Often","2013","Lower Saxony","Other degree","","","",""
"Often","2013","Lower Saxony","no degree/no degree yet","","","",""
"Often","2013","Bremen","lower secondary degree","","","",""
"Often","2013","Bremen","secondary school degree","","","",""
"Often","2013","Bremen","college entrance qualification","","","",""
"Often","2013","Bremen","Other degree","","","",""
"Often","2013","Bremen","no degree/no degree yet","","","",""
"Often","2013","North Rhine-Westphalia","lower secondary degree","55","0.0375439521154665","0.0277156125328799","0.047372291698053"
"Often","2013","North Rhine-Westphalia","secondary school degree","39","0.043212943995358","0.0314146329415421","0.0550112550491738"
"Often","2013","North Rhine-Westphalia","college entrance qualification","","","",""
"Often","2013","North Rhine-Westphalia","Other degree","","","",""
"Often","2013","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Often","2013","Hesse","lower secondary degree","","","",""
"Often","2013","Hesse","secondary school degree","","","",""
"Often","2013","Hesse","college entrance qualification","","","",""
"Often","2013","Hesse","Other degree","","","",""
"Often","2013","Hesse","no degree/no degree yet","","","",""
"Often","2013","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Often","2013","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Often","2013","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Often","2013","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Often","2013","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Often","2013","Baden-Württemberg","lower secondary degree","38","0.0492608528123391","0.0346779305441539","0.0638437750805243"
"Often","2013","Baden-Württemberg","secondary school degree","","","",""
"Often","2013","Baden-Württemberg","college entrance qualification","","","",""
"Often","2013","Baden-Württemberg","Other degree","","","",""
"Often","2013","Baden-Württemberg","no degree/no degree yet","","","",""
"Often","2013","Bavaria","lower secondary degree","48","0.0385085949548122","0.0284363651976078","0.0485808247120166"
"Often","2013","Bavaria","secondary school degree","","","",""
"Often","2013","Bavaria","college entrance qualification","","","",""
"Often","2013","Bavaria","Other degree","","","",""
"Often","2013","Bavaria","no degree/no degree yet","","","",""
"Often","2013","Berlin","lower secondary degree","","","",""
"Often","2013","Berlin","secondary school degree","","","",""
"Often","2013","Berlin","college entrance qualification","","","",""
"Often","2013","Berlin","Other degree","","","",""
"Often","2013","Berlin","no degree/no degree yet","","","",""
"Often","2013","Brandenburg","lower secondary degree","","","",""
"Often","2013","Brandenburg","secondary school degree","","","",""
"Often","2013","Brandenburg","college entrance qualification","","","",""
"Often","2013","Brandenburg","Other degree","","","",""
"Often","2013","Brandenburg","no degree/no degree yet","","","",""
"Often","2013","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Often","2013","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Often","2013","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Often","2013","Mecklenburg-Western Pomerania","Other degree","","","",""
"Often","2013","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Often","2013","Saxony","lower secondary degree","","","",""
"Often","2013","Saxony","secondary school degree","","","",""
"Often","2013","Saxony","college entrance qualification","","","",""
"Often","2013","Saxony","Other degree","","","",""
"Often","2013","Saxony","no degree/no degree yet","","","",""
"Often","2013","Saxony-Anhalt","lower secondary degree","","","",""
"Often","2013","Saxony-Anhalt","secondary school degree","","","",""
"Often","2013","Saxony-Anhalt","college entrance qualification","","","",""
"Often","2013","Saxony-Anhalt","Other degree","","","",""
"Often","2013","Saxony-Anhalt","no degree/no degree yet","","","",""
"Often","2013","Thuringia","lower secondary degree","","","",""
"Often","2013","Thuringia","secondary school degree","","","",""
"Often","2013","Thuringia","college entrance qualification","","","",""
"Often","2013","Thuringia","Other degree","","","",""
"Often","2013","Thuringia","no degree/no degree yet","","","",""
"Sometimes","2013","Schleswig-Holstein","lower secondary degree","","","",""
"Sometimes","2013","Schleswig-Holstein","secondary school degree","","","",""
"Sometimes","2013","Schleswig-Holstein","college entrance qualification","","","",""
"Sometimes","2013","Schleswig-Holstein","Other degree","","","",""
"Sometimes","2013","Schleswig-Holstein","no degree/no degree yet","","","",""
"Sometimes","2013","Hamburg","lower secondary degree","","","",""
"Sometimes","2013","Hamburg","secondary school degree","","","",""
"Sometimes","2013","Hamburg","college entrance qualification","","","",""
"Sometimes","2013","Hamburg","Other degree","","","",""
"Sometimes","2013","Hamburg","no degree/no degree yet","","","",""
"Sometimes","2013","Lower Saxony","lower secondary degree","71","0.0914250006297328","0.0702102539336635","0.112639747325802"
"Sometimes","2013","Lower Saxony","secondary school degree","68","0.0846424319559552","0.0650959403649743","0.104188923546936"
"Sometimes","2013","Lower Saxony","college entrance qualification","49","0.079723445853938","0.0594393798535049","0.100007511854371"
"Sometimes","2013","Lower Saxony","Other degree","","","",""
"Sometimes","2013","Lower Saxony","no degree/no degree yet","","","",""
"Sometimes","2013","Bremen","lower secondary degree","","","",""
"Sometimes","2013","Bremen","secondary school degree","","","",""
"Sometimes","2013","Bremen","college entrance qualification","","","",""
"Sometimes","2013","Bremen","Other degree","","","",""
"Sometimes","2013","Bremen","no degree/no degree yet","","","",""
"Sometimes","2013","North Rhine-Westphalia","lower secondary degree","160","0.102910052354482","0.0872003990172133","0.11861970569175"
"Sometimes","2013","North Rhine-Westphalia","secondary school degree","99","0.093041942778774","0.0761865741291038","0.109897311428444"
"Sometimes","2013","North Rhine-Westphalia","college entrance qualification","117","0.0843848325352425","0.0711792671857731","0.0975903978847118"
"Sometimes","2013","North Rhine-Westphalia","Other degree","74","0.186384871876642","0.149705745748646","0.223063998004637"
"Sometimes","2013","North Rhine-Westphalia","no degree/no degree yet","30","0.170519716629752","0.12082306994289","0.220216363316615"
"Sometimes","2013","Hesse","lower secondary degree","53","0.115466564099968","0.0843033203251425","0.146629807874793"
"Sometimes","2013","Hesse","secondary school degree","33","0.0891044576178718","0.0631261349258539","0.11508278030989"
"Sometimes","2013","Hesse","college entrance qualification","39","0.0724258114264892","0.0521379937663972","0.0927136290865813"
"Sometimes","2013","Hesse","Other degree","","","",""
"Sometimes","2013","Hesse","no degree/no degree yet","","","",""
"Sometimes","2013","Rhineland-Palatinate,Saarland","lower secondary degree","49","0.0805204728686845","0.0575708580223979","0.103470087714971"
"Sometimes","2013","Rhineland-Palatinate,Saarland","secondary school degree","34","0.100089191786178","0.0671033283874857","0.133075055184871"
"Sometimes","2013","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Sometimes","2013","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Sometimes","2013","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Sometimes","2013","Baden-Württemberg","lower secondary degree","77","0.0806920748945301","0.0623389993178154","0.0990451504712448"
"Sometimes","2013","Baden-Württemberg","secondary school degree","72","0.105039329435084","0.0843788281288874","0.12569983074128"
"Sometimes","2013","Baden-Württemberg","college entrance qualification","53","0.0536573928989117","0.0389680335113377","0.0683467522864857"
"Sometimes","2013","Baden-Württemberg","Other degree","42","0.152446320640863","0.1070645276985","0.197828113583226"
"Sometimes","2013","Baden-Württemberg","no degree/no degree yet","","","",""
"Sometimes","2013","Bavaria","lower secondary degree","159","0.0983479687617865","0.0827604760217759","0.113935461501797"
"Sometimes","2013","Bavaria","secondary school degree","94","0.0808744406908845","0.0647258696587692","0.0970230117229999"
"Sometimes","2013","Bavaria","college entrance qualification","68","0.0633171538820104","0.0483718420460374","0.0782624657179834"
"Sometimes","2013","Bavaria","Other degree","37","0.135407766341943","0.0946705923746416","0.176144940309245"
"Sometimes","2013","Bavaria","no degree/no degree yet","","","",""
"Sometimes","2013","Berlin","lower secondary degree","","","",""
"Sometimes","2013","Berlin","secondary school degree","43","0.204648824585141","0.160514176732704","0.248783472437579"
"Sometimes","2013","Berlin","college entrance qualification","33","0.119869415879326","0.0877972912398355","0.151941540518816"
"Sometimes","2013","Berlin","Other degree","","","",""
"Sometimes","2013","Berlin","no degree/no degree yet","","","",""
"Sometimes","2013","Brandenburg","lower secondary degree","44","0.20484361489684","0.154714976493152","0.254972253300528"
"Sometimes","2013","Brandenburg","secondary school degree","58","0.124884849990922","0.0941002363513303","0.155669463630513"
"Sometimes","2013","Brandenburg","college entrance qualification","","","",""
"Sometimes","2013","Brandenburg","Other degree","","","",""
"Sometimes","2013","Brandenburg","no degree/no degree yet","","","",""
"Sometimes","2013","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Sometimes","2013","Mecklenburg-Western Pomerania","secondary school degree","37","0.11272975265891","0.0763927724033803","0.149066732914439"
"Sometimes","2013","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Sometimes","2013","Mecklenburg-Western Pomerania","Other degree","","","",""
"Sometimes","2013","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Sometimes","2013","Saxony","lower secondary degree","43","0.113020352972961","0.0790648619960694","0.146975843949852"
"Sometimes","2013","Saxony","secondary school degree","104","0.132795996366401","0.10991510893177","0.155676883801031"
"Sometimes","2013","Saxony","college entrance qualification","43","0.105230871470348","0.076526839161201","0.133934903779495"
"Sometimes","2013","Saxony","Other degree","","","",""
"Sometimes","2013","Saxony","no degree/no degree yet","","","",""
"Sometimes","2013","Saxony-Anhalt","lower secondary degree","","","",""
"Sometimes","2013","Saxony-Anhalt","secondary school degree","67","0.113336162476004","0.0840144945912563","0.142657830360752"
"Sometimes","2013","Saxony-Anhalt","college entrance qualification","","","",""
"Sometimes","2013","Saxony-Anhalt","Other degree","","","",""
"Sometimes","2013","Saxony-Anhalt","no degree/no degree yet","","","",""
"Sometimes","2013","Thuringia","lower secondary degree","38","0.190540707277344","0.144291999837587","0.236789414717101"
"Sometimes","2013","Thuringia","secondary school degree","45","0.0930624801748633","0.0665136633579646","0.119611296991762"
"Sometimes","2013","Thuringia","college entrance qualification","","","",""
"Sometimes","2013","Thuringia","Other degree","","","",""
"Sometimes","2013","Thuringia","no degree/no degree yet","","","",""
"Rarely ","2013","Schleswig-Holstein","lower secondary degree","85","0.299212332938595","0.243552181027547","0.354872484849644"
"Rarely ","2013","Schleswig-Holstein","secondary school degree","91","0.332163666164253","0.277578308699472","0.386749023629034"
"Rarely ","2013","Schleswig-Holstein","college entrance qualification","65","0.347340223574477","0.285807641919908","0.408872805229045"
"Rarely ","2013","Schleswig-Holstein","Other degree","","","",""
"Rarely ","2013","Schleswig-Holstein","no degree/no degree yet","","","",""
"Rarely ","2013","Hamburg","lower secondary degree","","","",""
"Rarely ","2013","Hamburg","secondary school degree","","","",""
"Rarely ","2013","Hamburg","college entrance qualification","","","",""
"Rarely ","2013","Hamburg","Other degree","","","",""
"Rarely ","2013","Hamburg","no degree/no degree yet","","","",""
"Rarely ","2013","Lower Saxony","lower secondary degree","206","0.269175214864374","0.236527774187154","0.301822655541595"
"Rarely ","2013","Lower Saxony","secondary school degree","211","0.276742235095454","0.245325312882385","0.308159157308523"
"Rarely ","2013","Lower Saxony","college entrance qualification","183","0.280053145931726","0.246427297408931","0.313678994454521"
"Rarely ","2013","Lower Saxony","Other degree","39","0.312515352509716","0.232836403759324","0.392194301260107"
"Rarely ","2013","Lower Saxony","no degree/no degree yet","","","",""
"Rarely ","2013","Bremen","lower secondary degree","","","",""
"Rarely ","2013","Bremen","secondary school degree","","","",""
"Rarely ","2013","Bremen","college entrance qualification","","","",""
"Rarely ","2013","Bremen","Other degree","","","",""
"Rarely ","2013","Bremen","no degree/no degree yet","","","",""
"Rarely ","2013","North Rhine-Westphalia","lower secondary degree","373","0.263488361044942","0.240711690909528","0.286265031180356"
"Rarely ","2013","North Rhine-Westphalia","secondary school degree","297","0.294000785046875","0.267565644550666","0.320435925543085"
"Rarely ","2013","North Rhine-Westphalia","college entrance qualification","430","0.249052846589708","0.228507250035269","0.269598443144147"
"Rarely ","2013","North Rhine-Westphalia","Other degree","131","0.22876219523361","0.189199085058525","0.268325305408695"
"Rarely ","2013","North Rhine-Westphalia","no degree/no degree yet","60","0.213164031259234","0.159046769322073","0.267281293196396"
"Rarely ","2013","Hesse","lower secondary degree","103","0.255682375551586","0.213143406918581","0.298221344184591"
"Rarely ","2013","Hesse","secondary school degree","137","0.266467164322393","0.226152900550816","0.30678142809397"
"Rarely ","2013","Hesse","college entrance qualification","168","0.250409494255275","0.216497623003834","0.284321365506717"
"Rarely ","2013","Hesse","Other degree","32","0.160403224710545","0.102062982816878","0.218743466604213"
"Rarely ","2013","Hesse","no degree/no degree yet","","","",""
"Rarely ","2013","Rhineland-Palatinate,Saarland","lower secondary degree","131","0.258152763193409","0.221242525514584","0.295063000872234"
"Rarely ","2013","Rhineland-Palatinate,Saarland","secondary school degree","68","0.303018250577787","0.252507987861771","0.353528513293804"
"Rarely ","2013","Rhineland-Palatinate,Saarland","college entrance qualification","89","0.273055124581515","0.226968301455835","0.319141947707195"
"Rarely ","2013","Rhineland-Palatinate,Saarland","Other degree","37","0.30245477963714","0.215014493927427","0.389895065346853"
"Rarely ","2013","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Rarely ","2013","Baden-Württemberg","lower secondary degree","246","0.335669035309382","0.303848257031897","0.367489813586866"
"Rarely ","2013","Baden-Württemberg","secondary school degree","227","0.280980265191896","0.250692221451555","0.311268308932238"
"Rarely ","2013","Baden-Württemberg","college entrance qualification","217","0.263895057693577","0.235164148404772","0.292625966982382"
"Rarely ","2013","Baden-Württemberg","Other degree","58","0.289225166330869","0.231982002307345","0.346468330354392"
"Rarely ","2013","Baden-Württemberg","no degree/no degree yet","","","",""
"Rarely ","2013","Bavaria","lower secondary degree","386","0.273746974919205","0.25040741162503","0.297086538213379"
"Rarely ","2013","Bavaria","secondary school degree","286","0.298922265176224","0.271807662110333","0.326036868242116"
"Rarely ","2013","Bavaria","college entrance qualification","250","0.248468420690575","0.221949415881017","0.274987425500133"
"Rarely ","2013","Bavaria","Other degree","74","0.273686216005864","0.220603632545562","0.326768799466166"
"Rarely ","2013","Bavaria","no degree/no degree yet","34","0.242635777789488","0.165289948544422","0.319981607034553"
"Rarely ","2013","Berlin","lower secondary degree","55","0.336213791826498","0.265199541784692","0.407228041868305"
"Rarely ","2013","Berlin","secondary school degree","87","0.250097630445334","0.202722248286667","0.297473012604001"
"Rarely ","2013","Berlin","college entrance qualification","109","0.231707120061713","0.190045795463554","0.273368444659872"
"Rarely ","2013","Berlin","Other degree","","","",""
"Rarely ","2013","Berlin","no degree/no degree yet","","","",""
"Rarely ","2013","Brandenburg","lower secondary degree","75","0.245339607371425","0.191894490754692","0.298784723988158"
"Rarely ","2013","Brandenburg","secondary school degree","148","0.36124959194303","0.316517881413783","0.405981302472276"
"Rarely ","2013","Brandenburg","college entrance qualification","69","0.281220938104038","0.225489580591559","0.336952295616516"
"Rarely ","2013","Brandenburg","Other degree","","","",""
"Rarely ","2013","Brandenburg","no degree/no degree yet","","","",""
"Rarely ","2013","Mecklenburg-Western Pomerania","lower secondary degree","44","0.339690249584469","0.254953292629202","0.424427206539736"
"Rarely ","2013","Mecklenburg-Western Pomerania","secondary school degree","95","0.395420359245073","0.339243446456708","0.451597272033438"
"Rarely ","2013","Mecklenburg-Western Pomerania","college entrance qualification","57","0.393658515758117","0.310937823838452","0.476379207677781"
"Rarely ","2013","Mecklenburg-Western Pomerania","Other degree","","","",""
"Rarely ","2013","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Rarely ","2013","Saxony","lower secondary degree","99","0.369025871777775","0.317276028226073","0.420775715329478"
"Rarely ","2013","Saxony","secondary school degree","231","0.295327334905898","0.264568826418561","0.326085843393236"
"Rarely ","2013","Saxony","college entrance qualification","116","0.265212768836947","0.223918113461353","0.306507424212541"
"Rarely ","2013","Saxony","Other degree","","","",""
"Rarely ","2013","Saxony","no degree/no degree yet","","","",""
"Rarely ","2013","Saxony-Anhalt","lower secondary degree","54","0.252889716324519","0.197315659386768","0.308463773262271"
"Rarely ","2013","Saxony-Anhalt","secondary school degree","129","0.296511988338799","0.254267077336074","0.338756899341524"
"Rarely ","2013","Saxony-Anhalt","college entrance qualification","58","0.243432278229318","0.186067958579601","0.300796597879034"
"Rarely ","2013","Saxony-Anhalt","Other degree","","","",""
"Rarely ","2013","Saxony-Anhalt","no degree/no degree yet","","","",""
"Rarely ","2013","Thuringia","lower secondary degree","78","0.270420187206852","0.218112662916591","0.322727711497113"
"Rarely ","2013","Thuringia","secondary school degree","158","0.306606304790217","0.264470658472752","0.348741951107683"
"Rarely ","2013","Thuringia","college entrance qualification","67","0.455852135107561","0.388809570079315","0.522894700135807"
"Rarely ","2013","Thuringia","Other degree","","","",""
"Rarely ","2013","Thuringia","no degree/no degree yet","","","",""
"Never","2013","Schleswig-Holstein","lower secondary degree","135","0.52728990131153","0.466604590008272","0.587975212614789"
"Never","2013","Schleswig-Holstein","secondary school degree","158","0.541264871827345","0.483515004002456","0.599014739652234"
"Never","2013","Schleswig-Holstein","college entrance qualification","138","0.538643403099225","0.474218583202653","0.603068222995798"
"Never","2013","Schleswig-Holstein","Other degree","","","",""
"Never","2013","Schleswig-Holstein","no degree/no degree yet","","","",""
"Never","2013","Hamburg","lower secondary degree","56","0.727997766472653","0.635024516269062","0.820971016676245"
"Never","2013","Hamburg","secondary school degree","67","0.564221734832817","0.468461066717434","0.659982402948199"
"Never","2013","Hamburg","college entrance qualification","136","0.775094846658149","0.71158059652297","0.838609096793327"
"Never","2013","Hamburg","Other degree","","","",""
"Never","2013","Hamburg","no degree/no degree yet","","","",""
"Never","2013","Lower Saxony","lower secondary degree","387","0.561139545304697","0.52461173525509","0.597667355354305"
"Never","2013","Lower Saxony","secondary school degree","469","0.60070777466756","0.566315855161806","0.635099694173314"
"Never","2013","Lower Saxony","college entrance qualification","437","0.620560372885246","0.584221942241668","0.656898803528824"
"Never","2013","Lower Saxony","Other degree","59","0.373391580945175","0.290242627285572","0.456540534604778"
"Never","2013","Lower Saxony","no degree/no degree yet","44","0.418538700281694","0.316048744509031","0.521028656054358"
"Never","2013","Bremen","lower secondary degree","","","",""
"Never","2013","Bremen","secondary school degree","","","",""
"Never","2013","Bremen","college entrance qualification","37","0.526058276154717","0.396432889795422","0.655683662514012"
"Never","2013","Bremen","Other degree","","","",""
"Never","2013","Bremen","no degree/no degree yet","","","",""
"Never","2013","North Rhine-Westphalia","lower secondary degree","826","0.584296795383093","0.558815110228079","0.609778480538107"
"Never","2013","North Rhine-Westphalia","secondary school degree","699","0.565312355665924","0.536549092449709","0.594075618882139"
"Never","2013","North Rhine-Westphalia","college entrance qualification","1117","0.640375146802616","0.617576430408885","0.663173863196347"
"Never","2013","North Rhine-Westphalia","Other degree","198","0.522498135279639","0.475450906073963","0.569545364485315"
"Never","2013","North Rhine-Westphalia","no degree/no degree yet","111","0.544711325294543","0.478905645972755","0.610517004616331"
"Never","2013","Hesse","lower secondary degree","218","0.543448144901949","0.49487664445925","0.592019645344648"
"Never","2013","Hesse","secondary school degree","272","0.574699295324602","0.529618093368665","0.619780497280539"
"Never","2013","Hesse","college entrance qualification","406","0.645709204825133","0.60827119586597","0.683147213784297"
"Never","2013","Hesse","Other degree","85","0.561804763592328","0.482927319092472","0.640682208092185"
"Never","2013","Hesse","no degree/no degree yet","33","0.51779892123922","0.401570168833976","0.634027673644464"
"Never","2013","Rhineland-Palatinate,Saarland","lower secondary degree","333","0.611753592404074","0.570648730049455","0.652858454758694"
"Never","2013","Rhineland-Palatinate,Saarland","secondary school degree","201","0.538501699001736","0.483710207435702","0.59329319056777"
"Never","2013","Rhineland-Palatinate,Saarland","college entrance qualification","237","0.611417920169697","0.560996934349665","0.661838905989728"
"Never","2013","Rhineland-Palatinate,Saarland","Other degree","51","0.558835776901019","0.464312797541718","0.65335875626032"
"Never","2013","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Never","2013","Baden-Württemberg","lower secondary degree","475","0.526227831772961","0.492581742828241","0.55987392071768"
"Never","2013","Baden-Württemberg","secondary school degree","515","0.578919734286625","0.545649601768455","0.612189866804795"
"Never","2013","Baden-Württemberg","college entrance qualification","616","0.646444338596103","0.615279969311857","0.677608707880348"
"Never","2013","Baden-Württemberg","Other degree","123","0.484207974134242","0.421113278421399","0.547302669847085"
"Never","2013","Baden-Württemberg","no degree/no degree yet","44","0.470358813613776","0.364870491780179","0.575847135447374"
"Never","2013","Bavaria","lower secondary degree","792","0.573578811078717","0.54769131642173","0.599466305735703"
"Never","2013","Bavaria","secondary school degree","675","0.582489450078234","0.553280308727221","0.611698591429247"
"Never","2013","Bavaria","college entrance qualification","675","0.651730156006956","0.62249268197347","0.680967630040442"
"Never","2013","Bavaria","Other degree","139","0.500956192224609","0.441426634528158","0.560485749921061"
"Never","2013","Bavaria","no degree/no degree yet","60","0.471035393303511","0.380972236589316","0.561098550017706"
"Never","2013","Berlin","lower secondary degree","80","0.497074657364984","0.421914756001993","0.572234558727976"
"Never","2013","Berlin","secondary school degree","168","0.489281534180573","0.434596842489415","0.543966225871731"
"Never","2013","Berlin","college entrance qualification","239","0.612492781630666","0.564387765354819","0.660597797906512"
"Never","2013","Berlin","Other degree","","","",""
"Never","2013","Berlin","no degree/no degree yet","","","",""
"Never","2013","Brandenburg","lower secondary degree","108","0.469666822217731","0.407677375892204","0.531656268543257"
"Never","2013","Brandenburg","secondary school degree","209","0.451650280963271","0.4053081305027","0.497992431423843"
"Never","2013","Brandenburg","college entrance qualification","141","0.544393655435507","0.482658933567639","0.606128377303375"
"Never","2013","Brandenburg","Other degree","","","",""
"Never","2013","Brandenburg","no degree/no degree yet","","","",""
"Never","2013","Mecklenburg-Western Pomerania","lower secondary degree","46","0.313689541654055","0.230672396158972","0.396706687149137"
"Never","2013","Mecklenburg-Western Pomerania","secondary school degree","136","0.436515729280798","0.379533105304109","0.493498353257486"
"Never","2013","Mecklenburg-Western Pomerania","college entrance qualification","65","0.510120719547006","0.425480514018056","0.594760925075955"
"Never","2013","Mecklenburg-Western Pomerania","Other degree","","","",""
"Never","2013","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Never","2013","Saxony","lower secondary degree","165","0.446417913511356","0.39310447688643","0.499731350136283"
"Never","2013","Saxony","secondary school degree","470","0.514204204959737","0.480505405890679","0.547903004028794"
"Never","2013","Saxony","college entrance qualification","271","0.608013206744905","0.562345620794877","0.653680792694934"
"Never","2013","Saxony","Other degree","","","",""
"Never","2013","Saxony","no degree/no degree yet","","","",""
"Never","2013","Saxony-Anhalt","lower secondary degree","130","0.544651501227784","0.480979944685467","0.6083230577701"
"Never","2013","Saxony-Anhalt","secondary school degree","232","0.548698990827398","0.502670667667215","0.594727313987581"
