"plj0589","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","lower secondary degree","","","",""
"Very often","2013","16-34 y.","secondary school degree","","","",""
"Very often","2013","16-34 y.","college entrance qualification","","","",""
"Very often","2013","16-34 y.","Other degree","","","",""
"Very often","2013","16-34 y.","no degree/no degree yet","","","",""
"Very often","2013","35-65 y.","lower secondary degree","70","0.0197312502978269","0.015171713775965","0.0242907868196887"
"Very often","2013","35-65 y.","secondary school degree","62","0.0121444270069025","0.00919562646409895","0.0150932275497061"
"Very often","2013","35-65 y.","college entrance qualification","","","",""
"Very often","2013","35-65 y.","Other degree","","","",""
"Very often","2013","35-65 y.","no degree/no degree yet","","","",""
"Very often","2013","66 and older","lower secondary degree","32","0.0111449967278777","0.00715704084047951","0.0151329526152759"
"Very often","2013","66 and older","secondary school degree","","","",""
"Very often","2013","66 and older","college entrance qualification","","","",""
"Very often","2013","66 and older","Other degree","","","",""
"Very often","2013","66 and older","no degree/no degree yet","","","",""
"Often","2013","16-34 y.","lower secondary degree","41","0.0505859107257654","0.0361229761631099","0.0650488452884209"
"Often","2013","16-34 y.","secondary school degree","60","0.0454225635111555","0.0351616446317673","0.0556834823905437"
"Often","2013","16-34 y.","college entrance qualification","36","0.0219607031750463","0.0151657403021702","0.0287556660479224"
"Often","2013","16-34 y.","Other degree","","","",""
"Often","2013","16-34 y.","no degree/no degree yet","33","0.0774847353310832","0.0551609853918962","0.0998084852702702"
"Often","2013","35-65 y.","lower secondary degree","167","0.0448837739679464","0.0380957461750501","0.0516718017608428"
"Often","2013","35-65 y.","secondary school degree","206","0.0420130255041035","0.0366119289995567","0.0474141220086502"
"Often","2013","35-65 y.","college entrance qualification","95","0.0274231397946299","0.0227261183767034","0.0321201612125564"
"Often","2013","35-65 y.","Other degree","59","0.0546768618954227","0.0412660370998351","0.0680876866910102"
"Often","2013","35-65 y.","no degree/no degree yet","","","",""
"Often","2013","66 and older","lower secondary degree","101","0.0463267064651894","0.038341988351157","0.0543114245792218"
"Often","2013","66 and older","secondary school degree","","","",""
"Often","2013","66 and older","college entrance qualification","","","",""
"Often","2013","66 and older","Other degree","","","",""
"Often","2013","66 and older","no degree/no degree yet","","","",""
"Sometimes","2013","16-34 y.","lower secondary degree","135","0.139496604207853","0.116631567100614","0.162361641315093"
"Sometimes","2013","16-34 y.","secondary school degree","189","0.108405517816013","0.093085677743552","0.123725357888473"
"Sometimes","2013","16-34 y.","college entrance qualification","140","0.0775893980342003","0.0651857581455763","0.0899930379228243"
"Sometimes","2013","16-34 y.","Other degree","61","0.287962020550558","0.231261867065433","0.344662174035682"
"Sometimes","2013","16-34 y.","no degree/no degree yet","52","0.0880799422325687","0.06441588613195","0.111743998333187"
"Sometimes","2013","35-65 y.","lower secondary degree","406","0.101388655307291","0.0914928430549625","0.111284467559619"
"Sometimes","2013","35-65 y.","secondary school degree","527","0.1058441773047","0.097561890861267","0.114126463748132"
"Sometimes","2013","35-65 y.","college entrance qualification","331","0.081956520488571","0.0740674585355003","0.0898455824416418"
"Sometimes","2013","35-65 y.","Other degree","167","0.156485847864995","0.135054609105538","0.177917086624451"
"Sometimes","2013","35-65 y.","no degree/no degree yet","41","0.251053545437303","0.18873745728482","0.313369633589786"
"Sometimes","2013","66 and older","lower secondary degree","262","0.103762646857621","0.0921781785331222","0.115347115182119"
"Sometimes","2013","66 and older","secondary school degree","76","0.0939735560956795","0.0759244996927107","0.112022612498648"
"Sometimes","2013","66 and older","college entrance qualification","61","0.0734669972996922","0.0569887301638909","0.0899452644354936"
"Sometimes","2013","66 and older","Other degree","36","0.150429238365509","0.106465244377207","0.194393232353811"
"Sometimes","2013","66 and older","no degree/no degree yet","","","",""
"Rarely ","2013","16-34 y.","lower secondary degree","274","0.343393287356003","0.312055930854262","0.374730643857745"
"Rarely ","2013","16-34 y.","secondary school degree","452","0.295337648838343","0.272857727237061","0.317817570439626"
"Rarely ","2013","16-34 y.","college entrance qualification","498","0.26546810064594","0.244994354384203","0.285941846907677"
"Rarely ","2013","16-34 y.","Other degree","77","0.290861203705433","0.233992468380436","0.34772993903043"
"Rarely ","2013","16-34 y.","no degree/no degree yet","160","0.255856778776285","0.219423435943552","0.292290121609019"
"Rarely ","2013","35-65 y.","lower secondary degree","1028","0.29933643009887","0.284322120283308","0.314350739914431"
"Rarely ","2013","35-65 y.","secondary school degree","1468","0.300711319370844","0.288365688333294","0.313056950408395"
"Rarely ","2013","35-65 y.","college entrance qualification","1186","0.257653852605412","0.245075506652489","0.270232198558336"
"Rarely ","2013","35-65 y.","Other degree","314","0.276932201207034","0.25053609946256","0.303328302951508"
"Rarely ","2013","35-65 y.","no degree/no degree yet","51","0.340321365463697","0.272228370602833","0.408414360324561"
"Rarely ","2013","66 and older","lower secondary degree","665","0.250865298629276","0.234397167427349","0.267333429831202"
"Rarely ","2013","66 and older","secondary school degree","284","0.290887893015313","0.262794673819861","0.318981112210766"
"Rarely ","2013","66 and older","college entrance qualification","231","0.285437252529061","0.256913250459195","0.313961254598927"
"Rarely ","2013","66 and older","Other degree","64","0.235751509025263","0.18355087615954","0.287952141890987"
