"plj0589","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Not Employed","Part Time","","","","","5"
"Never","2013","Employed","Full Time","5881","0.596213595628728","0.586420527153007","0.606006664104449","5"
"Never","2013","Employed","Part Time","4080","0.556224445287764","0.544680151715519","0.567768738860009","5"
"Never","2013","Employed","Not Working","","","","","5"
"Never","2013","Not Employed","Not Working","4824","0.542511321928984","0.532094216251769","0.552928427606199","5"
"Never","2013","Not Employed","Full Time","","","","","5"
"Often","2013","Not Employed","Part Time","","","","","2"
"Often","2013","Not Employed","Full Time","","","","","2"
"Often","2013","Not Employed","Not Working","434","0.0526494676243076","0.0479795971455416","0.0573193381030737","2"
"Often","2013","Employed","Full Time","232","0.0263512760155065","0.0231542661078904","0.0295482859231226","2"
"Often","2013","Employed","Part Time","256","0.040090030380176","0.0355318229719206","0.0446482377884314","2"
"Often","2013","Employed","Not Working","","","","","2"
"Rarely ","2013","Not Employed","Part Time","","","","","4"
"Rarely ","2013","Not Employed","Full Time","","","","","4"
"Rarely ","2013","Not Employed","Not Working","2299","0.26416298424331","0.254944080337305","0.273381888149314","4"
"Rarely ","2013","Employed","Full Time","2705","0.291923630491759","0.282849256300655","0.300998004682863","4"
"Rarely ","2013","Employed","Part Time","1967","0.290035282024482","0.279491305309954","0.300579258739009","4"
"Rarely ","2013","Employed","Not Working","","","","","4"
"Sometimes","2013","Not Employed","Part Time","","","","","3"
"Sometimes","2013","Not Employed","Not Working","1057","0.124501529272252","0.117598057864704","0.1314050006798","3"
"Sometimes","2013","Employed","Not Working","","","","","3"
"Sometimes","2013","Employed","Part Time","736","0.102787206592259","0.0957308925744534","0.109843520610064","3"
"Sometimes","2013","Not Employed","Full Time","","","","","3"
"Sometimes","2013","Employed","Full Time","785","0.0799246367846355","0.074512184955076","0.085337088614195","3"
"Very often","2013","Not Employed","Full Time","","","","","1"
"Very often","2013","Not Employed","Part Time","","","","","1"
"Very often","2013","Not Employed","Not Working","172","0.0161746969311465","0.013536971651808","0.0188124222104851","1"
"Very often","2013","Employed","Full Time","40","0.00558686107937085","0.00409918160575667","0.00707454055298503","1"
"Very often","2013","Employed","Part Time","76","0.0108630357153201","0.00845443695527923","0.013271634475361","1"
"Very often","2013","Employed","Not Working","","","","","1"
"Never","2014","Not Employed","Part Time","","","","","5"
"Never","2014","Employed","Not Working","","","","","5"
"Never","2014","Not Employed","Not Working","","","","","5"
"Never","2014","Not Employed","Full Time","","","","","5"
"Never","2014","Employed","Part Time","","","","","5"
"Never","2014","Employed","Full Time","","","","","5"
"Often","2014","Not Employed","Part Time","","","","","2"
"Often","2014","Not Employed","Not Working","","","","","2"
"Often","2014","Employed","Full Time","","","","","2"
"Often","2014","Not Employed","Full Time","","","","","2"
"Often","2014","Employed","Part Time","","","","","2"
"Often","2014","Employed","Not Working","","","","","2"
"Rarely ","2014","Not Employed","Part Time","","","","","4"
"Rarely ","2014","Employed","Part Time","","","","","4"
"Rarely ","2014","Employed","Not Working","","","","","4"
"Rarely ","2014","Not Employed","Full Time","","","","","4"
"Rarely ","2014","Not Employed","Not Working","","","","","4"
"Rarely ","2014","Employed","Full Time","","","","","4"
"Sometimes","2014","Not Employed","Part Time","","","","","3"
"Sometimes","2014","Not Employed","Not Working","","","","","3"
"Sometimes","2014","Not Employed","Full Time","","","","","3"
"Sometimes","2014","Employed","Full Time","","","","","3"
"Sometimes","2014","Employed","Part Time","","","","","3"
"Sometimes","2014","Employed","Not Working","","","","","3"
"Very often","2014","Not Employed","Not Working","","","","","1"
"Very often","2014","Not Employed","Full Time","","","","","1"
"Very often","2014","Not Employed","Part Time","","","","","1"
"Very often","2014","Employed","Full Time","","","","","1"
"Very often","2014","Employed","Part Time","","","","","1"
"Very often","2014","Employed","Not Working","","","","","1"
"Never","2015","Not Employed","Part Time","","","","","5"
"Never","2015","Not Employed","Not Working","","","","","5"
"Never","2015","Employed","Part Time","","","","","5"
"Never","2015","Employed","Not Working","","","","","5"
"Never","2015","Not Employed","Full Time","","","","","5"
"Never","2015","Employed","Full Time","","","","","5"
"Often","2015","Employed","Full Time","","","","","2"
"Often","2015","Not Employed","Full Time","","","","","2"
"Often","2015","Not Employed","Not Working","","","","","2"
"Often","2015","Not Employed","Part Time","","","","","2"
"Often","2015","Employed","Part Time","","","","","2"
"Often","2015","Employed","Not Working","","","","","2"
"Rarely ","2015","Not Employed","Part Time","","","","","4"
"Rarely ","2015","Not Employed","Not Working","","","","","4"
"Rarely ","2015","Not Employed","Full Time","","","","","4"
"Rarely ","2015","Employed","Part Time","","","","","4"
"Rarely ","2015","Employed","Full Time","","","","","4"
"Rarely ","2015","Employed","Not Working","","","","","4"
"Sometimes","2015","Not Employed","Not Working","","","","","3"
"Sometimes","2015","Employed","Full Time","","","","","3"
"Sometimes","2015","Not Employed","Full Time","","","","","3"
"Sometimes","2015","Not Employed","Part Time","","","","","3"
