"plj0589","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","no migration background","general elemantary","976","0.515154719982786","0.492509235059238","0.537800204906333","5"
"Never","2013","no migration background","middle vocational","6302","0.565516397918799","0.556248141043762","0.574784654793835","5"
"Never","2013","no migration background","inadequately","58","0.331284265217757","0.262139506503698","0.400429023931817","5"
"Never","2013","no migration background","vocational + Abi","834","0.610378156626708","0.584741473769348","0.636014839484069","5"
"Never","2013","no migration background","in school","204","0.622841117583044","0.570468901654765","0.675213333511323","5"
"Never","2013","no migration background","higher vocational","887","0.542430716096348","0.517442851660044","0.567418580532652","5"
"Never","2013","no migration background","higher education","3346","0.630205589933146","0.616939634966055","0.643471544900237","5"
"Never","2013","direct migration background","in school","9","","","","5"
"Never","2013","direct migration background","inadequately","32","0.335254427727744","0.25182667925809","0.418682176197397","5"
"Never","2013","direct migration background","general elemantary","236","0.462456166994646","0.419394909710596","0.505517424278697","5"
"Never","2013","direct migration background","middle vocational","510","0.545211269944078","0.513874842457925","0.57654769743023","5"
"Never","2013","direct migration background","vocational + Abi","147","0.453644995061752","0.398225473917812","0.509064516205691","5"
"Never","2013","direct migration background","higher vocational","53","0.487797002964448","0.389334444757796","0.586259561171099","5"
"Never","2013","direct migration background","higher education","296","0.520405503107567","0.479028206428885","0.561782799786249","5"
"Never","2013","indirect migration background","in school","55","0.632642806524619","0.535186998739185","0.730098614310053","5"
"Never","2013","indirect migration background","inadequately","10","","","","5"
"Never","2013","indirect migration background","general elemantary","99","0.474505911878697","0.406150029848592","0.542861793908801","5"
"Never","2013","indirect migration background","middle vocational","277","0.545666070790843","0.500747270102754","0.590584871478932","5"
"Never","2013","indirect migration background","vocational + Abi","50","0.644588612356482","0.536264673564148","0.752912551148816","5"
"Never","2013","indirect migration background","higher vocational","33","0.647939746975126","0.518125538819258","0.777753955130994","5"
"Never","2013","indirect migration background","higher education","115","0.644294288815447","0.575310064263735","0.71327851336716","5"
"Often","2013","no migration background","general elemantary","107","0.0641110133320152","0.0530118642129481","0.0752101624510823","2"
"Often","2013","no migration background","middle vocational","409","0.0380438484332693","0.034466933390176","0.0416207634763627","2"
"Often","2013","direct migration background","vocational + Abi","9","","","","2"
"Often","2013","no migration background","in school","11","","","","2"
"Often","2013","no migration background","inadequately","19","","","","2"
"Often","2013","indirect migration background","middle vocational","15","","","","2"
"Often","2013","indirect migration background","vocational + Abi","4","","","","2"
"Often","2013","indirect migration background","higher vocational","1","","","","2"
"Often","2013","direct migration background","general elemantary","21","","","","2"
"Often","2013","direct migration background","middle vocational","53","0.0716769114591157","0.0554438122970346","0.0879100106211968","2"
"Often","2013","no migration background","vocational + Abi","51","0.0357473798985604","0.0259871912362586","0.0455075685608622","2"
"Often","2013","no migration background","higher vocational","41","0.0328774566807987","0.0239337317674017","0.0418211815941957","2"
"Often","2013","no migration background","higher education","87","0.0249498001363118","0.0206636809301479","0.0292359193424757","2"
"Often","2013","direct migration background","in school","1","","","","2"
"Often","2013","direct migration background","inadequately","16","","","","2"
"Often","2013","direct migration background","higher vocational","4","","","","2"
"Often","2013","direct migration background","higher education","29","","","","2"
"Often","2013","indirect migration background","in school","4","","","","2"
"Often","2013","indirect migration background","inadequately","6","","","","2"
"Often","2013","indirect migration background","general elemantary","10","","","","2"
"Often","2013","indirect migration background","higher education","3","","","","2"
"Rarely ","2013","no migration background","inadequately","55","0.312585226563215","0.244487636170403","0.380682816956028","4"
"Rarely ","2013","no migration background","in school","92","0.255809041629434","0.208662452145416","0.302955631113452","4"
"Rarely ","2013","no migration background","general elemantary","495","0.277400423382895","0.257113620544226","0.297687226221565","4"
"Rarely ","2013","no migration background","middle vocational","3031","0.284637898855003","0.276200703747586","0.293075093962419","4"
"Rarely ","2013","no migration background","vocational + Abi","374","0.259280926524397","0.23624250395616","0.282319349092634","4"
"Rarely ","2013","no migration background","higher vocational","460","0.321970709661419","0.298535924167682","0.345405495155155","4"
"Rarely ","2013","no migration background","higher education","1306","0.265586673431155","0.253450252346443","0.277723094515868","4"
"Rarely ","2013","direct migration background","in school","8","","","","4"
"Rarely ","2013","direct migration background","inadequately","37","0.293575307720066","0.213095258514164","0.374055356925968","4"
"Rarely ","2013","direct migration background","general elemantary","151","0.249927915764553","0.212533791969695","0.287322039559411","4"
"Rarely ","2013","direct migration background","higher education","157","0.309628568585912","0.271335868023788","0.347921269148037","4"
"Rarely ","2013","indirect migration background","in school","28","","","","4"
"Rarely ","2013","indirect migration background","inadequately","5","","","","4"
"Rarely ","2013","indirect migration background","general elemantary","54","0.26701358017448","0.206453589490467","0.327573570858493","4"
"Rarely ","2013","indirect migration background","middle vocational","118","0.296602437529268","0.255396018069825","0.337808856988711","4"
"Rarely ","2013","direct migration background","middle vocational","263","0.246994233359102","0.21985454966052","0.274133917057684","4"
"Rarely ","2013","direct migration background","vocational + Abi","99","0.38730713699725","0.333080033842034","0.441534240152466","4"
"Rarely ","2013","direct migration background","higher vocational","33","0.396348412305507","0.299996080643863","0.49270074396715","4"
"Rarely ","2013","indirect migration background","vocational + Abi","16","","","","4"
"Rarely ","2013","indirect migration background","higher vocational","14","","","","4"
"Rarely ","2013","indirect migration background","higher education","50","0.277694229274469","0.213157612197762","0.342230846351175","4"
"Sometimes","2013","no migration background","vocational + Abi","122","0.0861864484371317","0.0714331550028978","0.100939741871366","3"
"Sometimes","2013","no migration background","inadequately","35","0.209243804164134","0.149487229494668","0.269000378833601","3"
"Sometimes","2013","no migration background","general elemantary","242","0.12322272479121","0.108329071360315","0.138116378222105","3"
"Sometimes","2013","no migration background","higher vocational","128","0.0959830721322898","0.0812085250265752","0.110757619238004","3"
"Sometimes","2013","no migration background","higher education","324","0.073419618953064","0.06625216625446","0.080587071651668","3"
"Sometimes","2013","no migration background","middle vocational","1118","0.100712182764721","0.0950851541326822","0.106339211396759","3"
"Sometimes","2013","no migration background","in school","21","","","","3"
"Sometimes","2013","direct migration background","in school","2","","","","3"
"Sometimes","2013","direct migration background","inadequately","35","0.279513332578797","0.200206651801179","0.358820013356415","3"
"Sometimes","2013","direct migration background","general elemantary","97","0.231727813908548","0.195286744441498","0.268168883375598","3"
"Sometimes","2013","direct migration background","vocational + Abi","50","0.121705049777828","0.0853100487358088","0.158100050819847","3"
"Sometimes","2013","direct migration background","higher vocational","8","","","","3"
"Sometimes","2013","direct migration background","higher education","72","0.109628668016838","0.0837523946606694","0.135504941373007","3"
"Sometimes","2013","indirect migration background","in school","7","","","","3"
"Sometimes","2013","direct migration background","middle vocational","133","0.121728925270117","0.101152335103017","0.142305515437218","3"
"Sometimes","2013","indirect migration background","inadequately","5","","","","3"
"Sometimes","2013","indirect migration background","general elemantary","36","0.188416530321907","0.134886528535184","0.24194653210863","3"
"Sometimes","2013","indirect migration background","middle vocational","59","0.130341564502828","0.0999681992029111","0.160714929802746","3"
"Sometimes","2013","indirect migration background","vocational + Abi","4","","","","3"
"Sometimes","2013","indirect migration background","higher vocational","3","","","","3"
"Sometimes","2013","indirect migration background","higher education","17","","","","3"
"Very often","2013","no migration background","in school","1","","","","1"
