"plj0589","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Not Employed","in school","214","0.667994562675394","0.618301289301435","0.717687836049353","5"
"Never","2013","Not Employed","vocational + Abi","182","0.525953428653059","0.473716373833374","0.578190483472745","5"
"Never","2013","Not Employed","higher vocational","255","0.507197859644149","0.462237861462636","0.552157857825661","5"
"Never","2013","Not Employed","higher education","889","0.566295458896509","0.540918019289088","0.591672898503929","5"
"Never","2013","Employed","in school","54","0.491850262276003","0.39287028273482","0.590830241817187","5"
"Never","2013","Employed","inadequately","49","0.375913080775354","0.297346487480666","0.454479674070041","5"
"Never","2013","Employed","general elemantary","643","0.50414116702351","0.476323717514896","0.531958616532123","5"
"Never","2013","Employed","middle vocational","4624","0.56897233231793","0.558114436405574","0.579830228230285","5"
"Never","2013","Employed","vocational + Abi","849","0.605629567999023","0.580246225807633","0.631012910190413","5"
"Never","2013","Not Employed","inadequately","51","0.316947710809189","0.249349814238383","0.384545607379995","5"
"Never","2013","Not Employed","general elemantary","668","0.504840838287805","0.478170356817321","0.53151131975829","5"
"Never","2013","Not Employed","middle vocational","2465","0.555663778378964","0.541046469599016","0.570281087158913","5"
"Never","2013","Employed","higher vocational","718","0.556557200604169","0.528484190374018","0.584630210834321","5"
"Never","2013","Employed","higher education","2868","0.641674818507897","0.627453081017131","0.655896555998662","5"
"Often","2013","Not Employed","in school","11","","","","2"
"Often","2013","Not Employed","inadequately","28","","","","2"
"Often","2013","Not Employed","middle vocational","219","0.0486570707304465","0.042327896578557","0.0549862448823359","2"
"Often","2013","Not Employed","vocational + Abi","20","","","","2"
"Often","2013","Not Employed","general elemantary","86","0.0716167096272352","0.0578619803721742","0.0853714388822961","2"
"Often","2013","Not Employed","higher vocational","19","","","","2"
"Often","2013","Not Employed","higher education","41","0.0341442250572539","0.0248450580107907","0.043443392103717","2"
"Often","2013","Employed","in school","5","","","","2"
"Often","2013","Employed","inadequately","13","","","","2"
"Often","2013","Employed","general elemantary","52","0.0424895667998068","0.0312674416074086","0.0537116919922051","2"
"Often","2013","Employed","middle vocational","258","0.0342663819008097","0.0302778751998864","0.0382548886017329","2"
"Often","2013","Employed","vocational + Abi","44","0.0284799399980445","0.0198404418167314","0.0371194381793576","2"
"Often","2013","Employed","higher vocational","27","","","","2"
"Often","2013","Employed","higher education","78","0.0231139075941549","0.0186571896975492","0.0275706254907606","2"
"Rarely ","2013","Not Employed","inadequately","47","0.244325249678309","0.181899462382709","0.306751036973909","4"
"Rarely ","2013","Not Employed","higher education","399","0.296681445299047","0.2732903526474","0.320072537950693","4"
"Rarely ","2013","Not Employed","in school","96","0.23851165437156","0.193541438082647","0.283481870660473","4"
