"plj0589","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","1-pers.-HH","40","0.0250583201499047","0.0164856139929339","0.0336310263068755"
"Very often","2013","lower secondary degree","(Married) couple without C. ","30","0.0125416417468144","0.00841671635251189","0.0166665671411168"
"Very often","2013","lower secondary degree","Single parent ","23","","",""
"Very often","2013","lower secondary degree","Couple + C. LE 16 ","16","","",""
"Very often","2013","lower secondary degree","Couple + C. GT 16 ","4","","",""
"Very often","2013","lower secondary degree","Couple + C. LE and GT 16","2","","",""
"Very often","2013","secondary school degree","1-pers.-HH","17","","",""
"Very often","2013","secondary school degree","(Married) couple without C. ","13","","",""
"Very often","2013","secondary school degree","Single parent ","29","","",""
"Very often","2013","secondary school degree","Couple + C. LE 16 ","15","","",""
"Very often","2013","secondary school degree","Couple + C. GT 16 ","4","","",""
"Very often","2013","secondary school degree","Couple + C. LE and GT 16","5","","",""
"Very often","2013","college entrance qualification","1-pers.-HH","11","","",""
"Very often","2013","college entrance qualification","(Married) couple without C. ","7","","",""
"Very often","2013","college entrance qualification","Single parent ","7","","",""
"Very often","2013","college entrance qualification","Couple + C. LE 16 ","4","","",""
"Very often","2013","college entrance qualification","Couple + C. GT 16 ","2","","",""
"Very often","2013","college entrance qualification","Couple + C. LE and GT 16","1","","",""
"Very often","2013","Other degree","1-pers.-HH","7","","",""
"Very often","2013","Other degree","(Married) couple without C. ","2","","",""
"Very often","2013","Other degree","Single parent ","10","","",""
"Very often","2013","Other degree","Couple + C. LE 16 ","6","","",""
"Very often","2013","Other degree","Couple + C. GT 16 ","3","","",""
"Very often","2013","Other degree","Couple + C. LE and GT 16","2","","",""
"Very often","2013","no degree/no degree yet","1-pers.-HH","6","","",""
"Very often","2013","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Very often","2013","no degree/no degree yet","Single parent ","1","","",""
"Very often","2013","no degree/no degree yet","Couple + C. LE 16 ","5","","",""
"Very often","2013","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Very often","2013","no degree/no degree yet","Couple + C. LE and GT 16","2","","",""
"Often","2013","lower secondary degree","1-pers.-HH","88","0.0707068289589957","0.0566476585321159","0.0847659993858755"
"Often","2013","lower secondary degree","(Married) couple without C. ","80","0.0319658538096678","0.0254455474709627","0.0384861601483729"
"Often","2013","lower secondary degree","Single parent ","50","0.0818160503046423","0.0599759561115033","0.103656144497781"
"Often","2013","lower secondary degree","Couple + C. LE 16 ","40","0.0428715159031545","0.031352658254581","0.054390373551728"
"Often","2013","lower secondary degree","Couple + C. GT 16 ","26","","",""
"Often","2013","lower secondary degree","Couple + C. LE and GT 16","16","","",""
"Often","2013","secondary school degree","1-pers.-HH","66","0.0668546099263432","0.050929863568686","0.0827793562840004"
"Often","2013","secondary school degree","(Married) couple without C. ","50","0.0265265621682963","0.0198389688118539","0.0332141555247387"
"Often","2013","secondary school degree","Single parent ","66","0.0741260246168008","0.0576736001412458","0.0905784490923558"
