"plj0589","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","(0) in school","","","",""
"Very often","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Very often","2013","lower secondary degree","(1b) general elementary school","49","0.0244211681403428","0.0167145973379847","0.032127738942701"
"Very often","2013","lower secondary degree","(1c) basic vocational qualification","70","0.0133547951364086","0.0102914795553968","0.0164181107174204"
"Very often","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very often","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Very often","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very often","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"Very often","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Very often","2013","secondary school degree","(0) in school","","","",""
"Very often","2013","secondary school degree","(1a) inadequately completed","","","",""
"Very often","2013","secondary school degree","(1b) general elementary school","","","",""
"Very often","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Very often","2013","secondary school degree","(2b) intermediate general qualification","","","",""
"Very often","2013","secondary school degree","(2a) intermediate vocational","66","0.00907575565680444","0.00676551665129214","0.0113859946623167"
"Very often","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very often","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","secondary school degree","(3a) lower tertiary education","","","",""
"Very often","2013","secondary school degree","(3b) higher tertiary education","","","",""
"Very often","2013","college entrance qualification","(0) in school","","","",""
"Very often","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Very often","2013","college entrance qualification","(1b) general elementary school","","","",""
"Very often","2013","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very often","2013","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very often","2013","college entrance qualification","(2a) intermediate vocational","","","",""
"Very often","2013","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Very often","2013","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","college entrance qualification","(3a) lower tertiary education","","","",""
"Very often","2013","college entrance qualification","(3b) higher tertiary education","","","",""
"Very often","2013","Other degree","(0) in school","","","",""
"Very often","2013","Other degree","(1a) inadequately completed","","","",""
"Very often","2013","Other degree","(1b) general elementary school","","","",""
"Very often","2013","Other degree","(1c) basic vocational qualification","","","",""
"Very often","2013","Other degree","(2b) intermediate general qualification","","","",""
"Very often","2013","Other degree","(2a) intermediate vocational","","","",""
"Very often","2013","Other degree","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","Other degree","(3a) lower tertiary education","","","",""
"Very often","2013","Other degree","(3b) higher tertiary education","","","",""
"Very often","2013","no degree/no degree yet","(0) in school","","","",""
"Very often","2013","no degree/no degree yet","(1a) inadequately completed","","","",""
"Very often","2013","no degree/no degree yet","(1b) general elementary school","","","",""
"Very often","2013","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very often","2013","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very often","2013","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very often","2013","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very often","2013","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very often","2013","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Often","2013","lower secondary degree","(0) in school","","","",""
"Often","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Often","2013","lower secondary degree","(1b) general elementary school","85","0.066255421138167","0.0538368529075925","0.0786739893687415"
"Often","2013","lower secondary degree","(1c) basic vocational qualification","214","0.0394910373120644","0.0342935600079772","0.0446885146161517"
"Often","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Often","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Often","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Often","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"Often","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Often","2013","secondary school degree","(0) in school","","","",""
"Often","2013","secondary school degree","(1a) inadequately completed","","","",""
"Often","2013","secondary school degree","(1b) general elementary school","","","",""
"Often","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Often","2013","secondary school degree","(2b) intermediate general qualification","34","0.0464863512710901","0.0311187301245021","0.0618539724176781"
"Often","2013","secondary school degree","(2a) intermediate vocational","236","0.0396672859532177","0.0349125939168078","0.0444219779896277"
"Often","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Often","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","secondary school degree","(3a) lower tertiary education","","","",""
"Often","2013","secondary school degree","(3b) higher tertiary education","","","",""
"Often","2013","college entrance qualification","(0) in school","","","",""
"Often","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Often","2013","college entrance qualification","(1b) general elementary school","","","",""
"Often","2013","college entrance qualification","(1c) basic vocational qualification","","","",""
"Often","2013","college entrance qualification","(2b) intermediate general qualification","","","",""
"Often","2013","college entrance qualification","(2a) intermediate vocational","","","",""
"Often","2013","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Often","2013","college entrance qualification","(2c_voc) vocational maturity certificate","61","0.0308490302641079","0.0232329419475371","0.0384651185806787"
"Often","2013","college entrance qualification","(3a) lower tertiary education","","","",""
"Often","2013","college entrance qualification","(3b) higher tertiary education","45","0.0195497519563928","0.0147203405202103","0.0243791633925754"
"Often","2013","Other degree","(0) in school","","","",""
"Often","2013","Other degree","(1a) inadequately completed","","","",""
"Often","2013","Other degree","(1b) general elementary school","","","",""
"Often","2013","Other degree","(1c) basic vocational qualification","","","",""
"Often","2013","Other degree","(2b) intermediate general qualification","","","",""
"Often","2013","Other degree","(2a) intermediate vocational","","","",""
"Often","2013","Other degree","(2c_gen) general maturity certificate","","","",""
"Often","2013","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","Other degree","(3a) lower tertiary education","","","",""
"Often","2013","Other degree","(3b) higher tertiary education","","","",""
"Often","2013","no degree/no degree yet","(0) in school","","","",""
"Often","2013","no degree/no degree yet","(1a) inadequately completed","45","0.0896361274893212","0.060045400997918","0.119226853980724"
"Often","2013","no degree/no degree yet","(1b) general elementary school","","","",""
"Often","2013","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Often","2013","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Often","2013","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Often","2013","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Often","2013","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Often","2013","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Often","2013","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Sometimes","2013","lower secondary degree","(0) in school","","","",""
"Sometimes","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Sometimes","2013","lower secondary degree","(1b) general elementary school","218","0.13185705787374","0.114964551882167","0.148749563865313"
"Sometimes","2013","lower secondary degree","(1c) basic vocational qualification","564","0.0992623270103191","0.0912826739461019","0.107241980074536"
"Sometimes","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Sometimes","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Sometimes","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Sometimes","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"Sometimes","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Sometimes","2013","secondary school degree","(0) in school","","","",""
"Sometimes","2013","secondary school degree","(1a) inadequately completed","","","",""
"Sometimes","2013","secondary school degree","(1b) general elementary school","","","",""
"Sometimes","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Sometimes","2013","secondary school degree","(2b) intermediate general qualification","95","0.141260969200927","0.115838241209632","0.166683697192222"
"Sometimes","2013","secondary school degree","(2a) intermediate vocational","651","0.102231797153609","0.0948515586834665","0.109612035623751"
"Sometimes","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Sometimes","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2013","secondary school degree","(3a) lower tertiary education","34","0.0888139225461173","0.0645492076332157","0.113078637459019"
