"plj0589","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","16-34 y.","Rural Area","1005","0.526470675320974","0.504154540250765","0.548786810391183","5"
"Never","2013","35-65 y.","Rural Area","3051","0.531391784704264","0.518189368895982","0.544594200512545","5"
"Never","2013","66 and older","Urban Area","2037","0.599039559887229","0.582182359030785","0.615896760743672","5"
"Never","2013","66 and older","Rural Area","1030","0.567963612007119","0.544674998984031","0.591252225030206","5"
"Never","2013","35-65 y.","Urban Area","5562","0.569978139329035","0.559985283084017","0.579970995574052","5"
"Never","2013","16-34 y.","Urban Area","2100","0.5779701884669","0.562097178610937","0.593843198322863","5"
"Often","2013","16-34 y.","Rural Area","71","0.0428286092936013","0.0337791987803148","0.0518780198068877","2"
"Often","2013","16-34 y.","Urban Area","133","0.0362146845225303","0.0302103136782085","0.0422190553668521","2"
"Often","2013","35-65 y.","Urban Area","348","0.0396687678102473","0.035729185713493","0.0436083499070017","2"
"Often","2013","35-65 y.","Rural Area","208","0.0423985320234335","0.0370675299513856","0.0477295340954813","2"
"Often","2013","66 and older","Urban Area","97","0.0359336106748148","0.0295316817708274","0.0423355395788022","2"
"Often","2013","66 and older","Rural Area","65","0.0448845257583488","0.0351503436671582","0.0546187078495393","2"
"Rarely ","2013","16-34 y.","Rural Area","588","0.304963984617511","0.284386779802822","0.3255411894322","4"
"Rarely ","2013","16-34 y.","Urban Area","1039","0.280336633935255","0.265900874806434","0.294772393064075","4"
"Rarely ","2013","35-65 y.","Urban Area","2490","0.272964148686723","0.263972362076288","0.281955935297159","4"
"Rarely ","2013","35-65 y.","Rural Area","1585","0.311147815423229","0.298899187627326","0.323396443219132","4"
"Rarely ","2013","66 and older","Urban Area","807","0.262979449710937","0.247836598624399","0.278122300797475","4"
"Rarely ","2013","66 and older","Rural Area","462","0.2668182895797","0.246024348251303","0.287612230908098","4"
"Sometimes","2013","16-34 y.","Rural Area","236","0.117278350322222","0.102897675627173","0.131659025017271","3"
"Sometimes","2013","35-65 y.","Urban Area","922","0.105491509647428","0.0992911588627522","0.111691860432103","3"
"Sometimes","2013","66 and older","Rural Area","170","0.112991641478981","0.098107965044145","0.127875317913816","3"
"Sometimes","2013","66 and older","Urban Area","275","0.0926584069529304","0.082685201377509","0.102631612528352","3"
"Sometimes","2013","16-34 y.","Urban Area","409","0.0987339304607098","0.0891466656003087","0.108321195321111","3"
"Sometimes","2013","35-65 y.","Rural Area","566","0.0990043971558876","0.0911025319452829","0.106906262366492","3"
"Very often","2013","16-34 y.","Urban Area","38","0.0067445626146054","0.00411403798238396","0.00937508724682684","1"
"Very often","2013","16-34 y.","Rural Area","23","","","","1"
"Very often","2013","35-65 y.","Urban Area","107","0.011897434526567","0.00970895268080497","0.0140859163723291","1"
"Very often","2013","35-65 y.","Rural Area","78","0.0160574706931866","0.0127319130883943","0.0193830282979788","1"
"Very often","2013","66 and older","Urban Area","31","0.00938897277408899","0.00607180402221763","0.0127061415259603","1"
"Very often","2013","66 and older","Rural Area","11","","","","1"
"Never","2014","16-34 y.","Rural Area","","","","","5"
"Never","2014","66 and older","Rural Area","","","","","5"
"Never","2014","35-65 y.","Urban Area","","","","","5"
"Never","2014","16-34 y.","Urban Area","","","","","5"
"Never","2014","66 and older","Urban Area","","","","","5"
"Never","2014","35-65 y.","Rural Area","","","","","5"
"Often","2014","16-34 y.","Rural Area","","","","","2"
"Often","2014","35-65 y.","Urban Area","","","","","2"
"Often","2014","35-65 y.","Rural Area","","","","","2"
"Often","2014","16-34 y.","Urban Area","","","","","2"
"Often","2014","66 and older","Urban Area","","","","","2"
"Often","2014","66 and older","Rural Area","","","","","2"
"Rarely ","2014","16-34 y.","Rural Area","","","","","4"
"Rarely ","2014","66 and older","Urban Area","","","","","4"
"Rarely ","2014","66 and older","Rural Area","","","","","4"
"Rarely ","2014","16-34 y.","Urban Area","","","","","4"
"Rarely ","2014","35-65 y.","Urban Area","","","","","4"
"Rarely ","2014","35-65 y.","Rural Area","","","","","4"
"Sometimes","2014","16-34 y.","Rural Area","","","","","3"
"Sometimes","2014","35-65 y.","Urban Area","","","","","3"
