"plj0589","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","(0) in school","","","",""
"Very often","2013","1-pers.-HH","(1a) inadequately completed","6","","",""
"Very often","2013","1-pers.-HH","(1b) general elementary school","16","","",""
"Very often","2013","1-pers.-HH","(1c) basic vocational qualification","29","","",""
"Very often","2013","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"Very often","2013","1-pers.-HH","(2a) intermediate vocational","15","","",""
"Very often","2013","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Very often","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","4","","",""
"Very often","2013","1-pers.-HH","(3a) lower tertiary education","1","","",""
"Very often","2013","1-pers.-HH","(3b) higher tertiary education","9","","",""
"Very often","2013","(Married) couple without C. ","(0) in school","","","",""
"Very often","2013","(Married) couple without C. ","(1a) inadequately completed","1","","",""
"Very often","2013","(Married) couple without C. ","(1b) general elementary school","8","","",""
"Very often","2013","(Married) couple without C. ","(1c) basic vocational qualification","22","","",""
"Very often","2013","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Very often","2013","(Married) couple without C. ","(2a) intermediate vocational","12","","",""
"Very often","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2013","(Married) couple without C. ","(3a) lower tertiary education","2","","",""
"Very often","2013","(Married) couple without C. ","(3b) higher tertiary education","3","","",""
"Very often","2013","Single parent ","(0) in school","","","",""
"Very often","2013","Single parent ","(1a) inadequately completed","1","","",""
"Very often","2013","Single parent ","(1b) general elementary school","18","","",""
"Very often","2013","Single parent ","(1c) basic vocational qualification","9","","",""
"Very often","2013","Single parent ","(2b) intermediate general qualification","4","","",""
"Very often","2013","Single parent ","(2a) intermediate vocational","23","","",""
"Very often","2013","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Very often","2013","Single parent ","(2c_voc) vocational maturity certificate","8","","",""
"Very often","2013","Single parent ","(3a) lower tertiary education","2","","",""
"Very often","2013","Single parent ","(3b) higher tertiary education","4","","",""
"Very often","2013","Couple + C. LE 16 ","(0) in school","","","",""
"Very often","2013","Couple + C. LE 16 ","(1a) inadequately completed","5","","",""
"Very often","2013","Couple + C. LE 16 ","(1b) general elementary school","9","","",""
"Very often","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","11","","",""
"Very often","2013","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"Very often","2013","Couple + C. LE 16 ","(2a) intermediate vocational","9","","",""
"Very often","2013","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Very often","2013","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2013","Couple + C. LE 16 ","(3a) lower tertiary education","1","","",""
"Very often","2013","Couple + C. LE 16 ","(3b) higher tertiary education","3","","",""
"Very often","2013","Couple + C. GT 16 ","(0) in school","","","",""
"Very often","2013","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Very often","2013","Couple + C. GT 16 ","(1b) general elementary school","1","","",""
"Very often","2013","Couple + C. GT 16 ","(1c) basic vocational qualification","4","","",""
"Very often","2013","Couple + C. GT 16 ","(2b) intermediate general qualification","2","","",""
"Very often","2013","Couple + C. GT 16 ","(2a) intermediate vocational","2","","",""
"Very often","2013","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2013","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Very often","2013","Couple + C. GT 16 ","(3b) higher tertiary education","3","","",""
"Very often","2013","Couple + C. LE and GT 16","(0) in school","1","","",""
"Very often","2013","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Very often","2013","Couple + C. LE and GT 16","(1b) general elementary school","2","","",""
"Very often","2013","Couple + C. LE and GT 16","(1c) basic vocational qualification","2","","",""
"Very often","2013","Couple + C. LE and GT 16","(2b) intermediate general qualification","1","","",""
"Very often","2013","Couple + C. LE and GT 16","(2a) intermediate vocational","4","","",""
"Very often","2013","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Very often","2013","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"Often","2013","1-pers.-HH","(0) in school","","","",""
"Often","2013","1-pers.-HH","(1a) inadequately completed","6","","",""
"Often","2013","1-pers.-HH","(1b) general elementary school","30","0.0886072363019817","0.0602579700895433","0.11695650251442"
"Often","2013","1-pers.-HH","(1c) basic vocational qualification","59","0.0602685677510435","0.0451432277924264","0.0753939077096606"
"Often","2013","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Often","2013","1-pers.-HH","(2a) intermediate vocational","50","0.0648831164217948","0.0474737197414504","0.0822925131021392"
"Often","2013","1-pers.-HH","(2c_gen) general maturity certificate","9","","",""
"Often","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","15","","",""
"Often","2013","1-pers.-HH","(3a) lower tertiary education","16","","",""
"Often","2013","1-pers.-HH","(3b) higher tertiary education","13","","",""
"Often","2013","(Married) couple without C. ","(0) in school","","","",""
"Often","2013","(Married) couple without C. ","(1a) inadequately completed","3","","",""
"Often","2013","(Married) couple without C. ","(1b) general elementary school","15","","",""
"Often","2013","(Married) couple without C. ","(1c) basic vocational qualification","72","0.0325302907852727","0.0253955377487018","0.0396650438218435"
"Often","2013","(Married) couple without C. ","(2b) intermediate general qualification","5","","",""
"Often","2013","(Married) couple without C. ","(2a) intermediate vocational","40","0.026604672196202","0.0191683860297643","0.0340409583626397"
"Often","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","4","","",""
"Often","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","9","","",""
"Often","2013","(Married) couple without C. ","(3a) lower tertiary education","11","","",""
"Often","2013","(Married) couple without C. ","(3b) higher tertiary education","15","","",""
"Often","2013","Single parent ","(0) in school","4","","",""
"Often","2013","Single parent ","(1a) inadequately completed","5","","",""
"Often","2013","Single parent ","(1b) general elementary school","21","","",""
"Often","2013","Single parent ","(1c) basic vocational qualification","33","0.0653353216755907","0.0413274965729341","0.0893431467782473"
"Often","2013","Single parent ","(2b) intermediate general qualification","8","","",""
"Often","2013","Single parent ","(2a) intermediate vocational","54","0.0742520497174201","0.0556489024097154","0.0928551970251247"
