"plj0589","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","no migration background","West Germany","157","0.00945335563047505","0.00796286823726708","0.010943843023683"
"Very often","2013","no migration background","East Germany","80","0.0143662679840274","0.0112262917582317","0.0175062442098231"
"Very often","2013","direct migration background","West Germany","37","0.0156685818992098","0.0108130437983302","0.0205241200000894"
"Very often","2013","direct migration background","East Germany","","","",""
"Very often","2013","indirect migration background","West Germany","","","",""
"Very often","2013","indirect migration background","East Germany","","","",""
"Often","2013","no migration background","West Germany","498","0.0360286562712124","0.0331581801544916","0.0388991323879332"
"Often","2013","no migration background","East Germany","242","0.0465475437697603","0.0409885715402248","0.0521065159992958"
"Often","2013","direct migration background","West Germany","129","0.0503676501179963","0.0418168758459814","0.0589184243900112"
"Often","2013","direct migration background","East Germany","","","",""
"Often","2013","indirect migration background","West Germany","44","0.0387452213595764","0.0273869916647383","0.0501034510544144"
"Often","2013","indirect migration background","East Germany","","","",""
"Sometimes","2013","no migration background","West Germany","1369","0.0885257753244329","0.0841505048186065","0.0929010458302594"
"Sometimes","2013","no migration background","East Germany","663","0.127911561198695","0.119098398991452","0.136724723405938"
"Sometimes","2013","direct migration background","West Germany","371","0.142216462526918","0.128560710050733","0.155872215003104"
"Sometimes","2013","direct migration background","East Germany","35","0.270217664445276","0.195857327512459","0.344578001378092"
"Sometimes","2013","indirect migration background","West Germany","126","0.11198007691052","0.0934206717210773","0.130539482099963"
"Sometimes","2013","indirect migration background","East Germany","","","",""
"Rarely ","2013","no migration background","West Germany","4274","0.274022017720551","0.267152087938969","0.280891947502132"
"Rarely ","2013","no migration background","East Germany","1625","0.304790782774025","0.292644167546474","0.316937398001576"
"Rarely ","2013","direct migration background","West Germany","718","0.287718219413078","0.270018701132238","0.305417737693918"
"Rarely ","2013","direct migration background","East Germany","48","0.245304313870539","0.173255583184499","0.317353044556579"
"Rarely ","2013","indirect migration background","West Germany","279","0.269082590400047","0.242981462721773","0.295183718078321"
"Rarely ","2013","indirect migration background","East Germany","","","",""
"Never","2013","no migration background","West Germany","9894","0.591970195053329","0.584400232906297","0.599540157200361"
"Never","2013","no migration background","East Germany","2907","0.506383844273492","0.493191219739033","0.519576468807951"
"Never","2013","direct migration background","West Germany","1258","0.504029086042798","0.484480842083045","0.52357733000255"
"Never","2013","direct migration background","East Germany","47","0.353483080342098","0.273432945019771","0.433533215664425"
"Never","2013","indirect migration background","West Germany","648","0.572131461083585","0.543011860752117","0.601251061415053"
"Never","2013","indirect migration background","East Germany","31","0.310252413722134","0.206249867003179","0.41425496044109"
"Very often","2014","no migration background","West Germany","","","",""
"Very often","2014","no migration background","East Germany","","","",""
"Very often","2014","direct migration background","West Germany","","","",""
"Very often","2014","direct migration background","East Germany","","","",""
"Very often","2014","indirect migration background","West Germany","","","",""
"Very often","2014","indirect migration background","East Germany","","","",""
"Often","2014","no migration background","West Germany","","","",""
"Often","2014","no migration background","East Germany","","","",""
"Often","2014","direct migration background","West Germany","","","",""
"Often","2014","direct migration background","East Germany","","","",""
"Often","2014","indirect migration background","West Germany","","","",""
"Often","2014","indirect migration background","East Germany","","","",""
"Sometimes","2014","no migration background","West Germany","","","",""
"Sometimes","2014","no migration background","East Germany","","","",""
"Sometimes","2014","direct migration background","West Germany","","","",""
"Sometimes","2014","direct migration background","East Germany","","","",""
"Sometimes","2014","indirect migration background","West Germany","","","",""
"Sometimes","2014","indirect migration background","East Germany","","","",""
"Rarely ","2014","no migration background","West Germany","","","",""
"Rarely ","2014","no migration background","East Germany","","","",""
"Rarely ","2014","direct migration background","West Germany","","","",""
"Rarely ","2014","direct migration background","East Germany","","","",""
"Rarely ","2014","indirect migration background","West Germany","","","",""
"Rarely ","2014","indirect migration background","East Germany","","","",""
"Never","2014","no migration background","West Germany","","","",""
"Never","2014","no migration background","East Germany","","","",""
"Never","2014","direct migration background","West Germany","","","",""
"Never","2014","direct migration background","East Germany","","","",""
"Never","2014","indirect migration background","West Germany","","","",""
"Never","2014","indirect migration background","East Germany","","","",""
"Very often","2015","no migration background","West Germany","","","",""
"Very often","2015","no migration background","East Germany","","","",""
"Very often","2015","direct migration background","West Germany","","","",""
"Very often","2015","direct migration background","East Germany","","","",""
"Very often","2015","indirect migration background","West Germany","","","",""
"Very often","2015","indirect migration background","East Germany","","","",""
"Often","2015","no migration background","West Germany","","","",""
"Often","2015","no migration background","East Germany","","","",""
"Often","2015","direct migration background","West Germany","","","",""
"Often","2015","direct migration background","East Germany","","","",""
"Often","2015","indirect migration background","West Germany","","","",""
