"plj0589","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","in school","","","",""
"Very often","2013","1-pers.-HH","inadequately","5","","",""
"Very often","2013","1-pers.-HH","general elemantary","15","","",""
"Very often","2013","1-pers.-HH","middle vocational","46","0.0235602493382675","0.0165572616244927","0.0305632370520422"
"Very often","2013","1-pers.-HH","vocational + Abi","4","","",""
"Very often","2013","1-pers.-HH","higher vocational","1","","",""
"Very often","2013","1-pers.-HH","higher education","10","","",""
"Very often","2013","(Married) couple without C. ","in school","","","",""
"Very often","2013","(Married) couple without C. ","inadequately","1","","",""
"Very often","2013","(Married) couple without C. ","general elemantary","8","","",""
"Very often","2013","(Married) couple without C. ","middle vocational","32","0.0083314406730841","0.00549215749880319","0.011170723847365"
"Very often","2013","(Married) couple without C. ","vocational + Abi","3","","",""
"Very often","2013","(Married) couple without C. ","higher vocational","4","","",""
"Very often","2013","(Married) couple without C. ","higher education","5","","",""
"Very often","2013","Single parent ","in school","","","",""
"Very often","2013","Single parent ","inadequately","2","","",""
"Very often","2013","Single parent ","general elemantary","21","","",""
"Very often","2013","Single parent ","middle vocational","32","0.0149962745248721","0.00830140888110497","0.0216911401686393"
"Very often","2013","Single parent ","vocational + Abi","7","","",""
"Very often","2013","Single parent ","higher vocational","2","","",""
"Very often","2013","Single parent ","higher education","6","","",""
"Very often","2013","Couple + C. LE 16 ","in school","","","",""
"Very often","2013","Couple + C. LE 16 ","inadequately","5","","",""
"Very often","2013","Couple + C. LE 16 ","general elemantary","14","","",""
"Very often","2013","Couple + C. LE 16 ","middle vocational","21","","",""
"Very often","2013","Couple + C. LE 16 ","vocational + Abi","","","",""
"Very often","2013","Couple + C. LE 16 ","higher vocational","2","","",""
"Very often","2013","Couple + C. LE 16 ","higher education","4","","",""
"Very often","2013","Couple + C. GT 16 ","in school","","","",""
"Very often","2013","Couple + C. GT 16 ","inadequately","","","",""
"Very often","2013","Couple + C. GT 16 ","general elemantary","3","","",""
"Very often","2013","Couple + C. GT 16 ","middle vocational","3","","",""
"Very often","2013","Couple + C. GT 16 ","vocational + Abi","1","","",""
"Very often","2013","Couple + C. GT 16 ","higher vocational","3","","",""
"Very often","2013","Couple + C. GT 16 ","higher education","3","","",""
"Very often","2013","Couple + C. LE and GT 16","in school","1","","",""
"Very often","2013","Couple + C. LE and GT 16","inadequately","1","","",""
"Very often","2013","Couple + C. LE and GT 16","general elemantary","3","","",""
"Very often","2013","Couple + C. LE and GT 16","middle vocational","5","","",""
"Very often","2013","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Very often","2013","Couple + C. LE and GT 16","higher vocational","1","","",""
"Very often","2013","Couple + C. LE and GT 16","higher education","1","","",""
"Often","2013","1-pers.-HH","in school","","","",""
"Often","2013","1-pers.-HH","inadequately","6","","",""
"Often","2013","1-pers.-HH","general elemantary","37","0.0887942700508653","0.0625132313447311","0.115075308757"
"Often","2013","1-pers.-HH","middle vocational","112","0.0619342778138608","0.0508053616709757","0.0730631939567459"
"Often","2013","1-pers.-HH","vocational + Abi","15","","",""
"Often","2013","1-pers.-HH","higher vocational","9","","",""
"Often","2013","1-pers.-HH","higher education","29","","",""
"Often","2013","(Married) couple without C. ","in school","","","",""
"Often","2013","(Married) couple without C. ","inadequately","3","","",""
"Often","2013","(Married) couple without C. ","general elemantary","20","","",""
"Often","2013","(Married) couple without C. ","middle vocational","104","0.0316265498320513","0.0261600073302642","0.0370930923338384"
"Often","2013","(Married) couple without C. ","vocational + Abi","7","","",""
"Often","2013","(Married) couple without C. ","higher vocational","16","","",""
"Often","2013","(Married) couple without C. ","higher education","26","","",""
"Often","2013","Single parent ","in school","4","","",""
"Often","2013","Single parent ","inadequately","4","","",""
"Often","2013","Single parent ","general elemantary","29","","",""
"Often","2013","Single parent ","middle vocational","87","0.0607248261412597","0.047569221905057","0.0738804303774624"
"Often","2013","Single parent ","vocational + Abi","13","","",""
"Often","2013","Single parent ","higher vocational","4","","",""
"Often","2013","Single parent ","higher education","17","","",""
"Often","2013","Couple + C. LE 16 ","in school","","","",""
"Often","2013","Couple + C. LE 16 ","inadequately","17","","",""
"Often","2013","Couple + C. LE 16 ","general elemantary","23","","",""
"Often","2013","Couple + C. LE 16 ","middle vocational","93","0.0311517605337767","0.0248985231258157","0.0374049979417377"
"Often","2013","Couple + C. LE 16 ","vocational + Abi","17","","",""
"Often","2013","Couple + C. LE 16 ","higher vocational","6","","",""
"Often","2013","Couple + C. LE 16 ","higher education","29","","",""
"Often","2013","Couple + C. GT 16 ","in school","7","","",""
"Often","2013","Couple + C. GT 16 ","inadequately","1","","",""
"Often","2013","Couple + C. GT 16 ","general elemantary","14","","",""
"Often","2013","Couple + C. GT 16 ","middle vocational","37","0.0236874232509216","0.0157638108482557","0.0316110356535876"
"Often","2013","Couple + C. GT 16 ","vocational + Abi","3","","",""
"Often","2013","Couple + C. GT 16 ","higher vocational","10","","",""
"Often","2013","Couple + C. GT 16 ","higher education","11","","",""
"Often","2013","Couple + C. LE and GT 16","in school","4","","",""
"Often","2013","Couple + C. LE and GT 16","inadequately","9","","",""
"Often","2013","Couple + C. LE and GT 16","general elemantary","8","","",""
"Often","2013","Couple + C. LE and GT 16","middle vocational","30","0.0318699594587429","0.0198546733670678","0.043885245550418"
"Often","2013","Couple + C. LE and GT 16","vocational + Abi","7","","",""
"Often","2013","Couple + C. LE and GT 16","higher vocational","1","","",""
"Often","2013","Couple + C. LE and GT 16","higher education","6","","",""
"Sometimes","2013","1-pers.-HH","in school","2","","",""
"Sometimes","2013","1-pers.-HH","inadequately","11","","",""
"Sometimes","2013","1-pers.-HH","general elemantary","83","0.185348866665173","0.149446536656637","0.22125119667371"
"Sometimes","2013","1-pers.-HH","middle vocational","227","0.129752052999621","0.114237140861129","0.145266965138113"
"Sometimes","2013","1-pers.-HH","vocational + Abi","32","0.14365286157705","0.096439793132495","0.190865930021605"
"Sometimes","2013","1-pers.-HH","higher vocational","20","","",""
"Sometimes","2013","1-pers.-HH","higher education","80","0.0954290497692348","0.0752082056218126","0.115649893916657"
"Sometimes","2013","(Married) couple without C. ","in school","1","","",""
"Sometimes","2013","(Married) couple without C. ","inadequately","8","","",""
"Sometimes","2013","(Married) couple without C. ","general elemantary","64","0.101479197595878","0.0778057961512424","0.125152599040514"
"Sometimes","2013","(Married) couple without C. ","middle vocational","332","0.082190065314203","0.0736107738259552","0.0907693568024509"
"Sometimes","2013","(Married) couple without C. ","vocational + Abi","38","0.101672174169516","0.0699197453966887","0.133424602942343"
"Sometimes","2013","(Married) couple without C. ","higher vocational","60","0.0952384191471807","0.0718283451712766","0.118648493123085"
"Sometimes","2013","(Married) couple without C. ","higher education","135","0.0748613252466411","0.0634245182917382","0.086298132201544"
"Sometimes","2013","Single parent ","in school","10","","",""
"Sometimes","2013","Single parent ","inadequately","15","","",""
"Sometimes","2013","Single parent ","general elemantary","59","0.158106579981666","0.12235282783244","0.193860332130892"
"Sometimes","2013","Single parent ","middle vocational","172","0.128867994321404","0.11041164685015","0.147324341792657"
