"plj0589","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","no migration background","Rural Area","4650","0.541825814416481","0.531093878341322","0.552557750491639","5"
"Never","2013","direct migration background","Rural Area","319","0.520842495077687","0.482319132808463","0.559365857346911","5"
"Never","2013","indirect migration background","Urban Area","562","0.576513807950214","0.545290059533237","0.607737556367192","5"
"Never","2013","indirect migration background","Rural Area","117","0.48692437560004","0.421322371247018","0.552526379953062","5"
"Never","2013","direct migration background","Urban Area","986","0.492236670945061","0.470348126569927","0.514125215320195","5"
"Never","2013","no migration background","Urban Area","8151","0.590772115540244","0.582456031729318","0.599088199351169","5"
"Often","2013","no migration background","Rural Area","306","0.0414798759339217","0.0371849837640473","0.045774768103796","2"
"Often","2013","no migration background","Urban Area","434","0.0365547847328175","0.0333807484889122","0.0397288209767227","2"
"Often","2013","direct migration background","Urban Area","105","0.0475524529149154","0.0382348064463361","0.0568700993834947","2"
"Often","2013","direct migration background","Rural Area","31","0.0736236565776642","0.0534848258443271","0.0937624873110014","2"
"Often","2013","indirect migration background","Urban Area","39","0.0410098695252788","0.0284781167788764","0.0535416222716811","2"
"Often","2013","indirect migration background","Rural Area","7","","","","2"
"Rarely ","2013","no migration background","Rural Area","2393","0.302736262770197","0.292840171662154","0.31263235387824","4"
"Rarely ","2013","no migration background","Urban Area","3506","0.268763499679972","0.261265587858589","0.276261411501355","4"
"Rarely ","2013","direct migration background","Urban Area","584","0.294083306327611","0.274134765000743","0.314031847654478","4"
"Rarely ","2013","direct migration background","Rural Area","182","0.258227878089569","0.224478276616922","0.291977479562215","4"
"Rarely ","2013","indirect migration background","Urban Area","246","0.278412362318746","0.250088703471153","0.306736021166339","4"
"Rarely ","2013","indirect migration background","Rural Area","60","0.245214859409385","0.188749678720495","0.301680040098274","4"
"Sometimes","2013","no migration background","Rural Area","831","0.101041738814851","0.0945501187759237","0.107533358853779","3"
"Sometimes","2013","direct migration background","Urban Area","300","0.148378536376209","0.13281500759642","0.163942065155998","3"
"Sometimes","2013","indirect migration background","Rural Area","35","0.234700555128825","0.179075760946217","0.290325349311432","3"
"Sometimes","2013","indirect migration background","Urban Area","105","0.0958837119029318","0.0772780501701566","0.114489373635707","3"
"Sometimes","2013","no migration background","Urban Area","1201","0.094698636366909","0.089746475954983","0.099650796778835","3"
"Sometimes","2013","direct migration background","Rural Area","106","0.141574443712365","0.114691576724484","0.168457310700247","3"
"Very often","2013","no migration background","Urban Area","137","0.00921096368005785","0.00759523146149917","0.0108266958986165","1"
"Very often","2013","no migration background","Rural Area","100","0.0129163080645492","0.0104842210530958","0.0153483950760025","1"
"Very often","2013","direct migration background","Urban Area","29","","","","1"
"Very often","2013","direct migration background","Rural Area","8","","","","1"
"Very often","2013","indirect migration background","Urban Area","10","","","","1"
"Very often","2013","indirect migration background","Rural Area","4","","","","1"
"Never","2014","no migration background","Rural Area","","","","","5"
"Never","2014","indirect migration background","Rural Area","","","","","5"
"Never","2014","direct migration background","Urban Area","","","","","5"
"Never","2014","no migration background","Urban Area","","","","","5"
"Never","2014","indirect migration background","Urban Area","","","","","5"
"Never","2014","direct migration background","Rural Area","","","","","5"
"Often","2014","no migration background","Rural Area","","","","","2"
"Often","2014","direct migration background","Urban Area","","","","","2"
"Often","2014","direct migration background","Rural Area","","","","","2"
"Often","2014","no migration background","Urban Area","","","","","2"
"Often","2014","indirect migration background","Urban Area","","","","","2"
"Often","2014","indirect migration background","Rural Area","","","","","2"
"Rarely ","2014","no migration background","Rural Area","","","","","4"
"Rarely ","2014","indirect migration background","Urban Area","","","","","4"
"Rarely ","2014","indirect migration background","Rural Area","","","","","4"
"Rarely ","2014","no migration background","Urban Area","","","","","4"
"Rarely ","2014","direct migration background","Urban Area","","","","","4"
"Rarely ","2014","direct migration background","Rural Area","","","","","4"
"Sometimes","2014","no migration background","Rural Area","","","","","3"
"Sometimes","2014","direct migration background","Urban Area","","","","","3"
"Sometimes","2014","no migration background","Urban Area","","","","","3"
"Sometimes","2014","direct migration background","Rural Area","","","","","3"
"Sometimes","2014","indirect migration background","Urban Area","","","","","3"
"Sometimes","2014","indirect migration background","Rural Area","","","","","3"
"Very often","2014","direct migration background","Urban Area","","","","","1"
"Very often","2014","no migration background","Urban Area","","","","","1"
"Very often","2014","no migration background","Rural Area","","","","","1"
"Very often","2014","direct migration background","Rural Area","","","","","1"
"Very often","2014","indirect migration background","Urban Area","","","","","1"
"Very often","2014","indirect migration background","Rural Area","","","","","1"
"Never","2015","no migration background","Rural Area","","","","","5"
"Never","2015","direct migration background","Urban Area","","","","","5"
"Never","2015","indirect migration background","Urban Area","","","","","5"
"Never","2015","indirect migration background","Rural Area","","","","","5"
"Never","2015","no migration background","Urban Area","","","","","5"
"Never","2015","direct migration background","Rural Area","","","","","5"
"Often","2015","direct migration background","Rural Area","","","","","2"
"Often","2015","no migration background","Urban Area","","","","","2"
"Often","2015","direct migration background","Urban Area","","","","","2"
"Often","2015","no migration background","Rural Area","","","","","2"
"Often","2015","indirect migration background","Urban Area","","","","","2"
"Often","2015","indirect migration background","Rural Area","","","","","2"
"Rarely ","2015","no migration background","Rural Area","","","","","4"
"Rarely ","2015","direct migration background","Urban Area","","","","","4"
"Rarely ","2015","no migration background","Urban Area","","","","","4"
"Rarely ","2015","indirect migration background","Urban Area","","","","","4"
"Rarely ","2015","direct migration background","Rural Area","","","","","4"
"Rarely ","2015","indirect migration background","Rural Area","","","","","4"
"Sometimes","2015","direct migration background","Urban Area","","","","","3"
"Sometimes","2015","direct migration background","Rural Area","","","","","3"
"Sometimes","2015","no migration background","Urban Area","","","","","3"
"Sometimes","2015","no migration background","Rural Area","","","","","3"
"Sometimes","2015","indirect migration background","Urban Area","","","","","3"
"Sometimes","2015","indirect migration background","Rural Area","","","","","3"
"Very often","2015","no migration background","Urban Area","","","","","1"
"Very often","2015","no migration background","Rural Area","","","","","1"
"Very often","2015","direct migration background","Urban Area","","","","","1"
"Very often","2015","direct migration background","Rural Area","","","","","1"
"Very often","2015","indirect migration background","Urban Area","","","","","1"
"Very often","2015","indirect migration background","Rural Area","","","","","1"
"Never","2016","no migration background","Urban Area","","","","","5"
"Never","2016","no migration background","Rural Area","","","","","5"
"Never","2016","direct migration background","Urban Area","1198","0.336983245098165","0.319856401335805","0.354110088860524","5"
"Never","2016","direct migration background","Rural Area","460","0.309268019196523","0.284465690157781","0.334070348235266","5"
"Never","2016","indirect migration background","Urban Area","","","","","5"
"Never","2016","indirect migration background","Rural Area","","","","","5"
"Often","2016","no migration background","Urban Area","","","","","2"
"Often","2016","no migration background","Rural Area","","","","","2"
"Often","2016","direct migration background","Urban Area","359","0.172765199165668","0.159067315896602","0.186463082434734","2"
"Often","2016","direct migration background","Rural Area","213","0.172027286259461","0.151774869411452","0.192279703107469","2"
"Often","2016","indirect migration background","Urban Area","","","","","2"
