"plj0014_v3","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1996","no migration background","general elemantary","1","","","","2"
"No","1996","indirect migration background","higher education","11","","","","2"
"No","1996","direct migration background","in school","12","","","","2"
"No","1996","direct migration background","middle vocational","529","0.428920188624887","0.397230720984233","0.46060965626554","2"
"No","1996","no migration background","in school","2","","","","2"
"No","1996","indirect migration background","inadequately","12","","","","2"
"No","1996","direct migration background","higher vocational","11","","","","2"
"No","1996","indirect migration background","middle vocational","147","0.551607246673057","0.484182515734251","0.619031977611863","2"
"No","1996","no migration background","higher vocational","","","","","2"
"No","1996","indirect migration background","higher vocational","11","","","","2"
"No","1996","no migration background","inadequately","","","","","2"
"No","1996","no migration background","middle vocational","1","","","","2"
"No","1996","no migration background","higher education","2","","","","2"
"No","1996","direct migration background","inadequately","394","0.879334187002444","0.848292379025752","0.910375994979135","2"
"No","1996","direct migration background","vocational + Abi","90","0.665047989255264","0.589264823443544","0.740831155066985","2"
"No","1996","direct migration background","higher education","75","0.460335475545398","0.388897943057541","0.531773008033255","2"
"No","1996","indirect migration background","general elemantary","115","0.482246098850355","0.408000704493075","0.556491493207634","2"
"No","1996","indirect migration background","vocational + Abi","9","","","","2"
"No","1996","no migration background","vocational + Abi","","","","","2"
"No","1996","direct migration background","general elemantary","540","0.540669065032874","0.504518485042127","0.576819645023622","2"
"No","1996","indirect migration background","in school","31","0.41812479573175","0.285330921025506","0.550918670437995","2"
"Yes","1996","no migration background","in school","209","0.998261018873365","0.992639206409982","1.00388283133675","1"
"Yes","1996","no migration background","inadequately","59","1","1","1","1"
"Yes","1996","no migration background","general elemantary","1504","0.999306066462914","0.997975648679129","1.0006364842467","1"
"Yes","1996","no migration background","middle vocational","5500","0.998945873947283","0.998088353428258","0.999803394466308","1"
"Yes","1996","no migration background","vocational + Abi","319","1","1","1","1"
"Yes","1996","no migration background","higher vocational","690","1","1","1","1"
"Yes","1996","no migration background","higher education","1564","0.996036774942444","0.992924956384928","0.99914859349996","1"
"Yes","1996","direct migration background","in school","18","","","","1"
"Yes","1996","direct migration background","inadequately","29","","","","1"
"Yes","1996","direct migration background","general elemantary","190","0.459330934967126","0.423180354976378","0.495481514957873","1"
"Yes","1996","direct migration background","middle vocational","408","0.571079811375113","0.539390343734459","0.602769279015767","1"
"Yes","1996","direct migration background","vocational + Abi","59","0.334952010744735","0.259168844933015","0.410735176556456","1"
"Yes","1996","direct migration background","higher vocational","52","0.900962715910809","0.827201072042014","0.974724359779603","1"
"Yes","1996","direct migration background","higher education","112","0.539664524454602","0.468226991966745","0.611102056942459","1"
"Yes","1996","indirect migration background","in school","22","","","","1"
"Yes","1996","indirect migration background","inadequately","2","","","","1"
"Yes","1996","indirect migration background","general elemantary","59","0.517753901149645","0.443508506792366","0.591999295506925","1"
"Yes","1996","indirect migration background","middle vocational","62","0.448392753326943","0.380968022388137","0.515817484265749","1"
"Yes","1996","indirect migration background","vocational + Abi","1","","","","1"
"Yes","1996","indirect migration background","higher vocational","6","","","","1"
"Yes","1996","indirect migration background","higher education","6","","","","1"
"No","1997","indirect migration background","higher education","13","","","","2"
"No","1997","no migration background","in school","2","","","","2"
"No","1997","no migration background","general elemantary","1","","","","2"
"No","1997","no migration background","middle vocational","1","","","","2"
"No","1997","no migration background","higher vocational","","","","","2"
