"plj0014_v3","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","1996","35-65 y.","Not Working","372","0.107545965081612","0.0934779879770988","0.121613942186125","2"
"No","1996","16-34 y.","Full Time","412","0.097476288121671","0.085537476052162","0.10941510019118","2"
"No","1996","16-34 y.","Part Time","249","0.131556541982275","0.111848845370856","0.151264238593695","2"
"No","1996","16-34 y.","Not Working","320","0.159971989513049","0.139889758294462","0.180054220731635","2"
"No","1996","35-65 y.","Full Time","446","0.0782727969899702","0.0692042069437489","0.0873413870361915","2"
"No","1996","35-65 y.","Part Time","258","0.0878846171555754","0.0737071049106645","0.102062129400486","2"
"No","1996","66 and older","Full Time","1","","","","2"
"No","1996","66 and older","Part Time","2","","","","2"
"No","1996","66 and older","Not Working","66","0.0146272686815248","0.00860765940012188","0.0206468779629278","2"
"Yes","1996","16-34 y.","Full Time","1959","0.902523711878329","0.89058489980882","0.914462523947838","1"
"Yes","1996","16-34 y.","Part Time","881","0.868443458017725","0.848735761406305","0.888151154629144","1"
"Yes","1996","16-34 y.","Not Working","960","0.840028010486951","0.819945779268365","0.860110241705538","1"
"Yes","1996","35-65 y.","Full Time","2924","0.92172720301003","0.912658612963808","0.930795793056251","1"
"Yes","1996","35-65 y.","Part Time","1274","0.912115382844425","0.897937870599514","0.926292895089335","1"
"Yes","1996","35-65 y.","Not Working","1491","0.892454034918388","0.878386057813875","0.906522012022901","1"
"Yes","1996","66 and older","Full Time","11","","","","1"
"Yes","1996","66 and older","Part Time","37","0.957654315422303","0.894453198758251","1.02085543208636","1"
"Yes","1996","66 and older","Not Working","1462","0.985372731318475","0.979353122037072","0.991392340599878","1"
"No","1997","35-65 y.","Not Working","375","0.108235849369902","0.0941734954333684","0.122298203306436","2"
"No","1997","16-34 y.","Full Time","388","0.0952826635952448","0.0832310813660768","0.107334245824413","2"
"No","1997","16-34 y.","Part Time","206","0.115658440867981","0.096202685429917","0.135114196306044","2"
"No","1997","16-34 y.","Not Working","328","0.18102398448492","0.160236878161419","0.201811090808421","2"
"No","1997","35-65 y.","Full Time","409","0.0758811226241148","0.0668612730394606","0.0849009722087689","2"
"No","1997","35-65 y.","Part Time","223","0.090708498639264","0.0760768659977022","0.105340131280826","2"
"No","1997","66 and older","Full Time","3","","","","2"
"No","1997","66 and older","Part Time","4","","","","2"
"No","1997","66 and older","Not Working","76","0.0218649655791355","0.0146055971278354","0.0291243340304355","2"
"Yes","1997","16-34 y.","Full Time","1892","0.904717336404755","0.892665754175587","0.916768918633923","1"
"Yes","1997","16-34 y.","Part Time","832","0.88434155913202","0.864885803693956","0.903797314570083","1"
"Yes","1997","16-34 y.","Not Working","990","0.81897601551508","0.798188909191579","0.839763121838581","1"
"Yes","1997","35-65 y.","Full Time","2902","0.924118877375885","0.915099027791231","0.933138726960539","1"
"Yes","1997","35-65 y.","Part Time","1257","0.909291501360736","0.894659868719174","0.923923134002298","1"
"Yes","1997","35-65 y.","Not Working","1500","0.891764150630098","0.877701796693564","0.905826504566632","1"
"Yes","1997","66 and older","Full Time","12","","","","1"
"Yes","1997","66 and older","Part Time","35","0.942005361347504","0.868649233592827","1.01536148910218","1"
"Yes","1997","66 and older","Not Working","1483","0.978135034420865","0.970875665969565","0.985394402872165","1"
"No","1998","35-65 y.","Not Working","357","0.0975845789847704","0.0852011993433056","0.109967958626235","2"
"No","1998","16-34 y.","Full Time","347","0.102663061863627","0.0903627008186659","0.114963422908588","2"
"No","1998","16-34 y.","Part Time","202","0.131159474228534","0.111614925350929","0.150704023106139","2"
"No","1998","16-34 y.","Not Working","301","0.165830965166209","0.146348499499156","0.185313430833262","2"
