"plh0173","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","in school","Urban Area","","","","","0"
"0 Completely dissatisfied","1985","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","inadequately","Urban Area","3","","","","0"
"0 Completely dissatisfied","1985","inadequately","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","general elemantary","Urban Area","9","","","","0"
"0 Completely dissatisfied","1985","general elemantary","Rural Area","5","","","","0"
"0 Completely dissatisfied","1985","middle vocational","Urban Area","21","","","","0"
"0 Completely dissatisfied","1985","middle vocational","Rural Area","6","","","","0"
"0 Completely dissatisfied","1985","vocational + Abi","Urban Area","3","","","","0"
"0 Completely dissatisfied","1985","vocational + Abi","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","higher vocational","Urban Area","6","","","","0"
"0 Completely dissatisfied","1985","higher vocational","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","higher education","Urban Area","4","","","","0"
"0 Completely dissatisfied","1985","higher education","Rural Area","","","","","0"
"1 on Scale 1 to 10","1985","higher education","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1985","inadequately","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","in school","Urban Area","","","","","1"
"1 on Scale 1 to 10","1985","middle vocational","Urban Area","11","","","","1"
"1 on Scale 1 to 10","1985","higher education","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","higher vocational","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1985","higher vocational","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","in school","Rural Area","","","","","1"
"1 on Scale 1 to 10","1985","inadequately","Urban Area","4","","","","1"
"1 on Scale 1 to 10","1985","general elemantary","Urban Area","6","","","","1"
"1 on Scale 1 to 10","1985","general elemantary","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1985","middle vocational","Rural Area","5","","","","1"
"1 on Scale 1 to 10","1985","vocational + Abi","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1985","vocational + Abi","Rural Area","","","","","1"
"10 Completely satisfied","1985","in school","Urban Area","","","","","10"
"10 Completely satisfied","1985","in school","Rural Area","","","","","10"
"10 Completely satisfied","1985","inadequately","Urban Area","83","0.187863581086925","0.150373545303894","0.225353616869957","10"
"10 Completely satisfied","1985","general elemantary","Urban Area","270","0.247935014066263","0.222879582634933","0.272990445497593","10"
"10 Completely satisfied","1985","general elemantary","Rural Area","54","0.157431388732841","0.116218242987624","0.198644534478058","10"
"10 Completely satisfied","1985","middle vocational","Urban Area","542","0.213438560783046","0.197332093434067","0.229545028132025","10"
"10 Completely satisfied","1985","middle vocational","Rural Area","150","0.213124400360106","0.182678745826415","0.243570054893797","10"
"10 Completely satisfied","1985","vocational + Abi","Urban Area","30","0.137268832578326","0.083439130175595","0.191098534981058","10"
"10 Completely satisfied","1985","vocational + Abi","Rural Area","5","","","","10"
"10 Completely satisfied","1985","higher vocational","Urban Area","67","0.197496124875925","0.154412322256385","0.240579927495466","10"
"10 Completely satisfied","1985","higher education","Urban Area","82","0.165646735030777","0.133158170464199","0.198135299597354","10"
"10 Completely satisfied","1985","higher education","Rural Area","19","","","","10"
"10 Completely satisfied","1985","inadequately","Rural Area","11","","","","10"
"10 Completely satisfied","1985","higher vocational","Rural Area","24","","","","10"
"2 on Scale 1 to 10","1985","in school","Urban Area","","","","","2"
"2 on Scale 1 to 10","1985","inadequately","Urban Area","9","","","","2"
"2 on Scale 1 to 10","1985","middle vocational","Rural Area","3","","","","2"
"2 on Scale 1 to 10","1985","vocational + Abi","Urban Area","1","","","","2"
"2 on Scale 1 to 10","1985","in school","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","general elemantary","Rural Area","4","","","","2"
"2 on Scale 1 to 10","1985","middle vocational","Urban Area","35","0.0122996227474128","0.00796694853576958","0.016632296959056","2"
"2 on Scale 1 to 10","1985","inadequately","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1985","higher education","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","general elemantary","Urban Area","14","","","","2"
"2 on Scale 1 to 10","1985","vocational + Abi","Rural Area","","","","","2"
