"plh0173","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Not Employed","in school","","","","","0"
"0 Completely dissatisfied","1984","Not Employed","inadequately","","","","","0"
"0 Completely dissatisfied","1984","Not Employed","general elemantary","1","","","","0"
"0 Completely dissatisfied","1984","Not Employed","middle vocational","1","","","","0"
"0 Completely dissatisfied","1984","Not Employed","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","Not Employed","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","Not Employed","higher education","","","","","0"
"0 Completely dissatisfied","1984","Employed","in school","","","","","0"
"0 Completely dissatisfied","1984","Employed","inadequately","15","","","","0"
"0 Completely dissatisfied","1984","Employed","general elemantary","38","0.0212285261304263","0.0140548334908624","0.0284022187699902","0"
"0 Completely dissatisfied","1984","Employed","middle vocational","49","0.0119257351378783","0.00830035214190534","0.0155511181338512","0"
"0 Completely dissatisfied","1984","Employed","vocational + Abi","2","","","","0"
"0 Completely dissatisfied","1984","Employed","higher vocational","3","","","","0"
"0 Completely dissatisfied","1984","Employed","higher education","4","","","","0"
"1 on Scale 1 to 10","1984","Employed","higher vocational","3","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","middle vocational","","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","higher education","","","","","1"
"1 on Scale 1 to 10","1984","Employed","higher education","","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","in school","","","","","1"
"1 on Scale 1 to 10","1984","Employed","middle vocational","17","","","","1"
"1 on Scale 1 to 10","1984","Employed","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","inadequately","","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","general elemantary","","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","higher vocational","","","","","1"
"1 on Scale 1 to 10","1984","Employed","in school","","","","","1"
"1 on Scale 1 to 10","1984","Employed","inadequately","6","","","","1"
"1 on Scale 1 to 10","1984","Employed","general elemantary","12","","","","1"
"10 Completely satisfied","1984","Not Employed","higher education","","","","","10"
"10 Completely satisfied","1984","Employed","inadequately","152","0.224555200512993","0.190740374238699","0.258370026787287","10"
"10 Completely satisfied","1984","Employed","higher education","149","0.245907882843404","0.211480082090959","0.280335683595848","10"
"10 Completely satisfied","1984","Employed","in school","","","","","10"
"10 Completely satisfied","1984","Employed","middle vocational","939","0.273822834764303","0.258930162068369","0.288715507460236","10"
"10 Completely satisfied","1984","Not Employed","in school","","","","","10"
"10 Completely satisfied","1984","Not Employed","inadequately","1","","","","10"
"10 Completely satisfied","1984","Not Employed","general elemantary","22","","","","10"
"10 Completely satisfied","1984","Not Employed","vocational + Abi","1","","","","10"
"10 Completely satisfied","1984","Not Employed","higher vocational","1","","","","10"
"10 Completely satisfied","1984","Employed","general elemantary","408","0.266615418430996","0.244608931901047","0.288621904960944","10"
"10 Completely satisfied","1984","Employed","higher vocational","137","0.307392516845808","0.264131411899661","0.350653621791955","10"
"10 Completely satisfied","1984","Not Employed","middle vocational","16","","","","10"
"10 Completely satisfied","1984","Employed","vocational + Abi","55","0.237943301017172","0.179075143123649","0.296811458910696","10"
"2 on Scale 1 to 10","1984","Not Employed","in school","","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","general elemantary","","","","","2"
"2 on Scale 1 to 10","1984","Employed","in school","1","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","higher education","1","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","inadequately","","","","","2"
"2 on Scale 1 to 10","1984","Employed","inadequately","7","","","","2"
"2 on Scale 1 to 10","1984","Employed","higher education","4","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","higher vocational","","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","middle vocational","","","","","2"
