"plh0173","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","no migration background","in school","","","","","0"
"0 Completely dissatisfied","1984","no migration background","inadequately","1","","","","0"
"0 Completely dissatisfied","1984","no migration background","general elemantary","16","","","","0"
"0 Completely dissatisfied","1984","no migration background","middle vocational","30","0.0106116323314351","0.00677152005092787","0.0144517446119424","0"
"0 Completely dissatisfied","1984","no migration background","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","no migration background","higher vocational","2","","","","0"
"0 Completely dissatisfied","1984","no migration background","higher education","3","","","","0"
"0 Completely dissatisfied","1984","direct migration background","in school","","","","","0"
"0 Completely dissatisfied","1984","direct migration background","inadequately","14","","","","0"
"0 Completely dissatisfied","1984","direct migration background","general elemantary","23","","","","0"
"0 Completely dissatisfied","1984","direct migration background","middle vocational","19","","","","0"
"0 Completely dissatisfied","1984","direct migration background","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","direct migration background","higher vocational","1","","","","0"
"0 Completely dissatisfied","1984","direct migration background","higher education","1","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","in school","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","inadequately","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","general elemantary","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","middle vocational","1","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","higher education","","","","","0"
"1 on Scale 1 to 10","1984","indirect migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","middle vocational","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","general elemantary","8","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","higher vocational","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","middle vocational","11","","","","1"
"1 on Scale 1 to 10","1984","no migration background","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","in school","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","inadequately","","","","","1"
"1 on Scale 1 to 10","1984","no migration background","higher vocational","3","","","","1"
"1 on Scale 1 to 10","1984","no migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","in school","","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","inadequately","6","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","general elemantary","4","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","middle vocational","6","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","higher vocational","","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","higher education","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","in school","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","inadequately","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","general elemantary","","","","","1"
"10 Completely satisfied","1984","indirect migration background","higher education","2","","","","10"
"10 Completely satisfied","1984","indirect migration background","middle vocational","13","","","","10"
"10 Completely satisfied","1984","indirect migration background","vocational + Abi","","","","","10"
"10 Completely satisfied","1984","indirect migration background","higher vocational","2","","","","10"
"10 Completely satisfied","1984","no migration background","in school","","","","","10"
"10 Completely satisfied","1984","no migration background","inadequately","4","","","","10"
"10 Completely satisfied","1984","no migration background","general elemantary","241","0.268358873360988","0.239066086719161","0.297651660002816","10"
"10 Completely satisfied","1984","no migration background","middle vocational","724","0.269160845227719","0.252538730683914","0.285782959771523","10"
"10 Completely satisfied","1984","no migration background","vocational + Abi","27","","","","10"
"10 Completely satisfied","1984","no migration background","higher vocational","124","0.30170200214946","0.257273092290018","0.346130912008901","10"
"10 Completely satisfied","1984","no migration background","higher education","122","0.23601470552674","0.199552640538457","0.272476770515024","10"
"10 Completely satisfied","1984","direct migration background","in school","","","","","10"
