"year","hgtyp1hh","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","(Married) couple without C.","direct migration background","3.71","4","733","2","3","5","5","5","3.63","3.79","1","5","4","4"
"2003","(Married) couple without C.","indirect migration background","3.14","3","122","2","2","4","5","5","2.94","3.34","1","5","3","3"
"2003","(Married) couple without C.","no migration background","3.65","4","6418","2","3","4","5","5","3.62","3.68","1","5","4","4"
"2003","1-pers.-HH","direct migration background","3.54","3","232","2","3","5","5","5","3.39","3.69","1","5","3","4"
"2003","1-pers.-HH","indirect migration background","2.68","3","84","1","2","3","5","5","2.43","2.93","1","5","2","3"
"2003","1-pers.-HH","no migration background","3.52","4","2660","2","3","5","5","5","3.48","3.56","1","5","3","4"
"2003","Couple + C. GT 16 ","direct migration background","3.41","3","430","2","3","4","5","5","3.31","3.51","1","5","3","4"
"2003","Couple + C. GT 16 ","indirect migration background","2.71","3","187","1","2","4","4","5","2.55","2.87","1","5","2","3"
"2003","Couple + C. GT 16 ","no migration background","3.18","3","3330","2","2","4","5","5","3.14","3.22","1","5","3","3"
"2003","Couple + C. LE 16","direct migration background","3.19","3","665","2","2","4","5","5","3.11","3.27","1","5","3","3"
"2003","Couple + C. LE 16","indirect migration background","3.23","3","175","2","2","4","5","5","3.08","3.38","1","5","3","3"
"2003","Couple + C. LE 16","no migration background","3.19","3","3530","2","3","4","4","5","3.16","3.22","1","5","3","3"
"2003","Couple + C. LE and GT 16","direct migration background","3.37","3","294","2","3","4","5","5","3.24","3.5","1","5","3","3"
"2003","Couple + C. LE and GT 16","indirect migration background","2.82","3","129","2","2","4","4","5","2.65","2.99","1","5","2","3"
"2003","Couple + C. LE and GT 16","no migration background","3.11","3","1412","2","2","4","4","5","3.06","3.16","1","5","3","3"
"2003","Single parent","direct migration background","3.53","3.84","143","2","3","5","5","5","3.34","3.72","1","5","3","4"
"2003","Single parent","indirect migration background","2.96","3","64","2","2","3","4","5","2.71","3.21","1","5","3","3"
"2003","Single parent","no migration background","3.22","3","912","2","3","4","5","5","3.15","3.29","1","5","3","3"
"2004","(Married) couple without C.","direct migration background","","","","","","","","","","","","","",""
"2004","(Married) couple without C.","indirect migration background","","","","","","","","","","","","","",""
"2004","(Married) couple without C.","no migration background","","","","","","","","","","","","","",""
"2004","1-pers.-HH","direct migration background","","","","","","","","","","","","","",""
"2004","1-pers.-HH","indirect migration background","","","","","","","","","","","","","",""
"2004","1-pers.-HH","no migration background","","","","","","","","","","","","","",""
"2004","Couple + C. GT 16 ","direct migration background","","","","","","","","","","","","","",""
"2004","Couple + C. GT 16 ","indirect migration background","","","","","","","","","","","","","",""
"2004","Couple + C. GT 16 ","no migration background","","","","","","","","","","","","","",""
"2004","Couple + C. LE 16","direct migration background","","","","","","","","","","","","","",""
"2004","Couple + C. LE 16","indirect migration background","","","","","","","","","","","","","",""
"2004","Couple + C. LE 16","no migration background","","","","","","","","","","","","","",""
