"year","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2003","Female","3.46","3","11497","2","3","4","5","5","3.44","3.48","1","5","3","3"
"2003","Male","3.37","3","10660","2","3","4","5","5","3.35","3.39","1","5","3","3"
"2004","Female","","","","","","","","","","","","","",""
"2004","Male","","","","","","","","","","","","","",""
"2005","Female","","","","","","","","","","","","","",""
"2005","Male","","","","","","","","","","","","","",""
"2006","Female","","","","","","","","","","","","","",""
"2006","Male","","","","","","","","","","","","","",""
"2007","Female","","","","","","","","","","","","","",""
"2007","Male","","","","","","","","","","","","","",""
"2008","Female","3.46","3","10097","2","3","4","5","5","3.44","3.48","1","5","3","3"
"2008","Male","3.45","3","9192","2","3","4","5","5","3.43","3.47","1","5","3","3"
"2009","Female","","","","","","","","","","","","","",""
"2009","Male","","","","","","","","","","","","","",""
"2010","Female","","","","","","","","","","","","","",""
"2010","Male","","","","","","","","","","","","","",""
"2011","Female","","","","","","","","","","","","","",""
"2011","Male","","","","","","","","","","","","","",""
"2012","Female","","","","","","","","","","","","","",""
"2012","Male","","","","","","","","","","","","","",""
"2013","Female","3.48","3","13991","2","3","4","5","5","3.46","3.5","1","5","3","3"
"2013","Male","3.46","3","11533","2","3","4","5","5","3.44","3.48","1","5","3","3"
"2014","Female","","","","","","","","","","","","","",""
"2014","Male","","","","","","","","","","","","","",""
"2015","Female","","","","","","","","","","","","","",""
"2015","Male","","","","","","","","","","","","","",""
"2016","Female","","","","","","","","","","","","","",""
"2016","Male","","","","","","","","","","","","","",""
"2017","Female","","","","","","","","","","","","","",""
"2017","Male","","","","","","","","","","","","","",""
"2018","Female","3.36","3","13866","2","3","4","5","5","3.34","3.38","1","5","3","3"
"2018","Male","3.38","3","11841","2","3","4","5","5","3.36","3.4","1","5","3","3"
