"plj0588","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","1-pers.-HH","41","0.0270117016031441","0.0180990876399111","0.0359243155663772"
"Very often","2013","lower secondary degree","(Married) couple without C. ","22","","",""
"Very often","2013","lower secondary degree","Single parent ","15","","",""
"Very often","2013","lower secondary degree","Couple + C. LE 16 ","17","","",""
"Very often","2013","lower secondary degree","Couple + C. GT 16 ","6","","",""
"Very often","2013","lower secondary degree","Couple + C. LE and GT 16","2","","",""
"Very often","2013","secondary school degree","1-pers.-HH","16","","",""
"Very often","2013","secondary school degree","(Married) couple without C. ","8","","",""
"Very often","2013","secondary school degree","Single parent ","27","","",""
"Very often","2013","secondary school degree","Couple + C. LE 16 ","14","","",""
"Very often","2013","secondary school degree","Couple + C. GT 16 ","6","","",""
"Very often","2013","secondary school degree","Couple + C. LE and GT 16","3","","",""
"Very often","2013","college entrance qualification","1-pers.-HH","8","","",""
"Very often","2013","college entrance qualification","(Married) couple without C. ","7","","",""
"Very often","2013","college entrance qualification","Single parent ","5","","",""
"Very often","2013","college entrance qualification","Couple + C. LE 16 ","7","","",""
"Very often","2013","college entrance qualification","Couple + C. GT 16 ","4","","",""
"Very often","2013","college entrance qualification","Couple + C. LE and GT 16","2","","",""
"Very often","2013","Other degree","1-pers.-HH","6","","",""
"Very often","2013","Other degree","(Married) couple without C. ","5","","",""
"Very often","2013","Other degree","Single parent ","6","","",""
"Very often","2013","Other degree","Couple + C. LE 16 ","8","","",""
"Very often","2013","Other degree","Couple + C. GT 16 ","3","","",""
"Very often","2013","Other degree","Couple + C. LE and GT 16","5","","",""
"Very often","2013","no degree/no degree yet","1-pers.-HH","7","","",""
"Very often","2013","no degree/no degree yet","(Married) couple without C. ","","","",""
"Very often","2013","no degree/no degree yet","Single parent ","3","","",""
"Very often","2013","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Very often","2013","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Very often","2013","no degree/no degree yet","Couple + C. LE and GT 16","1","","",""
"Often","2013","lower secondary degree","1-pers.-HH","118","0.0916698390200587","0.0758059224337937","0.107533755606324"
"Often","2013","lower secondary degree","(Married) couple without C. ","113","0.0385543022586687","0.0314038370911589","0.0457047674261784"
"Often","2013","lower secondary degree","Single parent ","56","0.0668910192585103","0.0469503593577048","0.0868316791593159"
"Often","2013","lower secondary degree","Couple + C. LE 16 ","61","0.0547809624941984","0.0418413601483827","0.0677205648400142"
"Often","2013","lower secondary degree","Couple + C. GT 16 ","30","0.0400120382876052","0.0253779149351501","0.0546461616400603"
"Often","2013","lower secondary degree","Couple + C. LE and GT 16","17","","",""
"Often","2013","secondary school degree","1-pers.-HH","77","0.0932149886297702","0.0746588637513217","0.111771113508219"
"Often","2013","secondary school degree","(Married) couple without C. ","96","0.0432998519374127","0.034818078726427","0.0517816251483983"
"Often","2013","secondary school degree","Single parent ","73","0.0805848096915977","0.0634641338015345","0.0977054855816609"
"Often","2013","secondary school degree","Couple + C. LE 16 ","96","0.0499903922180455","0.0408170895527325","0.0591636948833586"
"Often","2013","secondary school degree","Couple + C. GT 16 ","45","0.0472670940221731","0.0332622320629662","0.06127195598138"
"Often","2013","secondary school degree","Couple + C. LE and GT 16","20","","",""
"Often","2013","college entrance qualification","1-pers.-HH","65","0.0688181547783649","0.0533359919333207","0.0843003176234091"
"Often","2013","college entrance qualification","(Married) couple without C. ","63","0.0331839919744353","0.0254529151006388","0.0409150688482317"
"Often","2013","college entrance qualification","Single parent ","38","0.0396298106899728","0.0242488243057587","0.0550107970741869"
"Often","2013","college entrance qualification","Couple + C. LE 16 ","60","0.0245559921920675","0.0182771787254209","0.0308348056587141"
"Often","2013","college entrance qualification","Couple + C. GT 16 ","23","","",""
"Often","2013","college entrance qualification","Couple + C. LE and GT 16","15","","",""
"Often","2013","Other degree","1-pers.-HH","16","","",""
"Often","2013","Other degree","(Married) couple without C. ","23","","",""
"Often","2013","Other degree","Single parent ","18","","",""
"Often","2013","Other degree","Couple + C. LE 16 ","38","0.0464428916323541","0.0290598058401359","0.0638259774245723"
"Often","2013","Other degree","Couple + C. GT 16 ","9","","",""
"Often","2013","Other degree","Couple + C. LE and GT 16","12","","",""
"Often","2013","no degree/no degree yet","1-pers.-HH","7","","",""
"Often","2013","no degree/no degree yet","(Married) couple without C. ","7","","",""
"Often","2013","no degree/no degree yet","Single parent ","14","","",""
"Often","2013","no degree/no degree yet","Couple + C. LE 16 ","17","","",""
"Often","2013","no degree/no degree yet","Couple + C. GT 16 ","5","","",""
"Often","2013","no degree/no degree yet","Couple + C. LE and GT 16","17","","",""
"Sometimes","2013","lower secondary degree","1-pers.-HH","275","0.221191686346165","0.198373821415246","0.244009551277084"
"Sometimes","2013","lower secondary degree","(Married) couple without C. ","523","0.194530317334383","0.179829085100483","0.209231549568283"
"Sometimes","2013","lower secondary degree","Single parent ","139","0.274079611897238","0.238477783926643","0.309681439867832"
"Sometimes","2013","lower secondary degree","Couple + C. LE 16 ","245","0.213035147000219","0.189751920174776","0.236318373825662"
"Sometimes","2013","lower secondary degree","Couple + C. GT 16 ","156","0.209502770731776","0.179116070494258","0.239889470969294"
"Sometimes","2013","lower secondary degree","Couple + C. LE and GT 16","80","0.211882408358163","0.171735739474906","0.25202907724142"
"Sometimes","2013","secondary school degree","1-pers.-HH","219","0.241704396966792","0.214379798483724","0.26902899544986"
"Sometimes","2013","secondary school degree","(Married) couple without C. ","405","0.186545997527517","0.170312391660889","0.202779603394144"
"Sometimes","2013","secondary school degree","Single parent ","231","0.206544676968915","0.181081844154755","0.232007509783075"
