"plj0588","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","(0) in school","","","",""
"Very often","2013","1-pers.-HH","(1a) inadequately completed","7","","",""
"Very often","2013","1-pers.-HH","(1b) general elementary school","13","","",""
"Very often","2013","1-pers.-HH","(1c) basic vocational qualification","32","0.0275037590505324","0.0170929635588101","0.0379145545422548"
"Very often","2013","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Very often","2013","1-pers.-HH","(2a) intermediate vocational","12","","",""
"Very often","2013","1-pers.-HH","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","1-pers.-HH","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2013","1-pers.-HH","(3a) lower tertiary education","3","","",""
"Very often","2013","1-pers.-HH","(3b) higher tertiary education","4","","",""
"Very often","2013","(Married) couple without C. ","(0) in school","","","",""
"Very often","2013","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Very often","2013","(Married) couple without C. ","(1b) general elementary school","6","","",""
"Very often","2013","(Married) couple without C. ","(1c) basic vocational qualification","17","","",""
"Very often","2013","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Very often","2013","(Married) couple without C. ","(2a) intermediate vocational","6","","",""
"Very often","2013","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","(Married) couple without C. ","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2013","(Married) couple without C. ","(3a) lower tertiary education","3","","",""
"Very often","2013","(Married) couple without C. ","(3b) higher tertiary education","5","","",""
"Very often","2013","Single parent ","(0) in school","","","",""
"Very often","2013","Single parent ","(1a) inadequately completed","3","","",""
"Very often","2013","Single parent ","(1b) general elementary school","9","","",""
"Very often","2013","Single parent ","(1c) basic vocational qualification","8","","",""
"Very often","2013","Single parent ","(2b) intermediate general qualification","4","","",""
"Very often","2013","Single parent ","(2a) intermediate vocational","21","","",""
"Very often","2013","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Very often","2013","Single parent ","(2c_voc) vocational maturity certificate","6","","",""
"Very often","2013","Single parent ","(3a) lower tertiary education","2","","",""
"Very often","2013","Single parent ","(3b) higher tertiary education","2","","",""
"Very often","2013","Couple + C. LE 16 ","(0) in school","","","",""
"Very often","2013","Couple + C. LE 16 ","(1a) inadequately completed","1","","",""
"Very often","2013","Couple + C. LE 16 ","(1b) general elementary school","7","","",""
"Very often","2013","Couple + C. LE 16 ","(1c) basic vocational qualification","14","","",""
"Very often","2013","Couple + C. LE 16 ","(2b) intermediate general qualification","4","","",""
"Very often","2013","Couple + C. LE 16 ","(2a) intermediate vocational","10","","",""
"Very often","2013","Couple + C. LE 16 ","(2c_gen) general maturity certificate","2","","",""
"Very often","2013","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2013","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Very often","2013","Couple + C. LE 16 ","(3b) higher tertiary education","6","","",""
"Very often","2013","Couple + C. GT 16 ","(0) in school","","","",""
"Very often","2013","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Very often","2013","Couple + C. GT 16 ","(1b) general elementary school","1","","",""
"Very often","2013","Couple + C. GT 16 ","(1c) basic vocational qualification","6","","",""
"Very often","2013","Couple + C. GT 16 ","(2b) intermediate general qualification","1","","",""
"Very often","2013","Couple + C. GT 16 ","(2a) intermediate vocational","5","","",""
"Very often","2013","Couple + C. GT 16 ","(2c_gen) general maturity certificate","1","","",""
"Very often","2013","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","2","","",""
"Very often","2013","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Very often","2013","Couple + C. GT 16 ","(3b) higher tertiary education","3","","",""
"Very often","2013","Couple + C. LE and GT 16","(0) in school","1","","",""
