"plj0588","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","in school","","","",""
"Very often","2013","1-pers.-HH","inadequately","4","","",""
"Very often","2013","1-pers.-HH","general elemantary","14","","",""
"Very often","2013","1-pers.-HH","middle vocational","50","0.0238315701768779","0.0167834838128817","0.0308796565408742"
"Very often","2013","1-pers.-HH","vocational + Abi","3","","",""
"Very often","2013","1-pers.-HH","higher vocational","","","",""
"Very often","2013","1-pers.-HH","higher education","7","","",""
"Very often","2013","(Married) couple without C. ","in school","","","",""
"Very often","2013","(Married) couple without C. ","inadequately","","","",""
"Very often","2013","(Married) couple without C. ","general elemantary","6","","",""
"Very often","2013","(Married) couple without C. ","middle vocational","24","","",""
"Very often","2013","(Married) couple without C. ","vocational + Abi","2","","",""
"Very often","2013","(Married) couple without C. ","higher vocational","4","","",""
"Very often","2013","(Married) couple without C. ","higher education","8","","",""
"Very often","2013","Single parent ","in school","","","",""
"Very often","2013","Single parent ","inadequately","3","","",""
"Very often","2013","Single parent ","general elemantary","12","","",""
"Very often","2013","Single parent ","middle vocational","29","","",""
"Very often","2013","Single parent ","vocational + Abi","6","","",""
"Very often","2013","Single parent ","higher vocational","2","","",""
"Very often","2013","Single parent ","higher education","4","","",""
"Very often","2013","Couple + C. LE 16 ","in school","","","",""
"Very often","2013","Couple + C. LE 16 ","inadequately","2","","",""
"Very often","2013","Couple + C. LE 16 ","general elemantary","10","","",""
"Very often","2013","Couple + C. LE 16 ","middle vocational","26","","",""
"Very often","2013","Couple + C. LE 16 ","vocational + Abi","2","","",""
"Very often","2013","Couple + C. LE 16 ","higher vocational","1","","",""
"Very often","2013","Couple + C. LE 16 ","higher education","6","","",""
"Very often","2013","Couple + C. GT 16 ","in school","","","",""
"Very often","2013","Couple + C. GT 16 ","inadequately","","","",""
"Very often","2013","Couple + C. GT 16 ","general elemantary","2","","",""
"Very often","2013","Couple + C. GT 16 ","middle vocational","8","","",""
"Very often","2013","Couple + C. GT 16 ","vocational + Abi","2","","",""
"Very often","2013","Couple + C. GT 16 ","higher vocational","4","","",""
"Very often","2013","Couple + C. GT 16 ","higher education","3","","",""
"Very often","2013","Couple + C. LE and GT 16","in school","1","","",""
"Very often","2013","Couple + C. LE and GT 16","inadequately","1","","",""
"Very often","2013","Couple + C. LE and GT 16","general elemantary","4","","",""
"Very often","2013","Couple + C. LE and GT 16","middle vocational","5","","",""
"Very often","2013","Couple + C. LE and GT 16","vocational + Abi","","","",""
"Very often","2013","Couple + C. LE and GT 16","higher vocational","1","","",""
"Very often","2013","Couple + C. LE and GT 16","higher education","1","","",""
