"plj0588","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Not Employed","Part Time","","","","","5"
"Never","2013","Employed","Full Time","2783","0.269362150437202","0.260499889546085","0.278224411328318","5"
"Never","2013","Employed","Part Time","1962","0.27096006284274","0.260626173861385","0.281293951824096","5"
"Never","2013","Employed","Not Working","","","","","5"
"Never","2013","Not Employed","Not Working","2763","0.320422412985677","0.310652788447766","0.330192037523588","5"
"Never","2013","Not Employed","Full Time","","","","","5"
"Often","2013","Not Employed","Part Time","","","","","2"
"Often","2013","Not Employed","Full Time","","","","","2"
"Often","2013","Not Employed","Not Working","549","0.0639891772144285","0.0588653956737033","0.0691129587551537","2"
"Often","2013","Employed","Full Time","388","0.0443780975741061","0.0402642087566095","0.0484919863916028","2"
"Often","2013","Employed","Part Time","387","0.057287379069383","0.0518841344845093","0.0626906236542566","2"
"Often","2013","Employed","Not Working","","","","","2"
"Rarely ","2013","Not Employed","Part Time","","","","","4"
"Rarely ","2013","Not Employed","Full Time","","","","","4"
"Rarely ","2013","Not Employed","Not Working","3430","0.375808542295568","0.365668514608906","0.385948569982231","4"
"Rarely ","2013","Employed","Full Time","4651","0.493078649717261","0.483091224214974","0.503066075219548","4"
"Rarely ","2013","Employed","Part Time","3216","0.449044480512218","0.437479672169821","0.460609288854615","4"
"Rarely ","2013","Employed","Not Working","","","","","4"
"Sometimes","2013","Not Employed","Part Time","","","","","3"
"Sometimes","2013","Not Employed","Not Working","1867","0.223866127167851","0.215139238841924","0.232593015493779","3"
"Sometimes","2013","Employed","Not Working","","","","","3"
"Sometimes","2013","Employed","Part Time","1478","0.213792749465448","0.204260388095043","0.223325110835853","3"
"Sometimes","2013","Not Employed","Full Time","","","","","3"
"Sometimes","2013","Employed","Full Time","1755","0.188314553620549","0.18050437467526","0.196124732565839","3"
"Very often","2013","Not Employed","Full Time","","","","","1"
"Very often","2013","Not Employed","Part Time","","","","","1"
"Very often","2013","Not Employed","Not Working","155","0.0159137403364743","0.0132937503932778","0.0185337302796709","1"
"Very often","2013","Employed","Full Time","49","0.00486654865088218","0.00347635161026472","0.00625674569149965","1"
"Very often","2013","Employed","Part Time","63","0.00891532811021055","0.00672978420863016","0.0111008720117909","1"
"Very often","2013","Employed","Not Working","","","","","1"
"Never","2014","Not Employed","Part Time","","","","","5"
"Never","2014","Employed","Not Working","","","","","5"
"Never","2014","Not Employed","Not Working","","","","","5"
"Never","2014","Not Employed","Full Time","","","","","5"
"Never","2014","Employed","Part Time","","","","","5"
"Never","2014","Employed","Full Time","","","","","5"
"Often","2014","Not Employed","Part Time","","","","","2"
"Often","2014","Not Employed","Not Working","","","","","2"
"Often","2014","Employed","Full Time","","","","","2"
"Often","2014","Not Employed","Full Time","","","","","2"
"Often","2014","Employed","Part Time","","","","","2"
"Often","2014","Employed","Not Working","","","","","2"
"Rarely ","2014","Not Employed","Part Time","","","","","4"
"Rarely ","2014","Employed","Part Time","","","","","4"
"Rarely ","2014","Employed","Not Working","","","","","4"
"Rarely ","2014","Not Employed","Full Time","","","","","4"
"Rarely ","2014","Not Employed","Not Working","","","","","4"
"Rarely ","2014","Employed","Full Time","","","","","4"
"Sometimes","2014","Not Employed","Part Time","","","","","3"
"Sometimes","2014","Not Employed","Not Working","","","","","3"
"Sometimes","2014","Not Employed","Full Time","","","","","3"
"Sometimes","2014","Employed","Full Time","","","","","3"
"Sometimes","2014","Employed","Part Time","","","","","3"
"Sometimes","2014","Employed","Not Working","","","","","3"
"Very often","2014","Not Employed","Not Working","","","","","1"
"Very often","2014","Not Employed","Full Time","","","","","1"
"Very often","2014","Not Employed","Part Time","","","","","1"
