"plj0588","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2013","in school","Urban Area","1","","",""
"Very often","2013","in school","Rural Area","","","",""
"Very often","2013","inadequately","Urban Area","6","","",""
"Very often","2013","inadequately","Rural Area","4","","",""
"Very often","2013","general elemantary","Urban Area","34","0.0162126106435444","0.0101735338486865","0.0222516874384022"
"Very often","2013","general elemantary","Rural Area","17","","",""
"Very often","2013","middle vocational","Urban Area","94","0.0120943399490532","0.00959728266872481","0.0145913972293815"
"Very often","2013","middle vocational","Rural Area","50","0.00921848438355492","0.00658158731202793","0.0118553814550819"
"Very often","2013","vocational + Abi","Urban Area","12","","",""
"Very often","2013","vocational + Abi","Rural Area","3","","",""
"Very often","2013","higher vocational","Urban Area","8","","",""
"Very often","2013","higher vocational","Rural Area","4","","",""
"Very often","2013","higher education","Urban Area","20","","",""
"Very often","2013","higher education","Rural Area","10","","",""
"Often","2013","in school","Urban Area","15","","",""
"Often","2013","in school","Rural Area","6","","",""
"Often","2013","inadequately","Urban Area","29","","",""
"Often","2013","inadequately","Rural Area","20","","",""
"Often","2013","general elemantary","Urban Area","127","0.0858392874131748","0.072444131329875","0.0992344434964746"
"Often","2013","general elemantary","Rural Area","56","0.0645378014153663","0.0484493482459558","0.0806262545847769"
"Often","2013","middle vocational","Urban Area","382","0.0513494181329406","0.046307444336959","0.0563913919289223"
"Often","2013","middle vocational","Rural Area","283","0.0591083889824861","0.0526015684645176","0.0656152095004546"
"Often","2013","vocational + Abi","Urban Area","82","0.0564643688051018","0.0438344326752121","0.0690943049349914"
"Often","2013","vocational + Abi","Rural Area","20","","",""
"Often","2013","higher vocational","Urban Area","48","0.0539505238005231","0.0399620933524096","0.0679389542486365"
"Often","2013","higher vocational","Rural Area","28","","",""
"Often","2013","higher education","Urban Area","151","0.0378722346043362","0.032095812146338","0.0436486570623344"
"Often","2013","higher education","Rural Area","52","0.0511739951326974","0.0404767428050638","0.061871247460331"
"Sometimes","2013","in school","Urban Area","53","0.138090551740434","0.0994990475555567","0.176682055925311"
"Sometimes","2013","in school","Rural Area","23","","",""
"Sometimes","2013","inadequately","Urban Area","63","0.349913940607118","0.285863173067542","0.413964708146693"
"Sometimes","2013","inadequately","Rural Area","33","0.223067625890638","0.146980872600237","0.299154379181039"
"Sometimes","2013","general elemantary","Urban Area","379","0.227705423583267","0.207652780212914","0.24775806695362"
"Sometimes","2013","general elemantary","Rural Area","209","0.237425176329762","0.209564047895074","0.26528630476445"
"Sometimes","2013","middle vocational","Urban Area","1492","0.213831041543256","0.204464635007993","0.22319744807852"
"Sometimes","2013","middle vocational","Rural Area","1053","0.203675193903444","0.192563285331113","0.214787102475775"
"Sometimes","2013","vocational + Abi","Urban Area","257","0.220818866457419","0.198121677925864","0.243516054988975"
"Sometimes","2013","vocational + Abi","Rural Area","109","0.265598760181706","0.226413936005847","0.304783584357565"
"Sometimes","2013","higher vocational","Urban Area","177","0.186903618240236","0.162766017522687","0.211041218957786"
"Sometimes","2013","higher vocational","Rural Area","156","0.255333860835301","0.222438760615237","0.288228961055365"
"Sometimes","2013","higher education","Urban Area","721","0.16905961159445","0.157717681238876","0.180401541950024"
"Sometimes","2013","higher education","Rural Area","279","0.191477550254755","0.172376411399901","0.210578689109608"
"Rarely ","2013","in school","Urban Area","150","0.47930133800671","0.423418757196518","0.535183918816902"
"Rarely ","2013","in school","Rural Area","76","0.597542258946231","0.515425412568831","0.679659105323631"
"Rarely ","2013","inadequately","Urban Area","67","0.264369206696673","0.205145760753098","0.323592652640248"
"Rarely ","2013","inadequately","Rural Area","31","0.335449772792159","0.249156522500531","0.421743023083788"
"Rarely ","2013","general elemantary","Urban Area","600","0.351449661486337","0.328620137300035","0.374279185672639"
"Rarely ","2013","general elemantary","Rural Area","339","0.379339805430556","0.347568486706085","0.411111124155028"
"Rarely ","2013","middle vocational","Urban Area","3148","0.420973821142486","0.409695191742003","0.432252450542968"
"Rarely ","2013","middle vocational","Rural Area","2223","0.437360674684411","0.423673639768199","0.451047709600623"
"Rarely ","2013","vocational + Abi","Urban Area","602","0.474109847354856","0.446787263339424","0.501432431370288"
"Rarely ","2013","vocational + Abi","Rural Area","210","0.399654081570251","0.35619494561486","0.443113217525641"
"Rarely ","2013","higher vocational","Urban Area","474","0.471734619615446","0.44082531887773","0.502643920353162"
"Rarely ","2013","higher vocational","Rural Area","317","0.444661037133935","0.40717324912602","0.482148825141849"
"Rarely ","2013","higher education","Urban Area","2009","0.496659961786959","0.481529840038358","0.511790083535561"
"Rarely ","2013","higher education","Rural Area","859","0.524733225511688","0.500489894126032","0.548976556897344"
"Never","2013","in school","Urban Area","88","0.305494254166134","0.253969212933117","0.357019295399152"
"Never","2013","in school","Rural Area","32","0.178703675982255","0.114552519498188","0.242854832466322"
"Never","2013","inadequately","Urban Area","48","0.270746303309121","0.211073165268719","0.330419441349524"
"Never","2013","inadequately","Rural Area","27","","",""
"Never","2013","general elemantary","Urban Area","540","0.318793016873677","0.296509312121603","0.34107672162575"
"Never","2013","general elemantary","Rural Area","275","0.301229904407136","0.271189188131893","0.33127062068238"
"Never","2013","middle vocational","Urban Area","2245","0.301751379232264","0.291265391209277","0.312237367255251"
"Never","2013","middle vocational","Rural Area","1437","0.290637258046104","0.278109184368026","0.303165331724182"
"Never","2013","vocational + Abi","Urban Area","330","0.237434326789944","0.214150994189775","0.260717659390113"
"Never","2013","vocational + Abi","Rural Area","146","0.283794897652991","0.243794972668492","0.323794822637491"
"Never","2013","higher vocational","Urban Area","295","0.279129297177787","0.251354836853895","0.306903757501678"
"Never","2013","higher vocational","Rural Area","170","0.253988309766922","0.221150371271124","0.28682624826272"
"Never","2013","higher education","Urban Area","1294","0.290329820070237","0.276593948887893","0.304065691252581"
"Never","2013","higher education","Rural Area","430","0.228795315190929","0.208403180914879","0.249187449466979"
"Very often","2014","in school","Urban Area","","","",""
"Very often","2014","in school","Rural Area","","","",""
"Very often","2014","inadequately","Urban Area","","","",""
"Very often","2014","inadequately","Rural Area","","","",""
"Very often","2014","general elemantary","Urban Area","","","",""
"Very often","2014","general elemantary","Rural Area","","","",""
"Very often","2014","middle vocational","Urban Area","","","",""
"Very often","2014","middle vocational","Rural Area","","","",""
"Very often","2014","vocational + Abi","Urban Area","","","",""
"Very often","2014","vocational + Abi","Rural Area","","","",""
"Very often","2014","higher vocational","Urban Area","","","",""
"Very often","2014","higher vocational","Rural Area","","","",""
"Very often","2014","higher education","Urban Area","","","",""
"Very often","2014","higher education","Rural Area","","","",""
"Often","2014","in school","Urban Area","","","",""
"Often","2014","in school","Rural Area","","","",""
"Often","2014","inadequately","Urban Area","","","",""
"Often","2014","inadequately","Rural Area","","","",""
"Often","2014","general elemantary","Urban Area","","","",""
"Often","2014","general elemantary","Rural Area","","","",""
"Often","2014","middle vocational","Urban Area","","","",""
"Often","2014","middle vocational","Rural Area","","","",""
"Often","2014","vocational + Abi","Urban Area","","","",""
"Often","2014","vocational + Abi","Rural Area","","","",""
"Often","2014","higher vocational","Urban Area","","","",""
"Often","2014","higher vocational","Rural Area","","","",""
"Often","2014","higher education","Urban Area","","","",""
"Often","2014","higher education","Rural Area","","","",""
"Sometimes","2014","in school","Urban Area","","","",""
"Sometimes","2014","in school","Rural Area","","","",""
"Sometimes","2014","inadequately","Urban Area","","","",""
"Sometimes","2014","inadequately","Rural Area","","","",""
"Sometimes","2014","general elemantary","Urban Area","","","",""
"Sometimes","2014","general elemantary","Rural Area","","","",""
"Sometimes","2014","middle vocational","Urban Area","","","",""
"Sometimes","2014","middle vocational","Rural Area","","","",""
"Sometimes","2014","vocational + Abi","Urban Area","","","",""
"Sometimes","2014","vocational + Abi","Rural Area","","","",""
"Sometimes","2014","higher vocational","Urban Area","","","",""
"Sometimes","2014","higher vocational","Rural Area","","","",""
"Sometimes","2014","higher education","Urban Area","","","",""
"Sometimes","2014","higher education","Rural Area","","","",""
"Rarely ","2014","in school","Urban Area","","","",""
"Rarely ","2014","in school","Rural Area","","","",""
"Rarely ","2014","inadequately","Urban Area","","","",""
"Rarely ","2014","inadequately","Rural Area","","","",""
"Rarely ","2014","general elemantary","Urban Area","","","",""
"Rarely ","2014","general elemantary","Rural Area","","","",""
"Rarely ","2014","middle vocational","Urban Area","","","",""
"Rarely ","2014","middle vocational","Rural Area","","","",""
"Rarely ","2014","vocational + Abi","Urban Area","","","",""
"Rarely ","2014","vocational + Abi","Rural Area","","","",""
"Rarely ","2014","higher vocational","Urban Area","","","",""
"Rarely ","2014","higher vocational","Rural Area","","","",""
"Rarely ","2014","higher education","Urban Area","","","",""
"Rarely ","2014","higher education","Rural Area","","","",""
"Never","2014","in school","Urban Area","","","",""
"Never","2014","in school","Rural Area","","","",""
"Never","2014","inadequately","Urban Area","","","",""
"Never","2014","inadequately","Rural Area","","","",""
"Never","2014","general elemantary","Urban Area","","","",""
"Never","2014","general elemantary","Rural Area","","","",""
"Never","2014","middle vocational","Urban Area","","","",""
"Never","2014","middle vocational","Rural Area","","","",""
"Never","2014","vocational + Abi","Urban Area","","","",""
"Never","2014","vocational + Abi","Rural Area","","","",""
"Never","2014","higher vocational","Urban Area","","","",""
"Never","2014","higher vocational","Rural Area","","","",""
"Never","2014","higher education","Urban Area","","","",""
"Never","2014","higher education","Rural Area","","","",""
"Very often","2015","in school","Urban Area","","","",""
"Very often","2015","in school","Rural Area","","","",""
"Very often","2015","inadequately","Urban Area","","","",""
"Very often","2015","inadequately","Rural Area","","","",""
"Very often","2015","general elemantary","Urban Area","","","",""
"Very often","2015","general elemantary","Rural Area","","","",""
"Very often","2015","middle vocational","Urban Area","","","",""
"Very often","2015","middle vocational","Rural Area","","","",""
"Very often","2015","vocational + Abi","Urban Area","","","",""
"Very often","2015","vocational + Abi","Rural Area","","","",""
"Very often","2015","higher vocational","Urban Area","","","",""
"Very often","2015","higher vocational","Rural Area","","","",""
"Very often","2015","higher education","Urban Area","","","",""
"Very often","2015","higher education","Rural Area","","","",""
"Often","2015","in school","Urban Area","","","",""
