"plj0588","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","no migration background","in school","","","",""
"Very often","2013","no migration background","inadequately","5","","",""
"Very often","2013","no migration background","general elemantary","37","0.016427673071401","0.010654036689059","0.022201309453743"
"Very often","2013","no migration background","middle vocational","123","0.0100000789472868","0.00813823071064918","0.0118619271839244"
"Very often","2013","no migration background","vocational + Abi","10","","",""
"Very often","2013","no migration background","higher vocational","10","","",""
"Very often","2013","no migration background","higher education","24","","",""
"Very often","2013","direct migration background","in school","","","",""
"Very often","2013","direct migration background","inadequately","3","","",""
"Very often","2013","direct migration background","general elemantary","12","","",""
"Very often","2013","direct migration background","middle vocational","17","","",""
"Very often","2013","direct migration background","vocational + Abi","5","","",""
"Very often","2013","direct migration background","higher vocational","1","","",""
"Very often","2013","direct migration background","higher education","5","","",""
"Very often","2013","indirect migration background","in school","1","","",""
"Very often","2013","indirect migration background","inadequately","2","","",""
"Very often","2013","indirect migration background","general elemantary","2","","",""
"Very often","2013","indirect migration background","middle vocational","4","","",""
"Very often","2013","indirect migration background","vocational + Abi","","","",""
"Very often","2013","indirect migration background","higher vocational","1","","",""
"Very often","2013","indirect migration background","higher education","1","","",""
"Often","2013","no migration background","in school","16","","",""
"Often","2013","no migration background","inadequately","25","","",""
"Often","2013","no migration background","general elemantary","138","0.079086632934573","0.0668286451521206","0.0913446207170253"
"Often","2013","no migration background","middle vocational","590","0.0536433164311284","0.0494272230617364","0.0578594098005204"
"Often","2013","no migration background","vocational + Abi","77","0.0552280870510908","0.0432197138092787","0.0672364602929029"
"Often","2013","no migration background","higher vocational","70","0.0498867542160842","0.0389635227954707","0.0608099856366977"
"Often","2013","no migration background","higher education","154","0.0414640006009706","0.0359828646296783","0.0469451365722628"
"Often","2013","direct migration background","in school","1","","",""
"Often","2013","direct migration background","inadequately","21","","",""
"Often","2013","direct migration background","general elemantary","29","","",""
"Often","2013","direct migration background","middle vocational","60","0.0743439127928708","0.0577926180565627","0.0908952075291788"
"Often","2013","direct migration background","vocational + Abi","20","","",""
"Often","2013","direct migration background","higher vocational","6","","",""
"Often","2013","direct migration background","higher education","43","0.0480054771500214","0.0302679280039485","0.0657430262960944"
"Often","2013","indirect migration background","in school","4","","",""
"Often","2013","indirect migration background","inadequately","3","","",""
"Often","2013","indirect migration background","general elemantary","16","","",""
"Often","2013","indirect migration background","middle vocational","15","","",""
"Often","2013","indirect migration background","vocational + Abi","5","","",""
"Often","2013","indirect migration background","higher vocational","","","",""
"Often","2013","indirect migration background","higher education","6","","",""
"Sometimes","2013","no migration background","in school","60","0.141921249079092","0.104270085071735","0.179572413086449"
"Sometimes","2013","no migration background","inadequately","51","0.268931165704211","0.20379265990583","0.334069671502593"
"Sometimes","2013","no migration background","general elemantary","400","0.212642379618404","0.194057096465275","0.231227662771532"
"Sometimes","2013","no migration background","middle vocational","2218","0.209217734510799","0.201606542266343","0.216828926755255"
"Sometimes","2013","no migration background","vocational + Abi","275","0.227330504345703","0.205297869737783","0.249363138953623"
"Sometimes","2013","no migration background","higher vocational","297","0.204572333198324","0.184333073653185","0.224811592743463"
"Sometimes","2013","no migration background","higher education","830","0.173786212952639","0.163368206087826","0.184204219817453"
"Sometimes","2013","direct migration background","in school","4","","",""
"Sometimes","2013","direct migration background","inadequately","36","0.353188778385377","0.268721644793947","0.437655911976806"
"Sometimes","2013","direct migration background","general elemantary","147","0.324766061160807","0.28412402541902","0.365408096902595"
"Sometimes","2013","direct migration background","middle vocational","226","0.210432316429071","0.184714426417094","0.236150206441049"
"Sometimes","2013","direct migration background","vocational + Abi","74","0.258489131769722","0.20943593875896","0.307542324780484"
"Sometimes","2013","direct migration background","higher vocational","24","","",""
"Sometimes","2013","direct migration background","higher education","130","0.184685645588788","0.152489038569567","0.216882252608008"
"Sometimes","2013","indirect migration background","in school","12","","",""
"Sometimes","2013","indirect migration background","inadequately","9","","",""
"Sometimes","2013","indirect migration background","general elemantary","41","0.197818965038625","0.143154743837224","0.252483186240025"
"Sometimes","2013","indirect migration background","middle vocational","101","0.239125484203437","0.200603638456209","0.277647329950665"
"Sometimes","2013","indirect migration background","vocational + Abi","17","","",""
"Sometimes","2013","indirect migration background","higher vocational","12","","",""
"Sometimes","2013","indirect migration background","higher education","40","0.173621608973312","0.119039087883631","0.228204130062993"
"Rarely ","2013","no migration background","in school","170","0.522656408821879","0.46876558667199","0.576547230971768"
"Rarely ","2013","no migration background","inadequately","55","0.362928653422614","0.29228994421404","0.433567362631188"
"Rarely ","2013","no migration background","general elemantary","708","0.384206064385245","0.362112892860878","0.406299235909611"
"Rarely ","2013","no migration background","middle vocational","4810","0.43377523432856","0.424501561066757","0.443048907590363"
"Rarely ","2013","no migration background","vocational + Abi","660","0.463730049177883","0.437514132898596","0.489945965457169"
"Rarely ","2013","no migration background","higher vocational","731","0.474423003067637","0.449369303349045","0.499476702786229"
"Rarely ","2013","no migration background","higher education","2554","0.504159354403906","0.49041305693771","0.517905651870101"
"Rarely ","2013","direct migration background","in school","10","","",""
"Rarely ","2013","direct migration background","inadequately","34","0.174543580035088","0.107463348982463","0.241623811087713"
"Rarely ","2013","direct migration background","general elemantary","156","0.248606241751668","0.211095745595767","0.286116737907568"
"Rarely ","2013","direct migration background","middle vocational","348","0.325404087180798","0.295843177881954","0.354964996479641"
"Rarely ","2013","direct migration background","vocational + Abi","120","0.427410166986983","0.371981859401652","0.482838474572314"
"Rarely ","2013","direct migration background","higher vocational","36","0.262357013541128","0.175700753463842","0.349013273618414"
"Rarely ","2013","direct migration background","higher education","226","0.490290767577305","0.448812644182761","0.531768890971849"
"Rarely ","2013","indirect migration background","in school","46","0.43862392082035","0.338310908518977","0.538936933121723"
"Rarely ","2013","indirect migration background","inadequately","9","","",""
