"plj0588","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","(0) in school","Male","1","","",""
"Very often","2013","(0) in school","Female","","","",""
"Very often","2013","(1a) inadequately completed","Male","4","","",""
"Very often","2013","(1a) inadequately completed","Female","7","","",""
"Very often","2013","(1b) general elementary school","Male","11","","",""
"Very often","2013","(1b) general elementary school","Female","33","0.0174370176404899","0.0102942003959039","0.0245798348850758"
"Very often","2013","(1c) basic vocational qualification","Male","29","","",""
"Very often","2013","(1c) basic vocational qualification","Female","52","0.0184635969902097","0.0134081926019585","0.0235190013784608"
"Very often","2013","(2b) intermediate general qualification","Male","4","","",""
"Very often","2013","(2b) intermediate general qualification","Female","7","","",""
"Very often","2013","(2a) intermediate vocational","Male","15","","",""
"Very often","2013","(2a) intermediate vocational","Female","42","0.00802182897291424","0.00523925142886871","0.0108044065169598"
"Very often","2013","(2c_gen) general maturity certificate","Male","2","","",""
"Very often","2013","(2c_gen) general maturity certificate","Female","6","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","Male","4","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","Female","14","","",""
"Very often","2013","(3a) lower tertiary education","Male","2","","",""
"Very often","2013","(3a) lower tertiary education","Female","6","","",""
"Very often","2013","(3b) higher tertiary education","Male","11","","",""
"Very often","2013","(3b) higher tertiary education","Female","11","","",""
"Often","2013","(0) in school","Male","10","","",""
"Often","2013","(0) in school","Female","11","","",""
"Often","2013","(1a) inadequately completed","Male","13","","",""
"Often","2013","(1a) inadequately completed","Female","36","0.13830279706605","0.0898494694108839","0.186756124721216"
"Often","2013","(1b) general elementary school","Male","38","0.0823261581789904","0.0607601931343999","0.103892123223581"
"Often","2013","(1b) general elementary school","Female","104","0.0769652700420847","0.0624204063486754","0.091510133735494"
"Often","2013","(1c) basic vocational qualification","Male","147","0.0508788770781282","0.0431369809067139","0.0586207732495425"
"Often","2013","(1c) basic vocational qualification","Female","168","0.0523874152481825","0.0440203446216226","0.0607544858747424"
"Often","2013","(2b) intermediate general qualification","Male","10","","",""
"Often","2013","(2b) intermediate general qualification","Female","37","0.107142504418754","0.0786918581611876","0.13559315067632"
"Often","2013","(2a) intermediate vocational","Male","129","0.0555978938440613","0.0466637464415492","0.0645320412465734"
"Often","2013","(2a) intermediate vocational","Female","222","0.0613914544706611","0.0539036286690696","0.0688792802722525"
"Often","2013","(2c_gen) general maturity certificate","Male","20","","",""
"Often","2013","(2c_gen) general maturity certificate","Female","19","","",""
"Often","2013","(2c_voc) vocational maturity certificate","Male","28","","",""
"Often","2013","(2c_voc) vocational maturity certificate","Female","93","0.0694567984125556","0.0559403057392627","0.0829732910858485"
"Often","2013","(3a) lower tertiary education","Male","31","0.0347432023298822","0.02389650832327","0.0455898963364943"
"Often","2013","(3a) lower tertiary education","Female","47","0.0666569349223038","0.0511353674453616","0.082178502399246"
"Often","2013","(3b) higher tertiary education","Male","57","0.0413041676390964","0.0323042682568814","0.0503040670213114"
"Often","2013","(3b) higher tertiary education","Female","68","0.0311013422457704","0.0232123711980039","0.0389903132935369"
"Sometimes","2013","(0) in school","Male","34","0.134194193940661","0.0885255291606163","0.179862858720706"
"Sometimes","2013","(0) in school","Female","42","0.155438848702911","0.108916089286637","0.201961608119185"
"Sometimes","2013","(1a) inadequately completed","Male","42","0.285758455367143","0.216403677105166","0.355113233629121"
"Sometimes","2013","(1a) inadequately completed","Female","56","0.269092674300526","0.206846469097142","0.33133887950391"
"Sometimes","2013","(1b) general elementary school","Male","141","0.249897525453785","0.215927406073911","0.283867644833659"
"Sometimes","2013","(1b) general elementary school","Female","307","0.239827590815242","0.216527433160985","0.263127748469499"
"Sometimes","2013","(1c) basic vocational qualification","Male","601","0.199150179293072","0.185080517546148","0.213219841039995"
"Sometimes","2013","(1c) basic vocational qualification","Female","576","0.218876997940106","0.203349398666519","0.234404597213693"
"Sometimes","2013","(2b) intermediate general qualification","Male","52","0.166114819975808","0.121388353351737","0.21084128659988"
"Sometimes","2013","(2b) intermediate general qualification","Female","104","0.226329700025886","0.187837839706968","0.264821560344804"
"Sometimes","2013","(2a) intermediate vocational","Male","421","0.185020561415085","0.169880459687946","0.200160663142223"
"Sometimes","2013","(2a) intermediate vocational","Female","895","0.238083037320417","0.224797547608265","0.251368527032568"
"Sometimes","2013","(2c_gen) general maturity certificate","Male","90","0.181039902556656","0.145102447338442","0.216977357774871"
"Sometimes","2013","(2c_gen) general maturity certificate","Female","140","0.21053579830419","0.177527093823933","0.243544502784447"
"Sometimes","2013","(2c_voc) vocational maturity certificate","Male","163","0.236188723067486","0.208221210482155","0.264156235652817"
"Sometimes","2013","(2c_voc) vocational maturity certificate","Female","293","0.22332216919871","0.201179766956092","0.245464571441327"
"Sometimes","2013","(3a) lower tertiary education","Male","156","0.157182516647625","0.135624444629279","0.178740588665972"
"Sometimes","2013","(3a) lower tertiary education","Female","192","0.20529136430844","0.180156209665267","0.230426518951613"
"Sometimes","2013","(3b) higher tertiary education","Male","297","0.160617272672128","0.144010836724622","0.177223708619635"
"Sometimes","2013","(3b) higher tertiary education","Female","355","0.186572567352682","0.168868423889788","0.204276710815576"
"Rarely ","2013","(0) in school","Male","106","0.475567327302436","0.408657165562801","0.54247748904207"
"Rarely ","2013","(0) in school","Female","122","0.539099878174181","0.475095724570012","0.60310403177835"
"Rarely ","2013","(1a) inadequately completed","Male","50","0.305905196881709","0.235166490624944","0.376643903138473"
