"plj0588","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","lower secondary degree","in school","","","",""
"Very often","2013","lower secondary degree","inadequately","","","",""
"Very often","2013","lower secondary degree","general elemantary","31","0.0187666138139726","0.0119692641294532","0.025563963498492"
"Very often","2013","lower secondary degree","middle vocational","72","0.0131701670279417","0.010009903499134","0.0163304305567495"
"Very often","2013","lower secondary degree","vocational + Abi","","","",""
"Very often","2013","lower secondary degree","higher vocational","2","","",""
"Very often","2013","lower secondary degree","higher education","1","","",""
"Very often","2013","secondary school degree","in school","","","",""
"Very often","2013","secondary school degree","inadequately","","","",""
"Very often","2013","secondary school degree","general elemantary","11","","",""
"Very often","2013","secondary school degree","middle vocational","52","0.00718377756297107","0.00499443937895741","0.00937311574698473"
"Very often","2013","secondary school degree","vocational + Abi","","","",""
"Very often","2013","secondary school degree","higher vocational","5","","",""
"Very often","2013","secondary school degree","higher education","6","","",""
"Very often","2013","college entrance qualification","in school","","","",""
"Very often","2013","college entrance qualification","inadequately","","","",""
"Very often","2013","college entrance qualification","general elemantary","","","",""
"Very often","2013","college entrance qualification","middle vocational","3","","",""
"Very often","2013","college entrance qualification","vocational + Abi","10","","",""
"Very often","2013","college entrance qualification","higher vocational","3","","",""
"Very often","2013","college entrance qualification","higher education","18","","",""
"Very often","2013","Other degree","in school","","","",""
"Very often","2013","Other degree","inadequately","4","","",""
"Very often","2013","Other degree","general elemantary","9","","",""
"Very often","2013","Other degree","middle vocational","11","","",""
"Very often","2013","Other degree","vocational + Abi","5","","",""
"Very often","2013","Other degree","higher vocational","1","","",""
"Very often","2013","Other degree","higher education","5","","",""
"Very often","2013","no degree/no degree yet","in school","1","","",""
"Very often","2013","no degree/no degree yet","inadequately","6","","",""
"Very often","2013","no degree/no degree yet","general elemantary","","","",""
"Very often","2013","no degree/no degree yet","middle vocational","5","","",""
"Very often","2013","no degree/no degree yet","vocational + Abi","","","",""
"Very often","2013","no degree/no degree yet","higher vocational","","","",""
"Very often","2013","no degree/no degree yet","higher education","","","",""
"Often","2013","lower secondary degree","in school","","","",""
"Often","2013","lower secondary degree","inadequately","","","",""
"Often","2013","lower secondary degree","general elemantary","115","0.0812619914200154","0.0675752498202939","0.0949487330197369"
"Often","2013","lower secondary degree","middle vocational","265","0.0516223612588404","0.0454887519660619","0.0577559705516189"
"Often","2013","lower secondary degree","vocational + Abi","1","","",""
"Often","2013","lower secondary degree","higher vocational","16","","",""
"Often","2013","lower secondary degree","higher education","8","","",""
"Often","2013","secondary school degree","in school","","","",""
"Often","2013","secondary school degree","inadequately","","","",""
"Often","2013","secondary school degree","general elemantary","46","0.0793339324102266","0.0595795159524916","0.0990883488679616"
"Often","2013","secondary school degree","middle vocational","309","0.0568905019404019","0.0508856414352581","0.0628953624455457"
"Often","2013","secondary school degree","vocational + Abi","","","",""
"Often","2013","secondary school degree","higher vocational","41","0.0701646631944005","0.0518966898881441","0.0884326365006569"
"Often","2013","secondary school degree","higher education","22","","",""
"Often","2013","college entrance qualification","in school","","","",""
"Often","2013","college entrance qualification","inadequately","","","",""
"Often","2013","college entrance qualification","general elemantary","","","",""
"Often","2013","college entrance qualification","middle vocational","30","0.0347544291453091","0.0226186391383421","0.0468902191522761"
"Often","2013","college entrance qualification","vocational + Abi","85","0.0546342581586543","0.0432391390439668","0.0660293772733418"
"Often","2013","college entrance qualification","higher vocational","16","","",""
"Often","2013","college entrance qualification","higher education","138","0.0395854476926153","0.0339105688776023","0.0452603265076283"
"Often","2013","Other degree","in school","","","",""
"Often","2013","Other degree","inadequately","6","","",""
"Often","2013","Other degree","general elemantary","22","","",""
"Often","2013","Other degree","middle vocational","45","0.0838593962672216","0.0607786344012366","0.106940158133207"
"Often","2013","Other degree","vocational + Abi","16","","",""
"Often","2013","Other degree","higher vocational","2","","",""
"Often","2013","Other degree","higher education","32","0.0526691609108602","0.0304431631789484","0.0748951586427719"
"Often","2013","no degree/no degree yet","in school","21","","",""
"Often","2013","no degree/no degree yet","inadequately","43","0.127190673499739","0.0874483246116678","0.166933022387811"
"Often","2013","no degree/no degree yet","general elemantary","","","",""
"Often","2013","no degree/no degree yet","middle vocational","6","","",""
"Often","2013","no degree/no degree yet","vocational + Abi","","","",""
"Often","2013","no degree/no degree yet","higher vocational","","","",""
"Often","2013","no degree/no degree yet","higher education","","","",""
"Sometimes","2013","lower secondary degree","in school","","","",""
"Sometimes","2013","lower secondary degree","inadequately","","","",""
"Sometimes","2013","lower secondary degree","general elemantary","339","0.223227106139392","0.202368706154387","0.244085506124397"
"Sometimes","2013","lower secondary degree","middle vocational","1003","0.210652332776401","0.199348549456712","0.22195611609609"
"Sometimes","2013","lower secondary degree","vocational + Abi","4","","",""
"Sometimes","2013","lower secondary degree","higher vocational","82","0.188054941598665","0.149904351093956","0.226205532103373"
"Sometimes","2013","lower secondary degree","higher education","30","0.189320805216479","0.128426985928574","0.250214624504384"
"Sometimes","2013","secondary school degree","in school","","","",""
"Sometimes","2013","secondary school degree","inadequately","","","",""
"Sometimes","2013","secondary school degree","general elemantary","156","0.201857119219802","0.172518072181076","0.231196166258527"
"Sometimes","2013","secondary school degree","middle vocational","1165","0.213629987480785","0.203004556359648","0.224255418601921"
"Sometimes","2013","secondary school degree","vocational + Abi","8","","",""
"Sometimes","2013","secondary school degree","higher vocational","150","0.219064759258328","0.189483143438553","0.248646375078103"
"Sometimes","2013","secondary school degree","higher education","107","0.176602150337937","0.147662849670843","0.205541451005031"
"Sometimes","2013","college entrance qualification","in school","","","",""
"Sometimes","2013","college entrance qualification","inadequately","","","",""
"Sometimes","2013","college entrance qualification","general elemantary","","","",""
