"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direct migration background","East Germany","","","","","","","","","","","","","",""
"1984","direct migration background","West Germany","39.1","40","2106","24","40","40","49","70","38.7","39.5","2","80","40","40"
"1984","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1984","indirect migration background","West Germany","37.67","40","60","25","30","42","46","60","35.02","40.32","2","70","40","40"
"1984","no migration background","East Germany","","","","","","","","","","","","","",""
"1984","no migration background","West Germany","40.02","40","4390","20","40","45","55","75","39.64","40.4","1","80","40","40"
"1985","direct migration background","East Germany","","","","","","","","","","","","","",""
"1985","direct migration background","West Germany","39.5","40","1748","25","40","43","50","70","38.99","40.01","1","80","40","40"
"1985","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1985","indirect migration background","West Germany","40.69","40","62","24","40","45","60","65","38.42","42.96","20","72","40","40"
"1985","no migration background","East Germany","","","","","","","","","","","","","",""
"1985","no migration background","West Germany","39.6","40","4194","20","40","45","52","70","39.2","40","1","80","40","40"
"1986","direct migration background","East Germany","","","","","","","","","","","","","",""
"1986","direct migration background","West Germany","39.02","40","1723","22","39","42","48","70","38.53","39.51","1","80","40","40"
"1986","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1986","indirect migration background","West Germany","40.76","40","85","25","36","40","60","70","38.79","42.73","14","70","40","40"
"1986","no migration background","East Germany","","","","","","","","","","","","","",""
"1986","no migration background","West Germany","40.16","40","4009","20","39","45","55","70","39.77","40.55","1","80","40","40"
"1987","direct migration background","East Germany","","","","","","","","","","","","","",""
"1987","direct migration background","West Germany","39.45","40","1764","28","38","42","50","70","39.03","39.87","2","80","40","40"
"1987","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1987","indirect migration background","West Germany","38.11","40","85","21","35","41","50","70","36.51","39.71","10","70","40","40"
"1987","no migration background","East Germany","","","","","","","","","","","","","",""
"1987","no migration background","West Germany","39.5","40","4058","20","39","45","50","70","39.12","39.88","1","80","40","40"
"1988","direct migration background","East Germany","","","","","","","","","","","","","",""
"1988","direct migration background","West Germany","38.33","40","1651","20","38","42","50","70","37.83","38.83","1","80","40","40"
"1988","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1988","indirect migration background","West Germany","35.89","40","115","20","30","40","45","57","33.71","38.07","1","72","39","40"
"1988","no migration background","East Germany","","","","","","","","","","","","","",""
"1988","no migration background","West Germany","39.11","40","3846","20","38","45","50","70","38.7","39.52","1","80","40","40"
"1989","direct migration background","East Germany","","","","","","","","","","","","","",""
"1989","direct migration background","West Germany","39.11","40","1609","25","38","42","49","70","38.65","39.57","1","80","40","40"
"1989","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1989","indirect migration background","West Germany","38.35","40","127","20","35","42","55","60","36.66","40.04","8","70","39","40"
"1989","no migration background","East Germany","","","","","","","","","","","","","",""
"1989","no migration background","West Germany","39.94","40","3784","22","38","45","50","70","39.56","40.32","1","80","40","40"
"1990","direct migration background","East Germany","45.82","48","90","30","40","51","55","80","43.71","47.93","5","80","45","50"
"1990","direct migration background","West Germany","38.83","40","1576","25","37.5","42","49","70","38.38","39.28","1.5","80","39","40"
"1990","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1990","indirect migration background","West Germany","36.32","39","156","17","33","40","48","70","34.67","37.97","9","70","38.5","40"
"1990","no migration background","East Germany","45.68","48","3093","34","40","51","54","70","45.34","46.02","2","80","46","48"
"1990","no migration background","West Germany","39.03","40","3689","20","37.5","45","50","70","38.64","39.42","0.2","80","40","40"
"1991","direct migration background","East Germany","40.62","40","64","32","40","43","50","60","38.76","42.48","18","60","40","40"
"1991","direct migration background","West Germany","38.27","40","1572","25","37.5","42","48","65","37.79","38.75","2","80","38.5","39.5"
"1991","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1991","indirect migration background","West Germany","37.79","38.92","197","20","36","40","48","60","36.31","39.27","5","72","38","40"
"1991","no migration background","East Germany","41.18","40","2426","30","40","45","50","72","40.76","41.6","1","80","40","40"
"1991","no migration background","West Germany","39.03","40","3777","20","37.5","45","50","70","38.64","39.42","0.2","80","40","40"
"1992","direct migration background","East Germany","43.76","40","55","40","40","48","55","65","41.78","45.74","25","65","40","45"
"1992","direct migration background","West Germany","38.73","39","1465","25","37.5","42","50","70","38.25","39.21","2","80","38.5","39"
"1992","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1992","indirect migration background","West Germany","36.78","38.5","213","16","35","43","50","60","35.38","38.18","3","65","38","39"
"1992","no migration background","East Germany","43.2","40","2244","36","40","45.5","55","74","42.82","43.58","2","80","40","41"
"1992","no migration background","West Germany","38.8","40","3669","20","37.5","45","50","70","38.41","39.19","0.6","80","40","40"
"1993","direct migration background","East Germany","43.02","41.53","47","40","40","44","55","80","40.4","45.64","22","80","40","42.5"
"1993","direct migration background","West Germany","37.99","38.5","1386","24","37","40","50","70","37.49","38.49","0.1","80","38","38.5"
"1993","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1993","indirect migration background","West Germany","37.83","38.5","260","27","37.5","40","45","60","36.8","38.86","5","75","38.5","40"
"1993","no migration background","East Germany","43.49","42","2094","35","40","48","56","75","43.06","43.92","1","80","41","42"
"1993","no migration background","West Germany","38.48","40","3612","20","37.5","44","50","70","38.08","38.88","0.5","80","39","40"
"1994","direct migration background","East Germany","42.4","42.96","48","32.5","40","45","50","64","39.45","45.35","10","64","40","45"
"1994","direct migration background","West Germany","37.56","38.5","1224","20","36.5","40","48","66","37","38.12","0.8","80","38","38.5"
"1994","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1994","indirect migration background","West Germany","37.83","38.93","266","21","37.5","41","46","60","36.62","39.04","4.5","72","38.5","40"
"1994","no migration background","East Germany","43.42","42","2004","36","40","48","55","70","43","43.84","1.5","80","41","42"
"1994","no migration background","West Germany","38.46","40","3543","20","37","44","50","70","38.05","38.87","0.5","80","39.4000015258789","40"
"1995","direct migration background","East Germany","42.39","42","54","32","39","48","52","60","39.61","45.17","12","60","40","45"
"1995","direct migration background","West Germany","37.33","39","1428","20","36","42","50","65","36.77","37.89","2","80","38.5","39"
"1995","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1995","indirect migration background","West Germany","35.16","38.85","282","12","35","40","45","65","33.82","36.5","2","70","38.5","40"
"1995","no migration background","East Germany","43.03","42","2056","32","40","48","55","73","42.57","43.49","0.4","80","41","42"
"1995","no migration background","West Germany","38.32","40","3677","20","37","45","50","70","37.91","38.73","1","80","40","40"
"1996","direct migration background","East Germany","42.49","41","48","38","40","48","50","65","39.81","45.17","12.5","65","40","45"
"1996","direct migration background","West Germany","38.36","40","1282","20","36","42","50","72","37.8","38.92","2","80","38.5","39"
"1996","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1996","indirect migration background","West Germany","37.19","39","294","21","36","41","45","60","36.03","38.35","5","72","38.5","40"
"1996","no migration background","East Germany","43.08","42","1975","34","40","48","55","75","42.63","43.53","0.5","80","41","42"
"1996","no migration background","West Germany","38.14","40","3621","20","35","44","50","70","37.73","38.55","0.5","80","40","40"
"1997","direct migration background","East Germany","43.45","42","40","34","40","46.3","55","65","40.82","46.08","26","65","40","45"
"1997","direct migration background","West Germany","37.99","40","1225","20","35.5","42","50","72","37.39","38.59","2","80","39","40"
"1997","indirect migration background","East Germany","","","","","","","","","","","","","",""
"1997","indirect migration background","West Germany","38.37","40","329","22","37","42","49","66","37.15","39.59","2","80","38.5","40"
