"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","direct migration background","Rural Area","39.6","40","216","30","40","42","50","70","38.24","40.96","2","80","40","40"
"1985","direct migration background","Urban Area","39.49","40","1532","24","40","43","50","70","38.94","40.04","1","80","40","40"
"1985","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1985","indirect migration background","Urban Area","40.48","40","54","22","40","45","60","72","37.88","43.08","20","72","40","40"
"1985","no migration background","Rural Area","40.15","40","973","20","40","45","57","70","39.28","41.02","2","80","40","40"
"1985","no migration background","Urban Area","39.43","40","3221","20","40","45","50","70","38.98","39.88","1","80","40","40"
"1986","direct migration background","Rural Area","37.68","40","214","20","38","40","45","70","36.32","39.04","4","80","40","40"
"1986","direct migration background","Urban Area","39.24","40","1509","25","39","42","50","70","38.72","39.76","1","80","40","40"
"1986","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1986","indirect migration background","Urban Area","42.03","40","71","25","36","50","65","70","39.82","44.24","14","70","40","40"
"1986","no migration background","Rural Area","41.21","40","935","21","40","45","60","75","40.34","42.08","2","80","40","40"
"1986","no migration background","Urban Area","39.83","40","3074","20","39","45","50","70","39.39","40.27","1","80","40","40"
"1987","direct migration background","Rural Area","37.4","40","219","15","38","41","50","70","36.07","38.73","4","80","40","40"
"1987","direct migration background","Urban Area","39.78","40","1545","30","39","42","50","70","39.34","40.22","2","80","40","40"
"1987","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1987","indirect migration background","Urban Area","40.91","40","72","30","38","43","50","70","39.42","42.4","21","70","40","40"
"1987","no migration background","Rural Area","39.63","40","957","20","39","45","55","72","38.78","40.48","1","80","40","40"
"1987","no migration background","Urban Area","39.46","40","3101","20","39","45","50","70","39.03","39.89","1","80","40","40"
"1988","direct migration background","Rural Area","35","40","205","12","27","42","47","60","33.35","36.65","3","80","40","40"
"1988","direct migration background","Urban Area","38.82","40","1446","24","38","42","50","70","38.3","39.34","1","80","40","40"
"1988","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1988","indirect migration background","Urban Area","36.76","40","96","20","35","40","45","57","34.5","39.02","1","72","39","40"
"1988","no migration background","Rural Area","39.35","40","871","19","38","45","55","75","38.41","40.29","1","80","40","40"
"1988","no migration background","Urban Area","39.03","40","2975","20","38","45","50","70","38.58","39.48","1","80","40","40"
"1989","direct migration background","Rural Area","36.25","40","200","20","37","41","45","60","35","37.5","6","78","40","40"
"1989","direct migration background","Urban Area","39.58","40","1409","28","38","43","50","71","39.09","40.07","1","80","40","40"
"1989","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1989","indirect migration background","Urban Area","39.58","40","108","20","37","43","60","60","37.84","41.32","8","66","39","40"
"1989","no migration background","Rural Area","41.05","40","838","24","38","45","55","72","40.21","41.89","1","80","40","40"
"1989","no migration background","Urban Area","39.62","40","2946","21","38","45","50","70","39.2","40.04","1","80","40","40"
"1990","direct migration background","Rural Area","38.64","40","268","20","37.5","44","51","70","37.49","39.79","1.5","80","40","40"
"1990","direct migration background","Urban Area","39.47","40","1397","30","37.5","43.5","50","70","38.98","39.96","2","80","39","40"
"1990","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"1990","indirect migration background","Urban Area","36.37","38.5","132","17","33","40","51","70","34.49","38.25","9","70","38.5","40"
"1990","no migration background","Rural Area","42.09","42","2793","25","38.5","50","54","70","41.67","42.51","2","80","44","45"
