"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1984","college entrance qualification","general elemantary","","","","","","","","","","",""
"1984","college entrance qualification","higher education","41.08","42","456","20","40","50","60","39.76","42.4","40","42"
"1984","college entrance qualification","higher vocational","38.7","40","82","15","40","45","56","35.53","41.87","40","40"
"1984","college entrance qualification","in school","","","","","","","","","","",""
"1984","college entrance qualification","inadequately","","","","","","","","","","",""
"1984","college entrance qualification","middle vocational","30.55","40","81","9","19","40","44","27.28","33.82","25","40"
"1984","college entrance qualification","vocational + Abi","42.24","40","118","25","40","48","60","39.96","44.52","40","42"
"1984","lower secondary degree","general elemantary","36.54","40","801","17","30","40","50","35.65","37.43","40","40"
"1984","lower secondary degree","higher education","","","","","","","","","","",""
"1984","lower secondary degree","higher vocational","43.67","43","198","29","40","50","60","41.89","45.45","40","45"
"1984","lower secondary degree","in school","","","","","","","","","","",""
"1984","lower secondary degree","inadequately","","","","","","","","","","",""
"1984","lower secondary degree","middle vocational","40.69","40","1972","25","40","45","53","40.18","41.2","40","40"
"1984","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"1984","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"1984","no degree/no degree yet","higher education","","","","","","","","","","",""
"1984","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"1984","no degree/no degree yet","in school","","","","","","","","","","",""
"1984","no degree/no degree yet","inadequately","39.47","40","539","30","40","40","48","38.69","40.25","40","40"
"1984","no degree/no degree yet","middle vocational","40.52","40","68","40","40","40","50","38.6","42.44","40","40"
"1984","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"1984","Other degree","general elemantary","39.4","40","489","35","40","40","45","38.62","40.18","40","40"
"1984","Other degree","higher education","48.62","43.09","43","35","40","60","80","44.13","53.11","40","46"
"1984","Other degree","higher vocational","","","","","","","","","","",""
"1984","Other degree","in school","","","","","","","","","","",""
"1984","Other degree","inadequately","","","","","","","","","","",""
"1984","Other degree","middle vocational","41.4","40","399","40","40","44","50","40.49","42.31","40","40"
"1984","Other degree","vocational + Abi","41.28","40","75","40","40","40","50","39.48","43.08","40","40"
"1984","secondary school degree","general elemantary","37.79","40","211","20","40","40","45","36.34","39.24","40","40"
"1984","secondary school degree","higher education","45.92","47.9","48","30","40","55","60","42.26","49.58","42","50"
"1984","secondary school degree","higher vocational","40.16","40","133","20","40","50","60","37.57","42.75","40","42"
"1984","secondary school degree","in school","","","","","","","","","","",""
"1984","secondary school degree","inadequately","","","","","","","","","","",""
"1984","secondary school degree","middle vocational","40.14","40","758","20","40","45","50","39.24","41.04","40","40"
"1984","secondary school degree","vocational + Abi","","","","","","","","","","",""
"1985","college entrance qualification","general elemantary","","","","","","","","","","",""
"1985","college entrance qualification","higher education","42.9","43","465","25","40","50","60","41.78","44.02","42","44"
"1985","college entrance qualification","higher vocational","38.28","40","81","10","40","45","50","34.96","41.6","40","43"
"1985","college entrance qualification","in school","","","","","","","","","","",""
"1985","college entrance qualification","inadequately","","","","","","","","","","",""
"1985","college entrance qualification","middle vocational","29.23","39.11","95","8","15","40","43","26.13","32.33","24","40"
"1985","college entrance qualification","vocational + Abi","39.01","40","104","12","40","45","55","36.17","41.85","40","42"
"1985","lower secondary degree","general elemantary","36.11","40","747","15","26","41","50","35.17","37.05","40","40"
"1985","lower secondary degree","higher education","","","","","","","","","","",""
"1985","lower secondary degree","higher vocational","42.92","42","186","24","40","50","60","41.09","44.75","40","45"
"1985","lower secondary degree","in school","","","","","","","","","","",""
"1985","lower secondary degree","inadequately","","","","","","","","","","",""
"1985","lower secondary degree","middle vocational","39.99","40","1817","20","40","45","50","39.41","40.57","40","40"
"1985","lower secondary degree","vocational + Abi","","","","","","","","","","",""
"1985","no degree/no degree yet","general elemantary","","","","","","","","","","",""
"1985","no degree/no degree yet","higher education","","","","","","","","","","",""
"1985","no degree/no degree yet","higher vocational","","","","","","","","","","",""
"1985","no degree/no degree yet","in school","","","","","","","","","","",""
"1985","no degree/no degree yet","inadequately","40.33","40","416","32","40","42","49","39.44","41.22","40","40"
"1985","no degree/no degree yet","middle vocational","39.43","40","58","32","40","42","50","36.99","41.87","40","40"
"1985","no degree/no degree yet","vocational + Abi","","","","","","","","","","",""
"1985","Other degree","general elemantary","39.19","40","381","30","40","42","48","38.12","40.26","40","40"
"1985","Other degree","higher education","45.67","45","33","28","40","50","72","40.38","50.96","38","46"
"1985","Other degree","higher vocational","","","","","","","","","","",""
"1985","Other degree","in school","","","","","","","","","","",""
"1985","Other degree","inadequately","","","","","","","","","","",""
"1985","Other degree","middle vocational","40.83","40","321","38","40","44","50","39.66","42","40","40"
"1985","Other degree","vocational + Abi","41.34","40","61","38","40","41","50","38.53","44.15","40","40"
