"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","college entrance qualification","direct migration background","37.1","40","54","14","30","41","50","75","33.25","40.95","8","75","40","40"
"1984","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1984","college entrance qualification","no migration background","40.14","40","678","20","40","48","60","72","39.04","41.24","1","80","40","41"
"1984","lower secondary degree","direct migration background","38.33","40","358","20","40","40","45","70","37.39","39.27","2","70","40","40"
"1984","lower secondary degree","indirect migration background","39.19","40","37","25","40","42","56","56","36.59","41.79","14","56","40","40"
"1984","lower secondary degree","no migration background","39.95","40","2596","20","40","45","53","75","39.47","40.43","1","80","40","40"
"1984","no degree/no degree yet","direct migration background","39.82","40","581","32","40","40","48","76","39.09","40.55","3","80","40","40"
"1984","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"1984","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"1984","Other degree","direct migration background","40.46","40","999","39","40","40","50","70","39.89","41.03","2","80","40","40"
"1984","Other degree","indirect migration background","","","","","","","","","","","","","",""
"1984","Other degree","no migration background","","","","","","","","","","","","","",""
"1984","secondary school degree","direct migration background","36.85","40","78","20","30","41","49","65","34.42","39.28","5","65","40","40"
"1984","secondary school degree","indirect migration background","","","","","","","","","","","","","",""
"1984","secondary school degree","no migration background","40.12","40","1061","20","40","45","52","75","39.35","40.89","1","80","40","40"
"1985","college entrance qualification","direct migration background","39.52","40","59","14","34","45","60","70","35.69","43.35","4","70","40","42"
"1985","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"1985","college entrance qualification","no migration background","40.23","41","683","19","40","48","55","70","39.17","41.29","2","80","40","42"
"1985","lower secondary degree","direct migration background","39.02","40","330","24","40","42","46","70","37.94","40.1","2","80","40","40"
"1985","lower secondary degree","indirect migration background","40.63","40","38","25","40","45","60","72","37.76","43.5","22","72","40","40"
