"plh0213","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","lower secondary degree","","","",""
"1 Strongly disagree","2005","16-34 y.","secondary school degree","","","",""
"1 Strongly disagree","2005","16-34 y.","college entrance qualification","","","",""
"1 Strongly disagree","2005","16-34 y.","Other degree","","","",""
"1 Strongly disagree","2005","16-34 y.","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","35-65 y.","lower secondary degree","43","0.0116087190325363","0.00816468970358953","0.0150527483614831"
"1 Strongly disagree","2005","35-65 y.","secondary school degree","","","",""
"1 Strongly disagree","2005","35-65 y.","college entrance qualification","","","",""
"1 Strongly disagree","2005","35-65 y.","Other degree","","","",""
"1 Strongly disagree","2005","35-65 y.","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","66 and older","lower secondary degree","","","",""
"1 Strongly disagree","2005","66 and older","secondary school degree","","","",""
"1 Strongly disagree","2005","66 and older","college entrance qualification","","","",""
"1 Strongly disagree","2005","66 and older","Other degree","","","",""
"1 Strongly disagree","2005","66 and older","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","16-34 y.","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","secondary school degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","35-65 y.","lower secondary degree","77","0.0182904503277966","0.0139820708815608","0.0225988297740324"
"2 on scale 1-7 ","2005","35-65 y.","secondary school degree","52","0.0129406693633012","0.00937760767459753","0.016503731052005"
"2 on scale 1-7 ","2005","35-65 y.","college entrance qualification","48","0.0174713121307259","0.012823043618885","0.0221195806425668"
"2 on scale 1-7 ","2005","35-65 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","66 and older","lower secondary degree","80","0.0361390685939416","0.0286923473618098","0.0435857898260733"
"2 on scale 1-7 ","2005","66 and older","secondary school degree","","","",""
"2 on scale 1-7 ","2005","66 and older","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","66 and older","Other degree","","","",""
"2 on scale 1-7 ","2005","66 and older","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","16-34 y.","lower secondary degree","53","0.0564023138279456","0.0417091610119623","0.0710954666439289"
"3 on scale 1-7 ","2005","16-34 y.","secondary school degree","80","0.0572255124652843","0.0458867846996125","0.0685642402309561"
"3 on scale 1-7 ","2005","16-34 y.","college entrance qualification","79","0.053287908203387","0.0422094244703653","0.0643663919364087"
"3 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"3 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","40","0.0593101918712463","0.0417113970652576","0.076908986677235"
"3 on scale 1-7 ","2005","35-65 y.","lower secondary degree","202","0.058630945899389","0.0510773517362252","0.0661845400625528"
"3 on scale 1-7 ","2005","35-65 y.","secondary school degree","169","0.044295813837079","0.0378092241285653","0.0507824035455927"
"3 on scale 1-7 ","2005","35-65 y.","college entrance qualification","149","0.055340001869242","0.0472282777125932","0.0634517260258908"
"3 on scale 1-7 ","2005","35-65 y.","Other degree","77","0.105877600413253","0.0844086841595456","0.127346516666961"
"3 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","66 and older","lower secondary degree","181","0.0713237637839711","0.061054986779847","0.0815925407880953"
"3 on scale 1-7 ","2005","66 and older","secondary school degree","","","",""
"3 on scale 1-7 ","2005","66 and older","college entrance qualification","31","0.0483675490680887","0.0307084629852701","0.0660266351509073"
"3 on scale 1-7 ","2005","66 and older","Other degree","","","",""
"3 on scale 1-7 ","2005","66 and older","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","16-34 y.","lower secondary degree","128","0.15063789916107","0.127856170973333","0.173419627348808"
"4 on scale 1-7","2005","16-34 y.","secondary school degree","179","0.114887130927592","0.0993202862600557","0.130453975595127"
"4 on scale 1-7","2005","16-34 y.","college entrance qualification","173","0.110979401228389","0.0954864509691018","0.126472351487676"
"4 on scale 1-7","2005","16-34 y.","Other degree","","","",""
"4 on scale 1-7","2005","16-34 y.","no degree/no degree yet","85","0.111412512722782","0.0879695700761215","0.134855455369443"
"4 on scale 1-7","2005","35-65 y.","lower secondary degree","534","0.139775468873607","0.128626578916786","0.150924358830427"
"4 on scale 1-7","2005","35-65 y.","secondary school degree","425","0.117248000930805","0.107105491501275","0.127390510360334"
"4 on scale 1-7","2005","35-65 y.","college entrance qualification","387","0.131328266482878","0.119345343248224","0.143311189717532"
"4 on scale 1-7","2005","35-65 y.","Other degree","142","0.151925231766325","0.126879045021503","0.176971418511146"
"4 on scale 1-7","2005","35-65 y.","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","66 and older","lower secondary degree","372","0.148610824412841","0.13441833058782","0.162803318237862"
"4 on scale 1-7","2005","66 and older","secondary school degree","67","0.128847489978461","0.10064200801127","0.157052971945652"
"4 on scale 1-7","2005","66 and older","college entrance qualification","64","0.0918711582313631","0.0680961929269914","0.115646123535735"
"4 on scale 1-7","2005","66 and older","Other degree","","","",""
"4 on scale 1-7","2005","66 and older","no degree/no degree yet","","","",""
"5 on scale 1-7","2005","16-34 y.","lower secondary degree","215","0.20711047946248","0.181300926788553","0.232920032136407"
"5 on scale 1-7","2005","16-34 y.","secondary school degree","371","0.23401352263931","0.213345610782821","0.254681434495799"
"5 on scale 1-7","2005","16-34 y.","college entrance qualification","362","0.233191051156172","0.212333824899292","0.254048277413052"
"5 on scale 1-7","2005","16-34 y.","Other degree","35","0.223691210785145","0.15808817246148","0.289294249108809"
"5 on scale 1-7","2005","16-34 y.","no degree/no degree yet","140","0.194368431085438","0.164885127368683","0.223851734802194"
"5 on scale 1-7","2005","35-65 y.","lower secondary degree","896","0.232481652419352","0.21890011409922","0.246063190739483"
"5 on scale 1-7","2005","35-65 y.","secondary school degree","928","0.24760677325471","0.233999314054967","0.261214232454453"
"5 on scale 1-7","2005","35-65 y.","college entrance qualification","710","0.229341731288667","0.214426558430347","0.244256904146987"
"5 on scale 1-7","2005","35-65 y.","Other degree","163","0.221762973450658","0.192775520799514","0.250750426101801"
"5 on scale 1-7","2005","35-65 y.","no degree/no degree yet","","","",""
