"plh0213","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Male","","","",""
"1 Strongly disagree","2005","16-34 y.","Female","","","",""
"1 Strongly disagree","2005","35-65 y.","Male","40","0.00748323858004942","0.00523067130766444","0.00973580585243439"
"1 Strongly disagree","2005","35-65 y.","Female","34","0.00697181035345566","0.0048636391845035","0.00907998152240782"
"1 Strongly disagree","2005","66 and older","Male","","","",""
"1 Strongly disagree","2005","66 and older","Female","","","",""
"2 on scale 1-7 ","2005","16-34 y.","Male","61","0.0226195949657511","0.0168474477473798","0.0283917421841224"
"2 on scale 1-7 ","2005","16-34 y.","Female","35","0.0115016577307687","0.00753302098969861","0.0154702944718387"
"2 on scale 1-7 ","2005","35-65 y.","Male","140","0.0237615495978459","0.0197806668744047","0.0277424323212871"
"2 on scale 1-7 ","2005","35-65 y.","Female","73","0.0120403513444307","0.00927696579545389","0.0148037368934075"
"2 on scale 1-7 ","2005","66 and older","Male","70","0.0417511001838614","0.0323066087076528","0.0511955916600699"
"2 on scale 1-7 ","2005","66 and older","Female","49","0.0250356457393481","0.0182692579744921","0.0318020335042041"
"3 on scale 1-7 ","2005","16-34 y.","Male","185","0.0709525180178203","0.0609854818340534","0.0809195542015872"
"3 on scale 1-7 ","2005","16-34 y.","Female","108","0.0466738481027922","0.038822744399069","0.0545249518065155"
"3 on scale 1-7 ","2005","35-65 y.","Male","377","0.0732196153350262","0.0664108841617602","0.0800283465082922"
"3 on scale 1-7 ","2005","35-65 y.","Female","234","0.0422665323101555","0.0371688479673133","0.0473642166529977"
"3 on scale 1-7 ","2005","66 and older","Male","151","0.0897445231742108","0.0762489579076839","0.103240088440738"
"3 on scale 1-7 ","2005","66 and older","Female","111","0.0496081273566689","0.0402041648619656","0.0590120898513723"
"4 on scale 1-7","2005","16-34 y.","Male","339","0.125615588773167","0.112749808041194","0.13848136950514"
"4 on scale 1-7","2005","16-34 y.","Female","308","0.119078989740227","0.107024211901182","0.131133767579271"
