"plh0213","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","Urban Area","20","","",""
"1 Strongly disagree","2005","1-pers.-HH","Rural Area","5","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","Urban Area","35","0.00903774755328363","0.00635041833790309","0.0117250767686642"
"1 Strongly disagree","2005","(Married) couple without C. ","Rural Area","16","","",""
"1 Strongly disagree","2005","Single parent ","Urban Area","6","","",""
"1 Strongly disagree","2005","Single parent ","Rural Area","2","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","Urban Area","11","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","Rural Area","1","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","Urban Area","14","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","Rural Area","12","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Urban Area","9","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Rural Area","6","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","Urban Area","35","0.0150867582167791","0.00984943949275792","0.0203240769408002"
"2 on scale 1-7 ","2005","1-pers.-HH","Rural Area","23","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","120","0.0298048533856083","0.0249760974122361","0.0346336093589805"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","41","0.0163638909753399","0.0111297811413826","0.0215980008092973"
"2 on scale 1-7 ","2005","Single parent ","Urban Area","13","","",""
"2 on scale 1-7 ","2005","Single parent ","Rural Area","9","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","49","0.0191543080058666","0.013831176487985","0.0244774395237482"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","18","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","46","0.0210212728173482","0.0151444671961264","0.02689807843857"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","33","0.0210031329281484","0.013376534184587","0.0286297316717099"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","19","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","5","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","Urban Area","103","0.0559125985121026","0.0460413294385511","0.0657838675856542"
"3 on scale 1-7 ","2005","1-pers.-HH","Rural Area","44","0.0483450825718139","0.0341572278029143","0.0625329373407136"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","291","0.0702901608401047","0.0630310538613284","0.077549267818881"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","130","0.0558920642810177","0.0464151225478522","0.0653690060141833"
"3 on scale 1-7 ","2005","Single parent ","Urban Area","31","0.0405565163148313","0.0260875000254595","0.0550255326042031"
"3 on scale 1-7 ","2005","Single parent ","Rural Area","25","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","141","0.0583754778464151","0.0492703148892372","0.0674806408035929"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","65","0.0625278887647761","0.0486011944822137","0.0764545830473386"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","122","0.052510152516494","0.043372510977423","0.0616477940555649"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","67","0.063297479044335","0.0503468084395264","0.0762481496491436"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","53","0.0559814284283215","0.0424819262717878","0.0694809305848551"
