"plh0213","year","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","81","0.0121377243896585","0.00958636866144682","0.0146890801178702"
"1 Strongly disagree","2005","secondary school degree","","","",""
"1 Strongly disagree","2005","college entrance qualification","","","",""
"1 Strongly disagree","2005","Other degree","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","181","0.0258848010689746","0.0221849711967206","0.0295846309412285"
"2 on scale 1-7 ","2005","secondary school degree","81","0.01176987990373","0.00904529103265771","0.0144944687748022"
"2 on scale 1-7 ","2005","college entrance qualification","86","0.0169666252780627","0.0134557789633566","0.0204774715927687"
"2 on scale 1-7 ","2005","Other degree","39","0.0310809009850596","0.0209086340662315","0.0412531679038877"
"2 on scale 1-7 ","2005","no degree/no degree yet","33","0.0333191871472814","0.0216006218651157","0.0450377524294472"
"3 on scale 1-7 ","2005","lower secondary degree","436","0.0629392910511063","0.0572808217196813","0.0685977603825312"
"3 on scale 1-7 ","2005","secondary school degree","273","0.0482827975143562","0.0428673282957341","0.0536982667329784"
"3 on scale 1-7 ","2005","college entrance qualification","259","0.0537126531187026","0.0475837921119658","0.0598415141254394"
"3 on scale 1-7 ","2005","Other degree","108","0.102660034349805","0.0848687870176284","0.120451281681981"
"3 on scale 1-7 ","2005","no degree/no degree yet","59","0.0648355877672704","0.0487574255024987","0.0809137500320422"
"4 on scale 1-7","2005","lower secondary degree","1034","0.144464774642894","0.136273450556611","0.152656098729178"
"4 on scale 1-7","2005","secondary school degree","671","0.117970297591023","0.109821118504414","0.126119476677632"
"4 on scale 1-7","2005","college entrance qualification","624","0.119177379771028","0.110369505646248","0.127985253895808"
"4 on scale 1-7","2005","Other degree","190","0.136157881746777","0.116054655055399","0.156261108438155"
"4 on scale 1-7","2005","no degree/no degree yet","126","0.131316827496711","0.109263374877342","0.153370280116079"
"5 on scale 1-7","2005","lower secondary degree","1676","0.229996433100201","0.220191128312829","0.239801737887573"
"5 on scale 1-7","2005","secondary school degree","1418","0.239230840213304","0.228453267749857","0.250008412676751"
"5 on scale 1-7","2005","college entrance qualification","1205","0.23081387322118","0.219359360229241","0.242268386213119"
"5 on scale 1-7","2005","Other degree","241","0.227256728134946","0.202692496708619","0.251820959561273"
"5 on scale 1-7","2005","no degree/no degree yet","183","0.20789568180695","0.181398503983047","0.234392859630853"
"6 on scale 1-7","2005","lower secondary degree","1727","0.239867202106271","0.229918089428657","0.249816314783885"
"6 on scale 1-7","2005","secondary school degree","1794","0.289991751896765","0.27852843128524","0.301455072508289"
"6 on scale 1-7","2005","college entrance qualification","1567","0.29445610669584","0.282065223734772","0.306846989656907"
"6 on scale 1-7","2005","Other degree","263","0.247783117059109","0.22247647143765","0.273089762680568"
"6 on scale 1-7","2005","no degree/no degree yet","249","0.283964463654926","0.254521265558281","0.313407661751571"
"7 Strongly agree","2005","lower secondary degree","1941","0.284709773640895","0.274195082689432","0.295224464592358"
"7 Strongly agree","2005","secondary school degree","1762","0.288277221943342","0.276834047563632","0.299720396323053"
"7 Strongly agree","2005","college entrance qualification","1438","0.281503385452435","0.269277392880221","0.293729378024648"
"7 Strongly agree","2005","Other degree","263","0.242488882604378","0.217366107484078","0.267611657724678"
"7 Strongly agree","2005","no degree/no degree yet","246","0.27299742388488","0.243908145702225","0.302086702067534"
"1 Strongly disagree","2006","lower secondary degree","","","",""
"1 Strongly disagree","2006","secondary school degree","","","",""
"1 Strongly disagree","2006","college entrance qualification","","","",""
"1 Strongly disagree","2006","Other degree","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","","","",""
"2 on scale 1-7 ","2006","secondary school degree","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","","","",""
"2 on scale 1-7 ","2006","Other degree","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","","","",""
"3 on scale 1-7 ","2006","secondary school degree","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","","","",""
"3 on scale 1-7 ","2006","Other degree","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","","","",""
"4 on scale 1-7","2006","lower secondary degree","","","",""
"4 on scale 1-7","2006","secondary school degree","","","",""
"4 on scale 1-7","2006","college entrance qualification","","","",""
"4 on scale 1-7","2006","Other degree","","","",""
"4 on scale 1-7","2006","no degree/no degree yet","","","",""
"5 on scale 1-7","2006","lower secondary degree","","","",""
"5 on scale 1-7","2006","secondary school degree","","","",""
"5 on scale 1-7","2006","college entrance qualification","","","",""
"5 on scale 1-7","2006","Other degree","","","",""
"5 on scale 1-7","2006","no degree/no degree yet","","","",""
"6 on scale 1-7","2006","lower secondary degree","","","",""
"6 on scale 1-7","2006","secondary school degree","","","",""
"6 on scale 1-7","2006","college entrance qualification","","","",""
"6 on scale 1-7","2006","Other degree","","","",""
"6 on scale 1-7","2006","no degree/no degree yet","","","",""
"7 Strongly agree","2006","lower secondary degree","","","",""
"7 Strongly agree","2006","secondary school degree","","","",""
"7 Strongly agree","2006","college entrance qualification","","","",""
"7 Strongly agree","2006","Other degree","","","",""
"7 Strongly agree","2006","no degree/no degree yet","","","",""
"1 Strongly disagree","2007","lower secondary degree","","","",""
"1 Strongly disagree","2007","secondary school degree","","","",""
"1 Strongly disagree","2007","college entrance qualification","","","",""
"1 Strongly disagree","2007","Other degree","","","",""
"1 Strongly disagree","2007","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2007","lower secondary degree","","","",""
"2 on scale 1-7 ","2007","secondary school degree","","","",""
"2 on scale 1-7 ","2007","college entrance qualification","","","",""
"2 on scale 1-7 ","2007","Other degree","","","",""
"2 on scale 1-7 ","2007","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2007","lower secondary degree","","","",""
"3 on scale 1-7 ","2007","secondary school degree","","","",""
"3 on scale 1-7 ","2007","college entrance qualification","","","",""
"3 on scale 1-7 ","2007","Other degree","","","",""
"3 on scale 1-7 ","2007","no degree/no degree yet","","","",""
"4 on scale 1-7","2007","lower secondary degree","","","",""
"4 on scale 1-7","2007","secondary school degree","","","",""
"4 on scale 1-7","2007","college entrance qualification","","","",""
"4 on scale 1-7","2007","Other degree","","","",""
"4 on scale 1-7","2007","no degree/no degree yet","","","",""
"5 on scale 1-7","2007","lower secondary degree","","","",""
"5 on scale 1-7","2007","secondary school degree","","","",""
