"plh0213","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","102","0.00720419987830332","0.00595126905409201","0.00845713070251462"
"1 Strongly disagree","2005","direct migration background","33","0.0127509370540835","0.00823003459616774","0.0172718395119994"
"1 Strongly disagree","2005","indirect migration background","6","","",""
"2 on scale 1-7 ","2005","no migration background","336","0.020222177289715","0.018136812624352","0.0223075419550779"
"2 on scale 1-7 ","2005","direct migration background","78","0.0258962357732005","0.0194965057716932","0.0322959657747077"
"2 on scale 1-7 ","2005","indirect migration background","14","","",""
"3 on scale 1-7 ","2005","no migration background","928","0.0561938480642329","0.0527819971982737","0.059605698930192"
"3 on scale 1-7 ","2005","direct migration background","201","0.0893493789052516","0.0778556120381473","0.100843145772356"
"3 on scale 1-7 ","2005","indirect migration background","37","0.0410391117514615","0.0275592371742272","0.0545189863286958"
"4 on scale 1-7","2005","no migration background","2265","0.132033389298797","0.127018080865373","0.137048697732221"
"4 on scale 1-7","2005","direct migration background","361","0.13086941325231","0.117279949626494","0.144458876878126"
"4 on scale 1-7","2005","indirect migration background","85","0.107082527180126","0.0860713011548899","0.128093753205362"
"5 on scale 1-7","2005","no migration background","4112","0.234209865306642","0.227935616640021","0.240484113973262"
"5 on scale 1-7","2005","direct migration background","503","0.220853070372197","0.204138234236234","0.237567906508159"
"5 on scale 1-7","2005","indirect migration background","191","0.212072440779089","0.184296313679939","0.239848567878238"
"6 on scale 1-7","2005","no migration background","4894","0.271232797595705","0.264646069093569","0.277819526097841"
"6 on scale 1-7","2005","direct migration background","582","0.245151488250545","0.227817923406516","0.262485053094575"
"6 on scale 1-7","2005","indirect migration background","222","0.270595176490941","0.240407424821129","0.300782928160753"
"7 Strongly agree","2005","no migration background","4865","0.278903722566605","0.272259746895208","0.285547698238002"
"7 Strongly agree","2005","direct migration background","608","0.275129476392413","0.257134988082273","0.293123964702552"
"7 Strongly agree","2005","indirect migration background","277","0.345264725454613","0.312957816871699","0.377571634037527"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
