"plh0213","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Urban Area","Male","55","0.00864901619972251","0.00641675794561723","0.0108812744538278","1"
"1 Strongly disagree","2005","Urban Area","Female","44","0.00783108584929355","0.00580194197358614","0.00986022972500096","1"
"1 Strongly disagree","2005","Rural Area","Male","23","","","","1"
"1 Strongly disagree","2005","Rural Area","Female","19","","","","1"
"2 on scale 1-7 ","2005","Urban Area","Female","114","0.0155313589003594","0.0126848358016577","0.0183778819990612","2"
"2 on scale 1-7 ","2005","Rural Area","Male","90","0.0255204777955977","0.020127716921763","0.0309132386694323","2"
"2 on scale 1-7 ","2005","Rural Area","Female","43","0.0141699307288071","0.0102852788233415","0.0180545826342726","2"
"2 on scale 1-7 ","2005","Urban Area","Male","181","0.0274313034910843","0.0234937113700916","0.0313688956120769","2"
"3 on scale 1-7 ","2005","Urban Area","Female","290","0.0428945116594534","0.0382301758668517","0.047558847452055","3"
"3 on scale 1-7 ","2005","Rural Area","Male","234","0.0693269344451363","0.0606407314403558","0.0780131374499167","3"
"3 on scale 1-7 ","2005","Rural Area","Female","163","0.0501106573520348","0.0429398381568525","0.057281476547217","3"
"3 on scale 1-7 ","2005","Urban Area","Male","479","0.0785959198673226","0.0721084937123916","0.0850833460222536","3"
"4 on scale 1-7","2005","Rural Area","Female","420","0.125921202780551","0.115017049712317","0.136825355848785","4"
"4 on scale 1-7","2005","Urban Area","Female","813","0.114125768930087","0.106806175917812","0.121445361942363","4"
"4 on scale 1-7","2005","Rural Area","Male","532","0.166806062891549","0.154057554606482","0.179554571176616","4"
"4 on scale 1-7","2005","Urban Area","Male","946","0.13499887418778","0.126760893471654","0.143236854903907","4"
"5 on scale 1-7","2005","Rural Area","Male","841","0.240101563740606","0.225494743866085","0.254708383615126","5"
"5 on scale 1-7","2005","Urban Area","Female","1576","0.227146772893833","0.217501581742465","0.236791964045202","5"
"5 on scale 1-7","2005","Urban Area","Male","1590","0.232822524050316","0.222634081999025","0.243010966101607","5"
"5 on scale 1-7","2005","Rural Area","Female","799","0.230968024902283","0.217115933649783","0.244820116154784","5"
"6 on scale 1-7","2005","Rural Area","Male","824","0.247780934427524","0.233017530043759","0.262544338811288","6"
"6 on scale 1-7","2005","Rural Area","Female","1037","0.272650784980358","0.258014121821634","0.287287448139081","6"
"6 on scale 1-7","2005","Urban Area","Female","2104","0.274922532008618","0.2646445840718","0.285200479945436","6"
"6 on scale 1-7","2005","Urban Area","Male","1733","0.266868284093342","0.256205101480124","0.277531466706561","6"
"7 Strongly agree","2005","Rural Area","Female","1075","0.299548302179754","0.28449299079904","0.314603613560468","7"
"7 Strongly agree","2005","Urban Area","Female","2308","0.317547969758355","0.306831548520112","0.328264390996598","7"
"7 Strongly agree","2005","Rural Area","Male","741","0.24223621132556","0.227585225080525","0.256887197570594","7"
"7 Strongly agree","2005","Urban Area","Male","1626","0.250634078110432","0.240186529723194","0.261081626497671","7"
"1 Strongly disagree","2006","Urban Area","Male","","","","","1"
"1 Strongly disagree","2006","Urban Area","Female","","","","","1"
"1 Strongly disagree","2006","Rural Area","Male","","","","","1"
"1 Strongly disagree","2006","Rural Area","Female","","","","","1"
"2 on scale 1-7 ","2006","Rural Area","Male","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","Female","","","","","2"
"2 on scale 1-7 ","2006","Rural Area","Female","","","","","2"
"2 on scale 1-7 ","2006","Urban Area","Male","","","","","2"
