"plh0213","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Urban Area","1","","",""
"1 Strongly disagree","2005","in school","Rural Area","","","",""
"1 Strongly disagree","2005","inadequately","Urban Area","3","","",""
"1 Strongly disagree","2005","inadequately","Rural Area","1","","",""
"1 Strongly disagree","2005","general elemantary","Urban Area","22","","",""
"1 Strongly disagree","2005","general elemantary","Rural Area","9","","",""
"1 Strongly disagree","2005","middle vocational","Urban Area","56","0.0110655596074642","0.00853025784267224","0.0136008613722562"
"1 Strongly disagree","2005","middle vocational","Rural Area","20","","",""
"1 Strongly disagree","2005","vocational + Abi","Urban Area","3","","",""
"1 Strongly disagree","2005","vocational + Abi","Rural Area","2","","",""
"1 Strongly disagree","2005","higher vocational","Urban Area","4","","",""
"1 Strongly disagree","2005","higher vocational","Rural Area","2","","",""
"1 Strongly disagree","2005","higher education","Urban Area","10","","",""
"1 Strongly disagree","2005","higher education","Rural Area","6","","",""
"2 on scale 1-7 ","2005","in school","Urban Area","11","","",""
"2 on scale 1-7 ","2005","in school","Rural Area","3","","",""
"2 on scale 1-7 ","2005","inadequately","Urban Area","14","","",""
"2 on scale 1-7 ","2005","inadequately","Rural Area","5","","",""
"2 on scale 1-7 ","2005","general elemantary","Urban Area","50","0.026741524739333","0.0189336408346011","0.0345494086440648"
"2 on scale 1-7 ","2005","general elemantary","Rural Area","23","","",""
"2 on scale 1-7 ","2005","middle vocational","Urban Area","130","0.0204256524227322","0.0169974545006536","0.0238538503448108"
"2 on scale 1-7 ","2005","middle vocational","Rural Area","71","0.0177478529927763","0.0134975371606773","0.0219981688248752"
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","8","","",""
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","6","","",""
"2 on scale 1-7 ","2005","higher vocational","Urban Area","19","","",""
"2 on scale 1-7 ","2005","higher vocational","Rural Area","10","","",""
"2 on scale 1-7 ","2005","higher education","Urban Area","59","0.021899820919325","0.0166362337775749","0.0271634080610751"
"2 on scale 1-7 ","2005","higher education","Rural Area","12","","",""
"3 on scale 1-7 ","2005","in school","Urban Area","18","","",""
"3 on scale 1-7 ","2005","in school","Rural Area","16","","",""
"3 on scale 1-7 ","2005","inadequately","Urban Area","26","","",""
"3 on scale 1-7 ","2005","inadequately","Rural Area","2","","",""
"3 on scale 1-7 ","2005","general elemantary","Urban Area","133","0.0834634068991352","0.0700774591441654","0.096849354654105"
"3 on scale 1-7 ","2005","general elemantary","Rural Area","65","0.0766942724379295","0.0577878223123808","0.0956007225634782"
"3 on scale 1-7 ","2005","middle vocational","Urban Area","341","0.0564186817866672","0.0508267694928842","0.0620105940804503"
"3 on scale 1-7 ","2005","middle vocational","Rural Area","200","0.0536394812089462","0.0463866530270299","0.0608923093908626"
"3 on scale 1-7 ","2005","vocational + Abi","Urban Area","45","0.0586059993498215","0.043007035032267","0.0742049636673759"
"3 on scale 1-7 ","2005","vocational + Abi","Rural Area","24","","",""
"3 on scale 1-7 ","2005","higher vocational","Urban Area","41","0.0473803716295843","0.0342127576811992","0.0605479855779695"
"3 on scale 1-7 ","2005","higher vocational","Rural Area","25","","",""
"3 on scale 1-7 ","2005","higher education","Urban Area","148","0.0560286892946797","0.047757756432899","0.0642996221564604"
"3 on scale 1-7 ","2005","higher education","Rural Area","54","0.0528772642953034","0.0402154748296653","0.0655390537609415"
"4 on scale 1-7","2005","in school","Urban Area","56","0.11189290257137","0.0827672426372486","0.141018562505492"
"4 on scale 1-7","2005","in school","Rural Area","21","","",""
"4 on scale 1-7","2005","inadequately","Urban Area","27","","",""
"4 on scale 1-7","2005","inadequately","Rural Area","14","","",""
"4 on scale 1-7","2005","general elemantary","Urban Area","228","0.125913134688976","0.109857074697331","0.14196919468062"
"4 on scale 1-7","2005","general elemantary","Rural Area","126","0.182233350433926","0.154805966234019","0.209660734633833"
