"plh0213","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","no migration background","22","","",""
"1 Strongly disagree","2005","Full Time","direct migration background","9","","",""
"1 Strongly disagree","2005","Full Time","indirect migration background","1","","",""
"1 Strongly disagree","2005","Part Time","no migration background","10","","",""
"1 Strongly disagree","2005","Part Time","direct migration background","9","","",""
"1 Strongly disagree","2005","Part Time","indirect migration background","","","",""
"1 Strongly disagree","2005","Not Working","no migration background","70","0.0122000065174177","0.00954572551769463","0.0148542875171407"
"1 Strongly disagree","2005","Not Working","direct migration background","15","","",""
"1 Strongly disagree","2005","Not Working","indirect migration background","5","","",""
"2 on scale 1-7 ","2005","Full Time","no migration background","124","0.0181023686177464","0.014954792329891","0.0212499449056019"
"2 on scale 1-7 ","2005","Full Time","direct migration background","18","","",""
"2 on scale 1-7 ","2005","Full Time","indirect migration background","4","","",""
"2 on scale 1-7 ","2005","Part Time","no migration background","56","0.0158890755398794","0.0120326717077209","0.0197454793720378"
"2 on scale 1-7 ","2005","Part Time","direct migration background","11","","",""
"2 on scale 1-7 ","2005","Part Time","indirect migration background","3","","",""
"2 on scale 1-7 ","2005","Not Working","no migration background","156","0.0245406926842795","0.0207997561158115","0.0282816292527476"
"2 on scale 1-7 ","2005","Not Working","direct migration background","49","0.0372215449081648","0.0254885611351735","0.048954528681156"
"2 on scale 1-7 ","2005","Not Working","indirect migration background","7","","",""
"3 on scale 1-7 ","2005","Full Time","no migration background","346","0.0596491555658039","0.0540577297661762","0.0652405813654316"
"3 on scale 1-7 ","2005","Full Time","direct migration background","67","0.0921660114153016","0.0722087962555546","0.112123226575048"
"3 on scale 1-7 ","2005","Full Time","indirect migration background","11","","",""
"3 on scale 1-7 ","2005","Part Time","no migration background","171","0.0420272451524638","0.0358392038328176","0.04821528647211"
"3 on scale 1-7 ","2005","Part Time","direct migration background","32","0.0458889050588482","0.0285430582026794","0.063234751915017"
"3 on scale 1-7 ","2005","Part Time","indirect migration background","11","","",""
"3 on scale 1-7 ","2005","Not Working","no migration background","411","0.060615533832699","0.0548459297582812","0.0663851379071168"
"3 on scale 1-7 ","2005","Not Working","direct migration background","102","0.11345232006171","0.0937958363618914","0.133108803761528"
"3 on scale 1-7 ","2005","Not Working","indirect migration background","15","","",""
"4 on scale 1-7","2005","Full Time","no migration background","892","0.128749548377232","0.120842401210474","0.13665669554399"
"4 on scale 1-7","2005","Full Time","direct migration background","120","0.137439027970321","0.113683687290731","0.161194368649911"
"4 on scale 1-7","2005","Full Time","indirect migration background","36","0.121986400338861","0.0866228001868906","0.157350000490832"
"4 on scale 1-7","2005","Part Time","no migration background","437","0.121277948895722","0.1112103049316","0.131345592859844"
"4 on scale 1-7","2005","Part Time","direct migration background","68","0.0919522597232201","0.067998277037139","0.115906242409301"
"4 on scale 1-7","2005","Part Time","indirect migration background","16","","",""
"4 on scale 1-7","2005","Not Working","no migration background","936","0.140905895196009","0.132493545677454","0.149318244714563"
"4 on scale 1-7","2005","Not Working","direct migration background","173","0.149187470407103","0.127105836540686","0.171269104273521"
"4 on scale 1-7","2005","Not Working","indirect migration background","33","0.140343759709015","0.09994687410987","0.18074064530816"
"5 on scale 1-7","2005","Full Time","no migration background","1681","0.243480325404705","0.233347804534901","0.253612846274509"
"5 on scale 1-7","2005","Full Time","direct migration background","169","0.233448865518616","0.204262650819371","0.262635080217862"
"5 on scale 1-7","2005","Full Time","indirect migration background","86","0.258530379251923","0.211220415569509","0.305840342934336"
"5 on scale 1-7","2005","Part Time","no migration background","909","0.216682399269469","0.203976894462709","0.229387904076229"
"5 on scale 1-7","2005","Part Time","direct migration background","116","0.217222891479143","0.183039587220463","0.251406195737823"
"5 on scale 1-7","2005","Part Time","indirect migration background","43","0.181544817314665","0.130492505536973","0.232597129092358"
"5 on scale 1-7","2005","Not Working","no migration background","1522","0.235016312909402","0.224764340027538","0.245268285791266"
"5 on scale 1-7","2005","Not Working","direct migration background","218","0.212894740788688","0.187523192851541","0.238266288725835"
"5 on scale 1-7","2005","Not Working","indirect migration background","62","0.182667956979004","0.137729374460598","0.22760653949741"
"6 on scale 1-7","2005","Full Time","no migration background","1967","0.283767251363505","0.273123770572776","0.294410732154233"
"6 on scale 1-7","2005","Full Time","direct migration background","196","0.219274773020453","0.190728148347499","0.247821397693408"
"6 on scale 1-7","2005","Full Time","indirect migration background","83","0.242663593461879","0.196340572775521","0.288986614148237"
"6 on scale 1-7","2005","Part Time","no migration background","1211","0.29060401333863","0.27660148913928","0.30460653753798"
"6 on scale 1-7","2005","Part Time","direct migration background","177","0.338392029654027","0.29916796338578","0.377616095922274"
