"plh0213","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","1","","",""
"1 Strongly disagree","2005","inadequately","4","","",""
"1 Strongly disagree","2005","general elemantary","31","0.0105701049320725","0.00647953167796045","0.0146606781861846"
"1 Strongly disagree","2005","middle vocational","76","0.00977444570275024","0.00786958660259247","0.011679304802908"
"1 Strongly disagree","2005","vocational + Abi","5","","",""
"1 Strongly disagree","2005","higher vocational","6","","",""
"1 Strongly disagree","2005","higher education","16","","",""
"2 on scale 1-7 ","2005","in school","14","","",""
"2 on scale 1-7 ","2005","inadequately","19","","",""
"2 on scale 1-7 ","2005","general elemantary","73","0.030272903920495","0.0234195396248959","0.0371262682160942"
"2 on scale 1-7 ","2005","middle vocational","201","0.0195157993173686","0.0168374748135057","0.0221941238212314"
"2 on scale 1-7 ","2005","vocational + Abi","14","","",""
"2 on scale 1-7 ","2005","higher vocational","29","","",""
"2 on scale 1-7 ","2005","higher education","71","0.019516225462219","0.0153176865513416","0.0237147643730963"
"3 on scale 1-7 ","2005","in school","34","0.0404287127065696","0.0252636515223715","0.0555937738907676"
"3 on scale 1-7 ","2005","inadequately","28","","",""
"3 on scale 1-7 ","2005","general elemantary","198","0.0813276811462662","0.070394374697067","0.0922609875954654"
"3 on scale 1-7 ","2005","middle vocational","541","0.0554743749622724","0.0510423438116347","0.0599064061129101"
"3 on scale 1-7 ","2005","vocational + Abi","69","0.0651087757136706","0.0507618373859664","0.0794557140413748"
"3 on scale 1-7 ","2005","higher vocational","66","0.045360814945685","0.0350245451333427","0.0556970847580274"
"3 on scale 1-7 ","2005","higher education","202","0.0552060207348374","0.0482742874447735","0.0621377540249013"
"4 on scale 1-7","2005","in school","77","0.109796092987939","0.0857248354579306","0.133867350517948"
"4 on scale 1-7","2005","inadequately","41","0.152147526541258","0.106517343968281","0.197777709114235"
"4 on scale 1-7","2005","general elemantary","354","0.143682693834681","0.129652243768331","0.157713143901031"
"4 on scale 1-7","2005","middle vocational","1359","0.136448080017318","0.129801814849073","0.143094345185563"
"4 on scale 1-7","2005","vocational + Abi","138","0.120546145215531","0.101612156351558","0.139480134079503"
"4 on scale 1-7","2005","higher vocational","189","0.110046626009276","0.0945021610729805","0.125591090945572"
