"pld0044","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","(0) in school","24","","",""
"Very often","2003","16-34 y.","(1a) inadequately completed","","","",""
"Very often","2003","16-34 y.","(1b) general elementary school","5","","",""
"Very often","2003","16-34 y.","(1c) basic vocational qualification","8","","",""
"Very often","2003","16-34 y.","(2b) intermediate general qualification","19","","",""
"Very often","2003","16-34 y.","(2a) intermediate vocational","8","","",""
"Very often","2003","16-34 y.","(2c_gen) general maturity certificate","16","","",""
"Very often","2003","16-34 y.","(2c_voc) vocational maturity certificate","7","","",""
"Very often","2003","16-34 y.","(3a) lower tertiary education","2","","",""
"Very often","2003","16-34 y.","(3b) higher tertiary education","2","","",""
"Very often","2003","35-65 y.","(0) in school","","","",""
"Very often","2003","35-65 y.","(1a) inadequately completed","","","",""
"Very often","2003","35-65 y.","(1b) general elementary school","4","","",""
"Very often","2003","35-65 y.","(1c) basic vocational qualification","11","","",""
"Very often","2003","35-65 y.","(2b) intermediate general qualification","","","",""
"Very often","2003","35-65 y.","(2a) intermediate vocational","2","","",""
"Very often","2003","35-65 y.","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","35-65 y.","(2c_voc) vocational maturity certificate","2","","",""
"Very often","2003","35-65 y.","(3a) lower tertiary education","2","","",""
"Very often","2003","35-65 y.","(3b) higher tertiary education","6","","",""
"Very often","2003","66 and older","(0) in school","","","",""
"Very often","2003","66 and older","(1a) inadequately completed","","","",""
"Very often","2003","66 and older","(1b) general elementary school","","","",""
"Very often","2003","66 and older","(1c) basic vocational qualification","4","","",""
"Very often","2003","66 and older","(2b) intermediate general qualification","","","",""
"Very often","2003","66 and older","(2a) intermediate vocational","","","",""
"Very often","2003","66 and older","(2c_gen) general maturity certificate","","","",""
"Very often","2003","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","66 and older","(3a) lower tertiary education","","","",""
"Very often","2003","66 and older","(3b) higher tertiary education","","","",""
"Often","2003","16-34 y.","(0) in school","114","0.151047038626875","0.122768585040891","0.179325492212859"
"Often","2003","16-34 y.","(1a) inadequately completed","2","","",""
"Often","2003","16-34 y.","(1b) general elementary school","51","0.0982937021810291","0.0720406371433672","0.124546767218691"
"Often","2003","16-34 y.","(1c) basic vocational qualification","31","0.0417362692290819","0.0275088364899976","0.0559637019681662"
"Often","2003","16-34 y.","(2b) intermediate general qualification","53","0.114751024116685","0.0868700955300725","0.142631952703298"
"Often","2003","16-34 y.","(2a) intermediate vocational","45","0.03789975311795","0.0278358753238543","0.0479636309120457"
"Often","2003","16-34 y.","(2c_gen) general maturity certificate","80","0.125163394054683","0.101142649430551","0.149184138678816"
"Often","2003","16-34 y.","(2c_voc) vocational maturity certificate","14","","",""
"Often","2003","16-34 y.","(3a) lower tertiary education","11","","",""
"Often","2003","16-34 y.","(3b) higher tertiary education","12","","",""
"Often","2003","35-65 y.","(0) in school","","","",""
"Often","2003","35-65 y.","(1a) inadequately completed","3","","",""
"Often","2003","35-65 y.","(1b) general elementary school","21","","",""
"Often","2003","35-65 y.","(1c) basic vocational qualification","43","0.0156559120724107","0.0117386769954536","0.0195731471493677"
"Often","2003","35-65 y.","(2b) intermediate general qualification","1","","",""
"Often","2003","35-65 y.","(2a) intermediate vocational","30","0.0106039322095246","0.00713954595791678","0.0140683184611324"
"Often","2003","35-65 y.","(2c_gen) general maturity certificate","11","","",""
"Often","2003","35-65 y.","(2c_voc) vocational maturity certificate","16","","",""
"Often","2003","35-65 y.","(3a) lower tertiary education","12","","",""
"Often","2003","35-65 y.","(3b) higher tertiary education","52","0.0309143908490176","0.0232731093727858","0.0385556723252493"
"Often","2003","66 and older","(0) in school","","","",""
"Often","2003","66 and older","(1a) inadequately completed","","","",""
"Often","2003","66 and older","(1b) general elementary school","5","","",""
"Often","2003","66 and older","(1c) basic vocational qualification","8","","",""
"Often","2003","66 and older","(2b) intermediate general qualification","1","","",""
"Often","2003","66 and older","(2a) intermediate vocational","1","","",""
"Often","2003","66 and older","(2c_gen) general maturity certificate","","","",""
"Often","2003","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Often","2003","66 and older","(3a) lower tertiary education","1","","",""
"Often","2003","66 and older","(3b) higher tertiary education","","","",""
"Sometimes","2003","16-34 y.","(0) in school","191","0.335037065020955","0.297763332710408","0.372310797331502"
"Sometimes","2003","16-34 y.","(1a) inadequately completed","15","","",""
"Sometimes","2003","16-34 y.","(1b) general elementary school","101","0.214554275442685","0.178354048500883","0.250754502384487"
