"pld0044","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","1-pers.-HH","no migration background","15","","",""
"Very often","2003","1-pers.-HH","direct migration background","1","","",""
"Very often","2003","1-pers.-HH","indirect migration background","2","","",""
"Very often","2003","(Married) couple without C. ","no migration background","16","","",""
"Very often","2003","(Married) couple without C. ","direct migration background","4","","",""
"Very often","2003","(Married) couple without C. ","indirect migration background","","","",""
"Very often","2003","Single parent ","no migration background","3","","",""
"Very often","2003","Single parent ","direct migration background","5","","",""
"Very often","2003","Single parent ","indirect migration background","1","","",""
"Very often","2003","Couple + C. LE 16 ","no migration background","3","","",""
"Very often","2003","Couple + C. LE 16 ","direct migration background","11","","",""
"Very often","2003","Couple + C. LE 16 ","indirect migration background","3","","",""
"Very often","2003","Couple + C. GT 16 ","no migration background","27","","",""
"Very often","2003","Couple + C. GT 16 ","direct migration background","6","","",""
"Very often","2003","Couple + C. GT 16 ","indirect migration background","5","","",""
"Very often","2003","Couple + C. LE and GT 16","no migration background","20","","",""
"Very often","2003","Couple + C. LE and GT 16","direct migration background","2","","",""
"Very often","2003","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Often","2003","1-pers.-HH","no migration background","76","0.0286610338488541","0.0223143456911551","0.0350077220065531"
"Often","2003","1-pers.-HH","direct migration background","5","","",""
"Often","2003","1-pers.-HH","indirect migration background","7","","",""
"Often","2003","(Married) couple without C. ","no migration background","64","0.0100461893348328","0.00760409312764136","0.0124882855420242"
"Often","2003","(Married) couple without C. ","direct migration background","22","","",""
"Often","2003","(Married) couple without C. ","indirect migration background","5","","",""
"Often","2003","Single parent ","no migration background","33","0.0341331404352086","0.0223295833240509","0.0459366975463663"
"Often","2003","Single parent ","direct migration background","6","","",""
"Often","2003","Single parent ","indirect migration background","9","","",""
"Often","2003","Couple + C. LE 16 ","no migration background","52","0.0157476568722456","0.011638354135554","0.0198569596089372"
"Often","2003","Couple + C. LE 16 ","direct migration background","34","0.0662570787261764","0.0473240048280703","0.0851901526242826"
"Often","2003","Couple + C. LE 16 ","indirect migration background","7","","",""
"Often","2003","Couple + C. GT 16 ","no migration background","149","0.0427184673162062","0.0358470019452665","0.0495899326871459"
"Often","2003","Couple + C. GT 16 ","direct migration background","18","","",""
"Often","2003","Couple + C. GT 16 ","indirect migration background","16","","",""
"Often","2003","Couple + C. LE and GT 16","no migration background","85","0.0574019748071293","0.0452649772707013","0.0695389723435573"
"Often","2003","Couple + C. LE and GT 16","direct migration background","11","","",""
"Often","2003","Couple + C. LE and GT 16","indirect migration background","22","","",""
"Sometimes","2003","1-pers.-HH","no migration background","381","0.135997192612438","0.122958370005676","0.149036015219201"
"Sometimes","2003","1-pers.-HH","direct migration background","44","0.205950158710678","0.154025329393622","0.257874988027735"
"Sometimes","2003","1-pers.-HH","indirect migration background","22","","",""
"Sometimes","2003","(Married) couple without C. ","no migration background","551","0.0810763446402123","0.0743922680192729","0.0877604212611517"
"Sometimes","2003","(Married) couple without C. ","direct migration background","108","0.156372330440533","0.130024672111986","0.18271998876908"
"Sometimes","2003","(Married) couple without C. ","indirect migration background","32","0.249813008108761","0.17267868104855","0.326947335168972"
"Sometimes","2003","Single parent ","no migration background","164","0.206877199111795","0.180544663457398","0.233209734766192"
"Sometimes","2003","Single parent ","direct migration background","25","","",""
"Sometimes","2003","Single parent ","indirect migration background","14","","",""
