"pld0044","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","Male","18","","",""
"Very often","2003","lower secondary degree","Female","5","","",""
"Very often","2003","secondary school degree","Male","14","","",""
"Very often","2003","secondary school degree","Female","16","","",""
"Very often","2003","college entrance qualification","Male","15","","",""
"Very often","2003","college entrance qualification","Female","16","","",""
"Very often","2003","Other degree","Male","8","","",""
"Very often","2003","Other degree","Female","7","","",""
"Very often","2003","no degree/no degree yet","Male","13","","",""
"Very often","2003","no degree/no degree yet","Female","11","","",""
"Often","2003","lower secondary degree","Male","82","0.0205094996366765","0.0160230821624758","0.0249959171108771"
"Often","2003","lower secondary degree","Female","63","0.0155510296804132","0.0117361587805148","0.0193659005803117"
"Often","2003","secondary school degree","Male","73","0.0332054081582679","0.0265221781902154","0.0398886381263205"
"Often","2003","secondary school degree","Female","66","0.0167972027284221","0.0126360812639718","0.0209583241928724"
"Often","2003","college entrance qualification","Male","103","0.040467560880835","0.0332932160719099","0.04764190568976"
"Often","2003","college entrance qualification","Female","76","0.0345891976036009","0.0274573530181787","0.0417210421890231"
"Often","2003","Other degree","Male","19","","",""
"Often","2003","Other degree","Female","16","","",""
"Often","2003","no degree/no degree yet","Male","59","0.103779623186782","0.0746129498547261","0.132946296518837"
"Often","2003","no degree/no degree yet","Female","60","0.0886494372895128","0.062952587450782","0.114346287128243"
"Sometimes","2003","lower secondary degree","Male","406","0.104867179004922","0.0951691032977877","0.114565254712056"
"Sometimes","2003","lower secondary degree","Female","331","0.0880898626990935","0.0793512467288773","0.0968284786693096"
"Sometimes","2003","secondary school degree","Male","400","0.145674762509722","0.13251589043034","0.158833634589103"
"Sometimes","2003","secondary school degree","Female","383","0.108976969966099","0.0988871785702487","0.119066761361949"
"Sometimes","2003","college entrance qualification","Male","485","0.184372615947869","0.170253971270741","0.198491260624997"
"Sometimes","2003","college entrance qualification","Female","456","0.187422118298071","0.172191467206259","0.202652769389882"
"Sometimes","2003","Other degree","Male","108","0.187673604678812","0.156194582685713","0.219152626671912"
"Sometimes","2003","Other degree","Female","99","0.162644847310349","0.134053599670054","0.191236094950643"
"Sometimes","2003","no degree/no degree yet","Male","124","0.281004069521326","0.23801649252794","0.323991646514713"
"Sometimes","2003","no degree/no degree yet","Female","112","0.245063815293758","0.206177760990389","0.283949869597127"
"Rarely","2003","lower secondary degree","Male","1073","0.277441687553664","0.263269256716705","0.291614118390622"
"Rarely","2003","lower secondary degree","Female","976","0.228240884551735","0.215300676153958","0.241181092949511"
"Rarely","2003","secondary school degree","Male","1012","0.368964354191983","0.35096594839804","0.386962759985926"
"Rarely","2003","secondary school degree","Female","1278","0.344104561070362","0.328721850153529","0.359487271987195"
"Rarely","2003","college entrance qualification","Male","1112","0.383973631490442","0.366266457603087","0.401680805377796"
"Rarely","2003","college entrance qualification","Female","993","0.392003317045558","0.372949981061375","0.411056653029741"
"Rarely","2003","Other degree","Male","147","0.244078028446783","0.209447654735941","0.278708402157626"
"Rarely","2003","Other degree","Female","150","0.22858548469841","0.19605231850326","0.26111865089356"
"Rarely","2003","no degree/no degree yet","Male","113","0.260587192381607","0.218607092879808","0.302567291883405"
"Rarely","2003","no degree/no degree yet","Female","124","0.224159271320471","0.186457322245917","0.261861220395025"
"Never","2003","lower secondary degree","Male","2255","0.591222498360625","0.575661372856239","0.606783623865012"
"Never","2003","lower secondary degree","Female","2666","0.666873619939253","0.652341467409316","0.681405772469189"
"Never","2003","secondary school degree","Male","1262","0.444241759020129","0.425707828381001","0.462775689659257"
"Never","2003","secondary school degree","Female","1921","0.525124160289034","0.508954853701092","0.541293466876975"
"Never","2003","college entrance qualification","Male","1183","0.385630563720351","0.367909106724213","0.403352020716489"
"Never","2003","college entrance qualification","Female","981","0.379837174152771","0.360895116765428","0.398779231540113"
"Never","2003","Other degree","Male","309","0.508414544249236","0.468109180387929","0.548719908110543"
"Never","2003","Other degree","Female","368","0.573435163275494","0.535118049339434","0.611752277211554"
"Never","2003","no degree/no degree yet","Male","111","0.333426716151151","0.288340104855109","0.378513327447192"
"Never","2003","no degree/no degree yet","Female","163","0.426290976355645","0.381581655562193","0.471000297149096"
"Very often","2004","lower secondary degree","Male","","","",""
"Very often","2004","lower secondary degree","Female","","","",""
"Very often","2004","secondary school degree","Male","","","",""
"Very often","2004","secondary school degree","Female","","","",""
"Very often","2004","college entrance qualification","Male","","","",""
"Very often","2004","college entrance qualification","Female","","","",""
"Very often","2004","Other degree","Male","","","",""
"Very often","2004","Other degree","Female","","","",""
"Very often","2004","no degree/no degree yet","Male","","","",""
"Very often","2004","no degree/no degree yet","Female","","","",""
"Often","2004","lower secondary degree","Male","","","",""
"Often","2004","lower secondary degree","Female","","","",""
"Often","2004","secondary school degree","Male","","","",""
"Often","2004","secondary school degree","Female","","","",""
"Often","2004","college entrance qualification","Male","","","",""
"Often","2004","college entrance qualification","Female","","","",""
"Often","2004","Other degree","Male","","","",""
"Often","2004","Other degree","Female","","","",""
"Often","2004","no degree/no degree yet","Male","","","",""
"Often","2004","no degree/no degree yet","Female","","","",""
