"pld0044","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","no migration background","64","0.014689205227705","0.0111966225130788","0.0181817879423312"
"Very often","2003","16-34 y.","direct migration background","17","","",""
"Very often","2003","16-34 y.","indirect migration background","13","","",""
"Very often","2003","35-65 y.","no migration background","17","","",""
"Very often","2003","35-65 y.","direct migration background","12","","",""
"Very often","2003","35-65 y.","indirect migration background","","","",""
"Very often","2003","66 and older","no migration background","3","","",""
"Very often","2003","66 and older","direct migration background","1","","",""
"Very often","2003","66 and older","indirect migration background","","","",""
"Often","2003","16-34 y.","no migration background","328","0.0695433456420123","0.0621585787008226","0.076928112583202"
"Often","2003","16-34 y.","direct migration background","41","0.0593599365875667","0.041467514288357","0.0772523588867763"
"Often","2003","16-34 y.","indirect migration background","66","0.124013577720797","0.0983171437824049","0.149710011659189"
"Often","2003","35-65 y.","no migration background","130","0.0132325851659529","0.0110868102982646","0.0153783600336412"
"Often","2003","35-65 y.","direct migration background","56","0.0440161725035912","0.0339270300944977","0.0541053149126847"
"Often","2003","35-65 y.","indirect migration background","5","","",""
"Often","2003","66 and older","no migration background","13","","",""
"Often","2003","66 and older","direct migration background","3","","",""
"Often","2003","66 and older","indirect migration background","","","",""
"Sometimes","2003","16-34 y.","no migration background","1088","0.239558956574884","0.22716814047048","0.251949772679288"
"Sometimes","2003","16-34 y.","direct migration background","176","0.284124011692582","0.249974574031341","0.318273449353822"
"Sometimes","2003","16-34 y.","indirect migration background","167","0.262809236034463","0.228492987345261","0.297125484723665"
"Sometimes","2003","35-65 y.","no migration background","1093","0.109117272062475","0.103262480677321","0.114972063447629"
"Sometimes","2003","35-65 y.","direct migration background","261","0.186962120747074","0.167786252164525","0.206137989329624"
"Sometimes","2003","35-65 y.","indirect migration background","28","","",""
"Sometimes","2003","66 and older","no migration background","136","0.0379824444137271","0.031432699327973","0.0445321894994812"
"Sometimes","2003","66 and older","direct migration background","31","0.0798859483260413","0.0514419000771172","0.108329996574966"
"Sometimes","2003","66 and older","indirect migration background","1","","",""
"Rarely","2003","16-34 y.","no migration background","1741","0.382966051314468","0.368853822851319","0.397078279777618"
"Rarely","2003","16-34 y.","direct migration background","209","0.316789733932105","0.281562914682452","0.352016553181757"
"Rarely","2003","16-34 y.","indirect migration background","220","0.331838313691126","0.295127534706387","0.368549092675865"
"Rarely","2003","35-65 y.","no migration background","3718","0.335034583134705","0.326171215682413","0.343897950586996"
"Rarely","2003","35-65 y.","direct migration background","438","0.266985979282085","0.245227766962119","0.288744191602051"
"Rarely","2003","35-65 y.","indirect migration background","49","0.359187416462805","0.279142340662256","0.439232492263354"
"Rarely","2003","66 and older","no migration background","627","0.189207696710109","0.175787290797674","0.202628102622543"
"Rarely","2003","66 and older","direct migration background","63","0.185444345276353","0.144668539072012","0.226220151480694"
"Rarely","2003","66 and older","indirect migration background","2","","",""
"Never","2003","16-34 y.","no migration background","1337","0.293242441240931","0.280026150781055","0.306458731700807"
"Never","2003","16-34 y.","direct migration background","227","0.313124791466061","0.278008524868185","0.348241058063937"
"Never","2003","16-34 y.","indirect migration background","166","0.255088783106219","0.221103766234994","0.289073799977445"
"Never","2003","35-65 y.","no migration background","5936","0.540959736064928","0.531602183688963","0.550317288440894"
"Never","2003","35-65 y.","direct migration background","821","0.496509546613242","0.47191820268369","0.521100890542795"
"Never","2003","35-65 y.","indirect migration background","56","0.409283354300889","0.327246274396463","0.491320434205315"
"Never","2003","66 and older","no migration background","2493","0.767308460449572","0.75283018838014","0.781786732519004"
"Never","2003","66 and older","direct migration background","251","0.726349238417566","0.679575029525659","0.773123447309474"
"Never","2003","66 and older","indirect migration background","11","","",""
"Very often","2004","16-34 y.","no migration background","","","",""
"Very often","2004","16-34 y.","direct migration background","","","",""
"Very often","2004","16-34 y.","indirect migration background","","","",""
"Very often","2004","35-65 y.","no migration background","","","",""
"Very often","2004","35-65 y.","direct migration background","","","",""
"Very often","2004","35-65 y.","indirect migration background","","","",""
"Very often","2004","66 and older","no migration background","","","",""
"Very often","2004","66 and older","direct migration background","","","",""
"Very often","2004","66 and older","indirect migration background","","","",""
"Often","2004","16-34 y.","no migration background","","","",""
"Often","2004","16-34 y.","direct migration background","","","",""
"Often","2004","16-34 y.","indirect migration background","","","",""
"Often","2004","35-65 y.","no migration background","","","",""
"Often","2004","35-65 y.","direct migration background","","","",""
"Often","2004","35-65 y.","indirect migration background","","","",""
"Often","2004","66 and older","no migration background","","","",""
"Often","2004","66 and older","direct migration background","","","",""
"Often","2004","66 and older","indirect migration background","","","",""
"Sometimes","2004","16-34 y.","no migration background","","","",""
"Sometimes","2004","16-34 y.","direct migration background","","","",""
"Sometimes","2004","16-34 y.","indirect migration background","","","",""
"Sometimes","2004","35-65 y.","no migration background","","","",""
"Sometimes","2004","35-65 y.","direct migration background","","","",""
"Sometimes","2004","35-65 y.","indirect migration background","","","",""
"Sometimes","2004","66 and older","no migration background","","","",""
"Sometimes","2004","66 and older","direct migration background","","","",""
"Sometimes","2004","66 and older","indirect migration background","","","",""
"Rarely","2004","16-34 y.","no migration background","","","",""
"Rarely","2004","16-34 y.","direct migration background","","","",""
"Rarely","2004","16-34 y.","indirect migration background","","","",""
"Rarely","2004","35-65 y.","no migration background","","","",""
"Rarely","2004","35-65 y.","direct migration background","","","",""
"Rarely","2004","35-65 y.","indirect migration background","","","",""
"Rarely","2004","66 and older","no migration background","","","",""
"Rarely","2004","66 and older","direct migration background","","","",""
"Rarely","2004","66 and older","indirect migration background","","","",""
"Never","2004","16-34 y.","no migration background","","","",""
"Never","2004","16-34 y.","direct migration background","","","",""
"Never","2004","16-34 y.","indirect migration background","","","",""
"Never","2004","35-65 y.","no migration background","","","",""
"Never","2004","35-65 y.","direct migration background","","","",""
"Never","2004","35-65 y.","indirect migration background","","","",""
"Never","2004","66 and older","no migration background","","","",""
"Never","2004","66 and older","direct migration background","","","",""
"Never","2004","66 and older","indirect migration background","","","",""
"Very often","2005","16-34 y.","no migration background","","","",""
"Very often","2005","16-34 y.","direct migration background","","","",""
"Very often","2005","16-34 y.","indirect migration background","","","",""
"Very often","2005","35-65 y.","no migration background","","","",""
"Very often","2005","35-65 y.","direct migration background","","","",""
"Very often","2005","35-65 y.","indirect migration background","","","",""
"Very often","2005","66 and older","no migration background","","","",""
"Very often","2005","66 and older","direct migration background","","","",""
"Very often","2005","66 and older","indirect migration background","","","",""
"Often","2005","16-34 y.","no migration background","","","",""
"Often","2005","16-34 y.","direct migration background","","","",""
"Often","2005","16-34 y.","indirect migration background","","","",""
"Often","2005","35-65 y.","no migration background","","","",""
"Often","2005","35-65 y.","direct migration background","","","",""
"Often","2005","35-65 y.","indirect migration background","","","",""
"Often","2005","66 and older","no migration background","","","",""
"Often","2005","66 and older","direct migration background","","","",""
"Often","2005","66 and older","indirect migration background","","","",""
"Sometimes","2005","16-34 y.","no migration background","","","",""
"Sometimes","2005","16-34 y.","direct migration background","","","",""
"Sometimes","2005","16-34 y.","indirect migration background","","","",""
"Sometimes","2005","35-65 y.","no migration background","","","",""
"Sometimes","2005","35-65 y.","direct migration background","","","",""
"Sometimes","2005","35-65 y.","indirect migration background","","","",""
"Sometimes","2005","66 and older","no migration background","","","",""
"Sometimes","2005","66 and older","direct migration background","","","",""
"Sometimes","2005","66 and older","indirect migration background","","","",""
"Rarely","2005","16-34 y.","no migration background","","","",""
"Rarely","2005","16-34 y.","direct migration background","","","",""
"Rarely","2005","16-34 y.","indirect migration background","","","",""
"Rarely","2005","35-65 y.","no migration background","","","",""
"Rarely","2005","35-65 y.","direct migration background","","","",""
"Rarely","2005","35-65 y.","indirect migration background","","","",""
"Rarely","2005","66 and older","no migration background","","","",""
"Rarely","2005","66 and older","direct migration background","","","",""
"Rarely","2005","66 and older","indirect migration background","","","",""
"Never","2005","16-34 y.","no migration background","","","",""
"Never","2005","16-34 y.","direct migration background","","","",""
"Never","2005","16-34 y.","indirect migration background","","","",""
"Never","2005","35-65 y.","no migration background","","","",""
"Never","2005","35-65 y.","direct migration background","","","",""
"Never","2005","35-65 y.","indirect migration background","","","",""
"Never","2005","66 and older","no migration background","","","",""
"Never","2005","66 and older","direct migration background","","","",""
"Never","2005","66 and older","indirect migration background","","","",""
"Very often","2006","16-34 y.","no migration background","","","",""
"Very often","2006","16-34 y.","direct migration background","","","",""
"Very often","2006","16-34 y.","indirect migration background","","","",""
"Very often","2006","35-65 y.","no migration background","","","",""
"Very often","2006","35-65 y.","direct migration background","","","",""
"Very often","2006","35-65 y.","indirect migration background","","","",""
"Very often","2006","66 and older","no migration background","","","",""
"Very often","2006","66 and older","direct migration background","","","",""
"Very often","2006","66 and older","indirect migration background","","","",""
"Often","2006","16-34 y.","no migration background","","","",""
"Often","2006","16-34 y.","direct migration background","","","",""
"Often","2006","16-34 y.","indirect migration background","","","",""
"Often","2006","35-65 y.","no migration background","","","",""
"Often","2006","35-65 y.","direct migration background","","","",""
"Often","2006","35-65 y.","indirect migration background","","","",""
"Often","2006","66 and older","no migration background","","","",""
"Often","2006","66 and older","direct migration background","","","",""
"Often","2006","66 and older","indirect migration background","","","",""
"Sometimes","2006","16-34 y.","no migration background","","","",""
"Sometimes","2006","16-34 y.","direct migration background","","","",""
"Sometimes","2006","16-34 y.","indirect migration background","","","",""
"Sometimes","2006","35-65 y.","no migration background","","","",""
"Sometimes","2006","35-65 y.","direct migration background","","","",""
"Sometimes","2006","35-65 y.","indirect migration background","","","",""
"Sometimes","2006","66 and older","no migration background","","","",""
"Sometimes","2006","66 and older","direct migration background","","","",""
"Sometimes","2006","66 and older","indirect migration background","","","",""
"Rarely","2006","16-34 y.","no migration background","","","",""
"Rarely","2006","16-34 y.","direct migration background","","","",""
"Rarely","2006","16-34 y.","indirect migration background","","","",""
"Rarely","2006","35-65 y.","no migration background","","","",""
"Rarely","2006","35-65 y.","direct migration background","","","",""
"Rarely","2006","35-65 y.","indirect migration background","","","",""
"Rarely","2006","66 and older","no migration background","","","",""
"Rarely","2006","66 and older","direct migration background","","","",""
"Rarely","2006","66 and older","indirect migration background","","","",""
"Never","2006","16-34 y.","no migration background","","","",""
"Never","2006","16-34 y.","direct migration background","","","",""
"Never","2006","16-34 y.","indirect migration background","","","",""
"Never","2006","35-65 y.","no migration background","","","",""
"Never","2006","35-65 y.","direct migration background","","","",""
"Never","2006","35-65 y.","indirect migration background","","","",""
"Never","2006","66 and older","no migration background","","","",""
"Never","2006","66 and older","direct migration background","","","",""
"Never","2006","66 and older","indirect migration background","","","",""
"Very often","2007","16-34 y.","no migration background","","","",""
"Very often","2007","16-34 y.","direct migration background","","","",""
"Very often","2007","16-34 y.","indirect migration background","","","",""
"Very often","2007","35-65 y.","no migration background","","","",""
"Very often","2007","35-65 y.","direct migration background","","","",""
"Very often","2007","35-65 y.","indirect migration background","","","",""
"Very often","2007","66 and older","no migration background","","","",""
"Very often","2007","66 and older","direct migration background","","","",""
"Very often","2007","66 and older","indirect migration background","","","",""
"Often","2007","16-34 y.","no migration background","","","",""
"Often","2007","16-34 y.","direct migration background","","","",""
"Often","2007","16-34 y.","indirect migration background","","","",""
"Often","2007","35-65 y.","no migration background","","","",""
"Often","2007","35-65 y.","direct migration background","","","",""
"Often","2007","35-65 y.","indirect migration background","","","",""
"Often","2007","66 and older","no migration background","","","",""
"Often","2007","66 and older","direct migration background","","","",""
"Often","2007","66 and older","indirect migration background","","","",""
"Sometimes","2007","16-34 y.","no migration background","","","",""
"Sometimes","2007","16-34 y.","direct migration background","","","",""
"Sometimes","2007","16-34 y.","indirect migration background","","","",""
"Sometimes","2007","35-65 y.","no migration background","","","",""
"Sometimes","2007","35-65 y.","direct migration background","","","",""
"Sometimes","2007","35-65 y.","indirect migration background","","","",""
"Sometimes","2007","66 and older","no migration background","","","",""
"Sometimes","2007","66 and older","direct migration background","","","",""
"Sometimes","2007","66 and older","indirect migration background","","","",""
"Rarely","2007","16-34 y.","no migration background","","","",""
"Rarely","2007","16-34 y.","direct migration background","","","",""
"Rarely","2007","16-34 y.","indirect migration background","","","",""
"Rarely","2007","35-65 y.","no migration background","","","",""
"Rarely","2007","35-65 y.","direct migration background","","","",""
"Rarely","2007","35-65 y.","indirect migration background","","","",""
"Rarely","2007","66 and older","no migration background","","","",""
"Rarely","2007","66 and older","direct migration background","","","",""
"Rarely","2007","66 and older","indirect migration background","","","",""
"Never","2007","16-34 y.","no migration background","","","",""
"Never","2007","16-34 y.","direct migration background","","","",""
"Never","2007","16-34 y.","indirect migration background","","","",""
"Never","2007","35-65 y.","no migration background","","","",""
"Never","2007","35-65 y.","direct migration background","","","",""
"Never","2007","35-65 y.","indirect migration background","","","",""
"Never","2007","66 and older","no migration background","","","",""
"Never","2007","66 and older","direct migration background","","","",""
"Never","2007","66 and older","indirect migration background","","","",""
"Very often","2008","16-34 y.","no migration background","49","0.0154515438988316","0.0113238686727584","0.0195792191249049"
"Very often","2008","16-34 y.","direct migration background","2","","",""
"Very often","2008","16-34 y.","indirect migration background","9","","",""
"Very often","2008","35-65 y.","no migration background","24","","",""
"Very often","2008","35-65 y.","direct migration background","2","","",""
"Very often","2008","35-65 y.","indirect migration background","2","","",""
"Very often","2008","66 and older","no migration background","5","","",""
"Very often","2008","66 and older","direct migration background","2","","",""
"Very often","2008","66 and older","indirect migration background","","","",""
"Often","2008","16-34 y.","no migration background","237","0.0718485663198314","0.0632064620044384","0.0804906706352245"
"Often","2008","16-34 y.","direct migration background","17","","",""
"Often","2008","16-34 y.","indirect migration background","46","0.0915981612810128","0.0678967428201678","0.115299579741858"
"Often","2008","35-65 y.","no migration background","88","0.0125398889937166","0.0102753784475693","0.0148043995398639"
"Often","2008","35-65 y.","direct migration background","35","0.0297819016069548","0.0199786985823807","0.039585104631529"
"Often","2008","35-65 y.","indirect migration background","6","","",""
"Often","2008","66 and older","no migration background","23","","",""
"Often","2008","66 and older","direct migration background","1","","",""
"Often","2008","66 and older","indirect migration background","","","",""
"Sometimes","2008","16-34 y.","no migration background","753","0.22000526921632","0.206142071835535","0.233868466597106"
"Sometimes","2008","16-34 y.","direct migration background","93","0.257639422096181","0.213017475028414","0.302261369163949"
"Sometimes","2008","16-34 y.","indirect migration background","142","0.244854242611657","0.209522816470499","0.280185668752815"
"Sometimes","2008","35-65 y.","no migration background","882","0.104247407730812","0.0980287824214782","0.110466033040145"
"Sometimes","2008","35-65 y.","direct migration background","185","0.149459276298437","0.12889724136744","0.170021311229434"
"Sometimes","2008","35-65 y.","indirect migration background","32","0.125013144311292","0.0781091302694886","0.171917158353096"
"Sometimes","2008","66 and older","no migration background","181","0.0464562530624145","0.0398684278116402","0.0530440783131888"
"Sometimes","2008","66 and older","direct migration background","33","0.0946275819793967","0.0647629333723317","0.124492230586462"
"Sometimes","2008","66 and older","indirect migration background","","","",""
"Rarely","2008","16-34 y.","no migration background","1363","0.41137838776557","0.394910425285267","0.427846350245873"
"Rarely","2008","16-34 y.","direct migration background","129","0.344896581683593","0.296397413976728","0.393395749390458"
