"pld0044","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","Urban Area","80","0.0200191141056631","0.0156299694136662","0.0244082587976601"
"Very often","2003","16-34 y.","Rural Area","14","","",""
"Very often","2003","35-65 y.","Urban Area","26","","",""
"Very often","2003","35-65 y.","Rural Area","3","","",""
"Very often","2003","66 and older","Urban Area","3","","",""
"Very often","2003","66 and older","Rural Area","1","","",""
"Often","2003","16-34 y.","Urban Area","327","0.0833601425210276","0.0746979613888082","0.092022323653247"
"Often","2003","16-34 y.","Rural Area","108","0.0509612106893978","0.0411952389107902","0.0607271824680053"
"Often","2003","35-65 y.","Urban Area","158","0.0207723892748082","0.0177406061274311","0.0238041724221853"
"Often","2003","35-65 y.","Rural Area","33","0.0104847708377007","0.0073741798621826","0.0135953618132187"
"Often","2003","66 and older","Urban Area","12","","",""
"Often","2003","66 and older","Rural Area","4","","",""
"Sometimes","2003","16-34 y.","Urban Area","1005","0.263671400412598","0.249863869778399","0.277478931046796"
"Sometimes","2003","16-34 y.","Rural Area","426","0.213507897463985","0.195310563323666","0.231705231604304"
"Sometimes","2003","35-65 y.","Urban Area","993","0.128993053234459","0.121867689261608","0.13611841720731"
"Sometimes","2003","35-65 y.","Rural Area","389","0.102929503750732","0.0936497720221482","0.112209235479316"
"Sometimes","2003","66 and older","Urban Area","113","0.0398347579608756","0.0320022758123356","0.0476672401094156"
"Sometimes","2003","66 and older","Rural Area","55","0.0459120951939718","0.0342629247500669","0.0575612656378766"
"Rarely","2003","16-34 y.","Urban Area","1408","0.357303122899775","0.342286572819435","0.372319672980115"
"Rarely","2003","16-34 y.","Rural Area","762","0.39391911622048","0.372220979751957","0.415617252689002"
"Rarely","2003","35-65 y.","Urban Area","2911","0.335274771494818","0.325239373485446","0.345310169504191"
"Rarely","2003","35-65 y.","Rural Area","1294","0.304896336789298","0.290837380297314","0.318955293281282"
"Rarely","2003","66 and older","Urban Area","466","0.20311032832529","0.186997920893874","0.219222735756706"
"Rarely","2003","66 and older","Rural Area","226","0.160200776621013","0.139785404927232","0.180616148314794"
"Never","2003","16-34 y.","Urban Area","1092","0.275646220060937","0.261643898271007","0.289648541850867"
"Never","2003","16-34 y.","Rural Area","638","0.3297464342518","0.308869667680489","0.35062320082311"
"Never","2003","35-65 y.","Urban Area","4413","0.51216247920447","0.501536852302706","0.522788106106233"
"Never","2003","35-65 y.","Rural Area","2400","0.580924110904647","0.565856019931926","0.595992201877367"
"Never","2003","66 and older","Urban Area","1801","0.749499782097148","0.732146359556658","0.766853204637639"
"Never","2003","66 and older","Rural Area","954","0.792097638388941","0.769510754517707","0.814684522260174"
"Very often","2004","16-34 y.","Urban Area","","","",""
"Very often","2004","16-34 y.","Rural Area","","","",""
"Very often","2004","35-65 y.","Urban Area","","","",""
"Very often","2004","35-65 y.","Rural Area","","","",""
"Very often","2004","66 and older","Urban Area","","","",""
"Very often","2004","66 and older","Rural Area","","","",""
"Often","2004","16-34 y.","Urban Area","","","",""
"Often","2004","16-34 y.","Rural Area","","","",""
"Often","2004","35-65 y.","Urban Area","","","",""
"Often","2004","35-65 y.","Rural Area","","","",""
"Often","2004","66 and older","Urban Area","","","",""
"Often","2004","66 and older","Rural Area","","","",""
"Sometimes","2004","16-34 y.","Urban Area","","","",""
"Sometimes","2004","16-34 y.","Rural Area","","","",""
"Sometimes","2004","35-65 y.","Urban Area","","","",""
"Sometimes","2004","35-65 y.","Rural Area","","","",""
"Sometimes","2004","66 and older","Urban Area","","","",""
"Sometimes","2004","66 and older","Rural Area","","","",""
"Rarely","2004","16-34 y.","Urban Area","","","",""
"Rarely","2004","16-34 y.","Rural Area","","","",""
"Rarely","2004","35-65 y.","Urban Area","","","",""
"Rarely","2004","35-65 y.","Rural Area","","","",""
"Rarely","2004","66 and older","Urban Area","","","",""
"Rarely","2004","66 and older","Rural Area","","","",""
"Never","2004","16-34 y.","Urban Area","","","",""
"Never","2004","16-34 y.","Rural Area","","","",""
"Never","2004","35-65 y.","Urban Area","","","",""
"Never","2004","35-65 y.","Rural Area","","","",""
"Never","2004","66 and older","Urban Area","","","",""
"Never","2004","66 and older","Rural Area","","","",""
"Very often","2005","16-34 y.","Urban Area","","","",""
"Very often","2005","16-34 y.","Rural Area","","","",""
"Very often","2005","35-65 y.","Urban Area","","","",""
"Very often","2005","35-65 y.","Rural Area","","","",""
"Very often","2005","66 and older","Urban Area","","","",""
"Very often","2005","66 and older","Rural Area","","","",""
"Often","2005","16-34 y.","Urban Area","","","",""
"Often","2005","16-34 y.","Rural Area","","","",""
"Often","2005","35-65 y.","Urban Area","","","",""
"Often","2005","35-65 y.","Rural Area","","","",""
"Often","2005","66 and older","Urban Area","","","",""
"Often","2005","66 and older","Rural Area","","","",""
"Sometimes","2005","16-34 y.","Urban Area","","","",""
"Sometimes","2005","16-34 y.","Rural Area","","","",""
"Sometimes","2005","35-65 y.","Urban Area","","","",""
"Sometimes","2005","35-65 y.","Rural Area","","","",""
"Sometimes","2005","66 and older","Urban Area","","","",""
"Sometimes","2005","66 and older","Rural Area","","","",""
"Rarely","2005","16-34 y.","Urban Area","","","",""
"Rarely","2005","16-34 y.","Rural Area","","","",""
"Rarely","2005","35-65 y.","Urban Area","","","",""
"Rarely","2005","35-65 y.","Rural Area","","","",""
"Rarely","2005","66 and older","Urban Area","","","",""
"Rarely","2005","66 and older","Rural Area","","","",""
"Never","2005","16-34 y.","Urban Area","","","",""
"Never","2005","16-34 y.","Rural Area","","","",""
"Never","2005","35-65 y.","Urban Area","","","",""
"Never","2005","35-65 y.","Rural Area","","","",""
"Never","2005","66 and older","Urban Area","","","",""
"Never","2005","66 and older","Rural Area","","","",""
"Very often","2006","16-34 y.","Urban Area","","","",""
"Very often","2006","16-34 y.","Rural Area","","","",""
"Very often","2006","35-65 y.","Urban Area","","","",""
"Very often","2006","35-65 y.","Rural Area","","","",""
"Very often","2006","66 and older","Urban Area","","","",""
"Very often","2006","66 and older","Rural Area","","","",""
"Often","2006","16-34 y.","Urban Area","","","",""
"Often","2006","16-34 y.","Rural Area","","","",""
"Often","2006","35-65 y.","Urban Area","","","",""
"Often","2006","35-65 y.","Rural Area","","","",""
"Often","2006","66 and older","Urban Area","","","",""
"Often","2006","66 and older","Rural Area","","","",""
"Sometimes","2006","16-34 y.","Urban Area","","","",""
"Sometimes","2006","16-34 y.","Rural Area","","","",""
"Sometimes","2006","35-65 y.","Urban Area","","","",""
"Sometimes","2006","35-65 y.","Rural Area","","","",""
"Sometimes","2006","66 and older","Urban Area","","","",""
"Sometimes","2006","66 and older","Rural Area","","","",""
"Rarely","2006","16-34 y.","Urban Area","","","",""
"Rarely","2006","16-34 y.","Rural Area","","","",""
"Rarely","2006","35-65 y.","Urban Area","","","",""
"Rarely","2006","35-65 y.","Rural Area","","","",""
"Rarely","2006","66 and older","Urban Area","","","",""
"Rarely","2006","66 and older","Rural Area","","","",""
"Never","2006","16-34 y.","Urban Area","","","",""
"Never","2006","16-34 y.","Rural Area","","","",""
"Never","2006","35-65 y.","Urban Area","","","",""
"Never","2006","35-65 y.","Rural Area","","","",""
"Never","2006","66 and older","Urban Area","","","",""
"Never","2006","66 and older","Rural Area","","","",""
"Very often","2007","16-34 y.","Urban Area","","","",""
"Very often","2007","16-34 y.","Rural Area","","","",""
"Very often","2007","35-65 y.","Urban Area","","","",""
"Very often","2007","35-65 y.","Rural Area","","","",""
"Very often","2007","66 and older","Urban Area","","","",""
"Very often","2007","66 and older","Rural Area","","","",""
"Often","2007","16-34 y.","Urban Area","","","",""
"Often","2007","16-34 y.","Rural Area","","","",""
"Often","2007","35-65 y.","Urban Area","","","",""
"Often","2007","35-65 y.","Rural Area","","","",""
"Often","2007","66 and older","Urban Area","","","",""
"Often","2007","66 and older","Rural Area","","","",""
"Sometimes","2007","16-34 y.","Urban Area","","","",""
"Sometimes","2007","16-34 y.","Rural Area","","","",""
"Sometimes","2007","35-65 y.","Urban Area","","","",""
"Sometimes","2007","35-65 y.","Rural Area","","","",""
"Sometimes","2007","66 and older","Urban Area","","","",""
"Sometimes","2007","66 and older","Rural Area","","","",""
"Rarely","2007","16-34 y.","Urban Area","","","",""
"Rarely","2007","16-34 y.","Rural Area","","","",""
"Rarely","2007","35-65 y.","Urban Area","","","",""
"Rarely","2007","35-65 y.","Rural Area","","","",""
"Rarely","2007","66 and older","Urban Area","","","",""
"Rarely","2007","66 and older","Rural Area","","","",""
"Never","2007","16-34 y.","Urban Area","","","",""
"Never","2007","16-34 y.","Rural Area","","","",""
"Never","2007","35-65 y.","Urban Area","","","",""
"Never","2007","35-65 y.","Rural Area","","","",""
"Never","2007","66 and older","Urban Area","","","",""
"Never","2007","66 and older","Rural Area","","","",""
"Very often","2008","16-34 y.","Urban Area","42","0.013976739180791","0.00970704965956488","0.0182464287020171"
"Very often","2008","16-34 y.","Rural Area","18","","",""
"Very often","2008","35-65 y.","Urban Area","22","","",""
"Very often","2008","35-65 y.","Rural Area","6","","",""
"Very often","2008","66 and older","Urban Area","6","","",""
"Very often","2008","66 and older","Rural Area","1","","",""
"Often","2008","16-34 y.","Urban Area","220","0.0856209371615572","0.0754443323439819","0.0957975419791326"
