"pld0044","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","1-pers.-HH","(0) in school","","","",""
"Very often","2003","1-pers.-HH","(1a) inadequately completed","","","",""
"Very often","2003","1-pers.-HH","(1b) general elementary school","1","","",""
"Very often","2003","1-pers.-HH","(1c) basic vocational qualification","5","","",""
"Very often","2003","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Very often","2003","1-pers.-HH","(2a) intermediate vocational","2","","",""
"Very often","2003","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"Very often","2003","1-pers.-HH","(2c_voc) vocational maturity certificate","2","","",""
"Very often","2003","1-pers.-HH","(3a) lower tertiary education","2","","",""
"Very often","2003","1-pers.-HH","(3b) higher tertiary education","","","",""
"Very often","2003","(Married) couple without C. ","(0) in school","","","",""
"Very often","2003","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Very often","2003","(Married) couple without C. ","(1b) general elementary school","1","","",""
"Very often","2003","(Married) couple without C. ","(1c) basic vocational qualification","8","","",""
"Very often","2003","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Very often","2003","(Married) couple without C. ","(2a) intermediate vocational","2","","",""
"Very often","2003","(Married) couple without C. ","(2c_gen) general maturity certificate","2","","",""
"Very often","2003","(Married) couple without C. ","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2003","(Married) couple without C. ","(3a) lower tertiary education","1","","",""
"Very often","2003","(Married) couple without C. ","(3b) higher tertiary education","2","","",""
"Very often","2003","Single parent ","(0) in school","2","","",""
"Very often","2003","Single parent ","(1a) inadequately completed","","","",""
"Very often","2003","Single parent ","(1b) general elementary school","2","","",""
"Very often","2003","Single parent ","(1c) basic vocational qualification","1","","",""
"Very often","2003","Single parent ","(2b) intermediate general qualification","","","",""
"Very often","2003","Single parent ","(2a) intermediate vocational","1","","",""
"Very often","2003","Single parent ","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","Single parent ","(3a) lower tertiary education","","","",""
"Very often","2003","Single parent ","(3b) higher tertiary education","2","","",""
"Very often","2003","Couple + C. LE 16 ","(0) in school","","","",""
"Very often","2003","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Very often","2003","Couple + C. LE 16 ","(1b) general elementary school","1","","",""
"Very often","2003","Couple + C. LE 16 ","(1c) basic vocational qualification","6","","",""
"Very often","2003","Couple + C. LE 16 ","(2b) intermediate general qualification","3","","",""
"Very often","2003","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Very often","2003","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","2","","",""
"Very often","2003","Couple + C. LE 16 ","(3a) lower tertiary education","1","","",""
"Very often","2003","Couple + C. LE 16 ","(3b) higher tertiary education","2","","",""
"Very often","2003","Couple + C. GT 16 ","(0) in school","13","","",""
"Very often","2003","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Very often","2003","Couple + C. GT 16 ","(1b) general elementary school","2","","",""
"Very often","2003","Couple + C. GT 16 ","(1c) basic vocational qualification","2","","",""
"Very often","2003","Couple + C. GT 16 ","(2b) intermediate general qualification","7","","",""
"Very often","2003","Couple + C. GT 16 ","(2a) intermediate vocational","5","","",""
"Very often","2003","Couple + C. GT 16 ","(2c_gen) general maturity certificate","6","","",""
"Very often","2003","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Very often","2003","Couple + C. GT 16 ","(3b) higher tertiary education","2","","",""
"Very often","2003","Couple + C. LE and GT 16","(0) in school","9","","",""
"Very often","2003","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Very often","2003","Couple + C. LE and GT 16","(1b) general elementary school","1","","",""
"Very often","2003","Couple + C. LE and GT 16","(1c) basic vocational qualification","1","","",""
"Very often","2003","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"Very often","2003","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Very often","2003","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","4","","",""
"Very often","2003","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","1","","",""
"Very often","2003","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Very often","2003","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Often","2003","1-pers.-HH","(0) in school","1","","",""
"Often","2003","1-pers.-HH","(1a) inadequately completed","","","",""
"Often","2003","1-pers.-HH","(1b) general elementary school","9","","",""
"Often","2003","1-pers.-HH","(1c) basic vocational qualification","13","","",""
"Often","2003","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Often","2003","1-pers.-HH","(2a) intermediate vocational","14","","",""
"Often","2003","1-pers.-HH","(2c_gen) general maturity certificate","16","","",""
"Often","2003","1-pers.-HH","(2c_voc) vocational maturity certificate","8","","",""
"Often","2003","1-pers.-HH","(3a) lower tertiary education","4","","",""
"Often","2003","1-pers.-HH","(3b) higher tertiary education","14","","",""
"Often","2003","(Married) couple without C. ","(0) in school","","","",""
"Often","2003","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Often","2003","(Married) couple without C. ","(1b) general elementary school","11","","",""
"Often","2003","(Married) couple without C. ","(1c) basic vocational qualification","24","","",""
"Often","2003","(Married) couple without C. ","(2b) intermediate general qualification","5","","",""
"Often","2003","(Married) couple without C. ","(2a) intermediate vocational","13","","",""
"Often","2003","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"Often","2003","(Married) couple without C. ","(2c_voc) vocational maturity certificate","5","","",""
"Often","2003","(Married) couple without C. ","(3a) lower tertiary education","9","","",""
"Often","2003","(Married) couple without C. ","(3b) higher tertiary education","15","","",""
"Often","2003","Single parent ","(0) in school","16","","",""
"Often","2003","Single parent ","(1a) inadequately completed","","","",""
"Often","2003","Single parent ","(1b) general elementary school","6","","",""
"Often","2003","Single parent ","(1c) basic vocational qualification","2","","",""
"Often","2003","Single parent ","(2b) intermediate general qualification","6","","",""
"Often","2003","Single parent ","(2a) intermediate vocational","6","","",""
"Often","2003","Single parent ","(2c_gen) general maturity certificate","6","","",""
"Often","2003","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Often","2003","Single parent ","(3a) lower tertiary education","","","",""
"Often","2003","Single parent ","(3b) higher tertiary education","2","","",""
"Often","2003","Couple + C. LE 16 ","(0) in school","","","",""
"Often","2003","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Often","2003","Couple + C. LE 16 ","(1b) general elementary school","16","","",""
"Often","2003","Couple + C. LE 16 ","(1c) basic vocational qualification","18","","",""
"Often","2003","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Often","2003","Couple + C. LE 16 ","(2a) intermediate vocational","18","","",""
"Often","2003","Couple + C. LE 16 ","(2c_gen) general maturity certificate","6","","",""
"Often","2003","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","11","","",""
"Often","2003","Couple + C. LE 16 ","(3a) lower tertiary education","4","","",""
"Often","2003","Couple + C. LE 16 ","(3b) higher tertiary education","20","","",""
"Often","2003","Couple + C. GT 16 ","(0) in school","55","0.152589006814527","0.111485100622265","0.193692913006788"
"Often","2003","Couple + C. GT 16 ","(1a) inadequately completed","2","","",""
"Often","2003","Couple + C. GT 16 ","(1b) general elementary school","17","","",""
"Often","2003","Couple + C. GT 16 ","(1c) basic vocational qualification","13","","",""
"Often","2003","Couple + C. GT 16 ","(2b) intermediate general qualification","18","","",""
"Often","2003","Couple + C. GT 16 ","(2a) intermediate vocational","16","","",""
"Often","2003","Couple + C. GT 16 ","(2c_gen) general maturity certificate","42","0.129189087321075","0.0929460164316732","0.165432158210478"
"Often","2003","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","Couple + C. GT 16 ","(3a) lower tertiary education","5","","",""
"Often","2003","Couple + C. GT 16 ","(3b) higher tertiary education","7","","",""
"Often","2003","Couple + C. LE and GT 16","(0) in school","41","0.12801827804121","0.0854815971259897","0.17055495895643"
"Often","2003","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Often","2003","Couple + C. LE and GT 16","(1b) general elementary school","15","","",""
"Often","2003","Couple + C. LE and GT 16","(1c) basic vocational qualification","6","","",""
"Often","2003","Couple + C. LE and GT 16","(2b) intermediate general qualification","16","","",""
"Often","2003","Couple + C. LE and GT 16","(2a) intermediate vocational","8","","",""
"Often","2003","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","14","","",""
"Often","2003","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Often","2003","Couple + C. LE and GT 16","(3b) higher tertiary education","4","","",""
"Sometimes","2003","1-pers.-HH","(0) in school","","","",""
"Sometimes","2003","1-pers.-HH","(1a) inadequately completed","3","","",""
"Sometimes","2003","1-pers.-HH","(1b) general elementary school","16","","",""
"Sometimes","2003","1-pers.-HH","(1c) basic vocational qualification","105","0.104093012826903","0.0845605257293869","0.123625499924419"
"Sometimes","2003","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"Sometimes","2003","1-pers.-HH","(2a) intermediate vocational","118","0.170105422421579","0.141064316760256","0.199146528082902"
"Sometimes","2003","1-pers.-HH","(2c_gen) general maturity certificate","43","0.338694167941504","0.258262457174302","0.419125878708707"
"Sometimes","2003","1-pers.-HH","(2c_voc) vocational maturity certificate","52","0.232504878844663","0.178610194024107","0.286399563665218"
"Sometimes","2003","1-pers.-HH","(3a) lower tertiary education","38","0.185851137981069","0.134332952778066","0.237369323184071"
"Sometimes","2003","1-pers.-HH","(3b) higher tertiary education","66","0.1876986238133","0.144646588440656","0.230750659185945"
"Sometimes","2003","(Married) couple without C. ","(0) in school","","","",""
"Sometimes","2003","(Married) couple without C. ","(1a) inadequately completed","9","","",""
"Sometimes","2003","(Married) couple without C. ","(1b) general elementary school","50","0.0666357000247578","0.0481477576764684","0.0851236423730472"
"Sometimes","2003","(Married) couple without C. ","(1c) basic vocational qualification","189","0.0713078778966297","0.0615431574315365","0.0810725983617228"
"Sometimes","2003","(Married) couple without C. ","(2b) intermediate general qualification","10","","",""
"Sometimes","2003","(Married) couple without C. ","(2a) intermediate vocational","140","0.0893114701105998","0.07466253834978","0.10396040187142"
"Sometimes","2003","(Married) couple without C. ","(2c_gen) general maturity certificate","37","0.279496328212378","0.201140921161351","0.357851735263405"
"Sometimes","2003","(Married) couple without C. ","(2c_voc) vocational maturity certificate","61","0.135974204879321","0.10468538044001","0.167263029318632"
"Sometimes","2003","(Married) couple without C. ","(3a) lower tertiary education","68","0.0848786201235877","0.0640532668129956","0.10570397343418"
