"pld0044","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","Urban Area","66","0.00502798605978015","0.00376111933496771","0.00629485278459258"
"Very often","2003","no migration background","Rural Area","18","","",""
"Very often","2003","direct migration background","Urban Area","30","0.0132308819657215","0.00840218381294142","0.0180595801185015"
"Very often","2003","direct migration background","Rural Area","","","",""
"Very often","2003","indirect migration background","Urban Area","13","","",""
"Very often","2003","indirect migration background","Rural Area","","","",""
"Often","2003","no migration background","Urban Area","346","0.0270790270160458","0.0241717676748065","0.0299862863572851"
"Often","2003","no migration background","Rural Area","125","0.0169571006299451","0.0138770472829076","0.0200371539769825"
"Often","2003","direct migration background","Urban Area","85","0.0437751645776516","0.0351290340194422","0.052421295135861"
"Often","2003","direct migration background","Rural Area","15","","",""
"Often","2003","indirect migration background","Urban Area","66","0.110435126881353","0.086929049090961","0.133941204671744"
"Often","2003","indirect migration background","Rural Area","5","","",""
"Sometimes","2003","no migration background","Urban Area","1549","0.127957917285869","0.121974755213858","0.133941079357881"
"Sometimes","2003","no migration background","Rural Area","768","0.110283780703555","0.102811076675544","0.117756484731567"
"Sometimes","2003","direct migration background","Urban Area","390","0.199118062640193","0.182242142392304","0.215993982888082"
"Sometimes","2003","direct migration background","Rural Area","78","0.189452474936141","0.153485405506619","0.225419544365663"
"Sometimes","2003","indirect migration background","Urban Area","172","0.242515623171166","0.210372028725682","0.274659217616649"
"Sometimes","2003","indirect migration background","Rural Area","24","","",""
"Rarely","2003","no migration background","Urban Area","3990","0.322105153339012","0.313735480795965","0.33047482588206"
"Rarely","2003","no migration background","Rural Area","2096","0.292811903291157","0.281956198131072","0.303667608451242"
"Rarely","2003","direct migration background","Urban Area","562","0.256998923047387","0.238532267046777","0.275465579047997"
"Rarely","2003","direct migration background","Rural Area","148","0.321914977453021","0.279032651145531","0.36479730376051"
"Rarely","2003","indirect migration background","Urban Area","233","0.338702605742964","0.303209384696728","0.3741958267892"
"Rarely","2003","indirect migration background","Rural Area","38","0.322569902379026","0.231404181687074","0.413735623070977"
"Never","2003","no migration background","Urban Area","6023","0.517829916299292","0.508879934272651","0.526779898325934"
"Never","2003","no migration background","Rural Area","3743","0.576134220012363","0.564345348935683","0.587923091089043"
"Never","2003","direct migration background","Urban Area","1084","0.486876967769047","0.46575432493933","0.507999610598764"
"Never","2003","direct migration background","Rural Area","215","0.452803315570503","0.407116362275004","0.498490268866002"
"Never","2003","indirect migration background","Urban Area","199","0.285374132611041","0.2515065337197","0.319241731502381"
"Never","2003","indirect migration background","Rural Area","34","0.396829289635109","0.301415886536923","0.492242692733294"
"Very often","2004","no migration background","Urban Area","","","",""
"Very often","2004","no migration background","Rural Area","","","",""
"Very often","2004","direct migration background","Urban Area","","","",""
"Very often","2004","direct migration background","Rural Area","","","",""
"Very often","2004","indirect migration background","Urban Area","","","",""
"Very often","2004","indirect migration background","Rural Area","","","",""
"Often","2004","no migration background","Urban Area","","","",""
"Often","2004","no migration background","Rural Area","","","",""
"Often","2004","direct migration background","Urban Area","","","",""
"Often","2004","direct migration background","Rural Area","","","",""
"Often","2004","indirect migration background","Urban Area","","","",""
"Often","2004","indirect migration background","Rural Area","","","",""
"Sometimes","2004","no migration background","Urban Area","","","",""
"Sometimes","2004","no migration background","Rural Area","","","",""
"Sometimes","2004","direct migration background","Urban Area","","","",""
"Sometimes","2004","direct migration background","Rural Area","","","",""
"Sometimes","2004","indirect migration background","Urban Area","","","",""
"Sometimes","2004","indirect migration background","Rural Area","","","",""
"Rarely","2004","no migration background","Urban Area","","","",""
"Rarely","2004","no migration background","Rural Area","","","",""
"Rarely","2004","direct migration background","Urban Area","","","",""
"Rarely","2004","direct migration background","Rural Area","","","",""
"Rarely","2004","indirect migration background","Urban Area","","","",""
"Rarely","2004","indirect migration background","Rural Area","","","",""
"Never","2004","no migration background","Urban Area","","","",""
"Never","2004","no migration background","Rural Area","","","",""
