"pld0044","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Full Time","lower secondary degree","9","","",""
"Very often","2003","Full Time","secondary school degree","13","","",""
"Very often","2003","Full Time","college entrance qualification","8","","",""
"Very often","2003","Full Time","Other degree","6","","",""
"Very often","2003","Full Time","no degree/no degree yet","","","",""
"Very often","2003","Part Time","lower secondary degree","6","","",""
"Very often","2003","Part Time","secondary school degree","12","","",""
"Very often","2003","Part Time","college entrance qualification","15","","",""
"Very often","2003","Part Time","Other degree","5","","",""
"Very often","2003","Part Time","no degree/no degree yet","10","","",""
"Very often","2003","Not Working","lower secondary degree","8","","",""
"Very often","2003","Not Working","secondary school degree","5","","",""
"Very often","2003","Not Working","college entrance qualification","8","","",""
"Very often","2003","Not Working","Other degree","4","","",""
"Very often","2003","Not Working","no degree/no degree yet","14","","",""
"Often","2003","Full Time","lower secondary degree","73","0.0331539940675169","0.02589673846931","0.0404112496657238"
"Often","2003","Full Time","secondary school degree","70","0.0283484105586561","0.0225599688013448","0.0341368523159673"
"Often","2003","Full Time","college entrance qualification","75","0.0376267134678335","0.0305846233081789","0.0446688036274882"
"Often","2003","Full Time","Other degree","16","","",""
"Often","2003","Full Time","no degree/no degree yet","3","","",""
"Often","2003","Part Time","lower secondary degree","30","0.0178101816879262","0.0110741759165853","0.024546187459267"
"Often","2003","Part Time","secondary school degree","45","0.0293980661917995","0.0213941405722724","0.0374019918113265"
"Often","2003","Part Time","college entrance qualification","68","0.0503993135806236","0.0388402754921584","0.0619583516690887"
"Often","2003","Part Time","Other degree","6","","",""
"Often","2003","Part Time","no degree/no degree yet","27","","",""
"Often","2003","Not Working","lower secondary degree","42","0.00991327181778572","0.00686436434602965","0.0129621792895418"
"Often","2003","Not Working","secondary school degree","24","","",""
"Often","2003","Not Working","college entrance qualification","36","0.0262523645104662","0.0173497030523308","0.0351550259686016"
"Often","2003","Not Working","Other degree","13","","",""
"Often","2003","Not Working","no degree/no degree yet","89","0.0975332171339163","0.0749330847024874","0.120133349565345"
"Sometimes","2003","Full Time","lower secondary degree","317","0.137457732752263","0.123500458288739","0.151415007215787"
"Sometimes","2003","Full Time","secondary school degree","427","0.140194628034412","0.128085641628534","0.152303614440291"
"Sometimes","2003","Full Time","college entrance qualification","471","0.191846739996612","0.17727519053932","0.206418289453904"
"Sometimes","2003","Full Time","Other degree","87","0.216399652909908","0.177295860270711","0.255503445549105"
"Sometimes","2003","Full Time","no degree/no degree yet","11","","",""
"Sometimes","2003","Part Time","lower secondary degree","189","0.142851569446478","0.125030199445126","0.160672939447831"
