"pld0044","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Schleswig-Holstein","no migration background","2","","",""
"Very often","2003","Schleswig-Holstein","direct migration background","","","",""
"Very often","2003","Schleswig-Holstein","indirect migration background","","","",""
"Very often","2003","Hamburg","no migration background","2","","",""
"Very often","2003","Hamburg","direct migration background","","","",""
"Very often","2003","Hamburg","indirect migration background","1","","",""
"Very often","2003","Lower Saxony","no migration background","11","","",""
"Very often","2003","Lower Saxony","direct migration background","4","","",""
"Very often","2003","Lower Saxony","indirect migration background","","","",""
"Very often","2003","Bremen","no migration background","","","",""
"Very often","2003","Bremen","direct migration background","","","",""
"Very often","2003","Bremen","indirect migration background","","","",""
"Very often","2003","North Rhine-Westphalia","no migration background","22","","",""
"Very often","2003","North Rhine-Westphalia","direct migration background","13","","",""
"Very often","2003","North Rhine-Westphalia","indirect migration background","2","","",""
"Very often","2003","Hesse","no migration background","7","","",""
"Very often","2003","Hesse","direct migration background","5","","",""
"Very often","2003","Hesse","indirect migration background","3","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","no migration background","4","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","direct migration background","3","","",""
"Very often","2003","Rhineland-Palatinate,Saarland","indirect migration background","1","","",""
"Very often","2003","Baden-Württemberg","no migration background","7","","",""
"Very often","2003","Baden-Württemberg","direct migration background","2","","",""
"Very often","2003","Baden-Württemberg","indirect migration background","2","","",""
"Very often","2003","Bavaria","no migration background","18","","",""
"Very often","2003","Bavaria","direct migration background","2","","",""
"Very often","2003","Bavaria","indirect migration background","2","","",""
"Very often","2003","Berlin","no migration background","5","","",""
"Very often","2003","Berlin","direct migration background","","","",""
"Very often","2003","Berlin","indirect migration background","2","","",""
"Very often","2003","Brandenburg","no migration background","2","","",""
"Very often","2003","Brandenburg","direct migration background","","","",""
"Very often","2003","Brandenburg","indirect migration background","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","no migration background","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Very often","2003","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Very often","2003","Saxony","no migration background","1","","",""
"Very often","2003","Saxony","direct migration background","","","",""
"Very often","2003","Saxony","indirect migration background","","","",""
"Very often","2003","Saxony-Anhalt","no migration background","1","","",""
"Very often","2003","Saxony-Anhalt","direct migration background","1","","",""
"Very often","2003","Saxony-Anhalt","indirect migration background","","","",""
"Very often","2003","Thuringia","no migration background","2","","",""
"Very often","2003","Thuringia","direct migration background","","","",""
"Very often","2003","Thuringia","indirect migration background","","","",""
"Often","2003","Schleswig-Holstein","no migration background","13","","",""
"Often","2003","Schleswig-Holstein","direct migration background","3","","",""
"Often","2003","Schleswig-Holstein","indirect migration background","","","",""
"Often","2003","Hamburg","no migration background","7","","",""
"Often","2003","Hamburg","direct migration background","","","",""
"Often","2003","Hamburg","indirect migration background","2","","",""
"Often","2003","Lower Saxony","no migration background","50","0.0298456188307751","0.0216475830275366","0.0380436546340137"
"Often","2003","Lower Saxony","direct migration background","16","","",""
"Often","2003","Lower Saxony","indirect migration background","9","","",""
"Often","2003","Bremen","no migration background","4","","",""
"Often","2003","Bremen","direct migration background","","","",""
"Often","2003","Bremen","indirect migration background","","","",""
"Often","2003","North Rhine-Westphalia","no migration background","116","0.0297830837000333","0.0243190590418576","0.035247108358209"
"Often","2003","North Rhine-Westphalia","direct migration background","29","","",""
"Often","2003","North Rhine-Westphalia","indirect migration background","26","","",""
"Often","2003","Hesse","no migration background","36","0.032202722947569","0.0221428101888586","0.0422626357062795"
"Often","2003","Hesse","direct migration background","11","","",""
"Often","2003","Hesse","indirect migration background","3","","",""
"Often","2003","Rhineland-Palatinate,Saarland","no migration background","13","","",""
"Often","2003","Rhineland-Palatinate,Saarland","direct migration background","11","","",""
"Often","2003","Rhineland-Palatinate,Saarland","indirect migration background","5","","",""
"Often","2003","Baden-Württemberg","no migration background","48","0.0199750732469241","0.0136888261488054","0.0262613203450427"
"Often","2003","Baden-Württemberg","direct migration background","11","","",""
"Often","2003","Baden-Württemberg","indirect migration background","13","","",""
"Often","2003","Bavaria","no migration background","68","0.0235802954123625","0.0177634410858782","0.0293971497388467"
"Often","2003","Bavaria","direct migration background","16","","",""
"Often","2003","Bavaria","indirect migration background","11","","",""
"Often","2003","Berlin","no migration background","32","0.0350803820591601","0.0216322683916793","0.0485284957266408"
"Often","2003","Berlin","direct migration background","3","","",""
"Often","2003","Berlin","indirect migration background","","","",""
"Often","2003","Brandenburg","no migration background","15","","",""
"Often","2003","Brandenburg","direct migration background","","","",""
"Often","2003","Brandenburg","indirect migration background","","","",""
"Often","2003","Mecklenburg-Western Pomerania","no migration background","15","","",""
"Often","2003","Mecklenburg-Western Pomerania","direct migration background","","","",""
