"pld0044","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","vocational + Abi","480","0.413036167627861","0.38468923411498","0.441383101140743","5"
"Never","2003","higher education","2044","0.450993732660951","0.436188093167357","0.465799372154545","5"
"Never","2003","middle vocational","6046","0.554470806737745","0.545221674040149","0.563719939435342","5"
"Never","2003","higher vocational","868","0.503250496424433","0.479341889220467","0.527159103628398","5"
"Never","2003","in school","108","0.197641126540963","0.166194017595593","0.229088235486334","5"
"Never","2003","inadequately","160","0.648733886674195","0.590820460721847","0.706647312626543","5"
"Never","2003","general elemantary","1528","0.591523922616334","0.573088346625071","0.609959498607598","5"
"Often","2003","higher education","88","0.0247236264790497","0.0201032942553767","0.0293439587027226","2"
"Often","2003","middle vocational","230","0.0212136577160024","0.0185321730767509","0.0238951423552539","2"
"Often","2003","vocational + Abi","24","","","","2"
"Often","2003","higher vocational","26","","","","2"
"Often","2003","in school","114","0.151047038626875","0.122768585040891","0.179325492212859","2"
"Often","2003","inadequately","7","","","","2"
"Often","2003","general elemantary","130","0.0439985863160225","0.0363066466411762","0.0516905259908689","2"
"Rarely","2003","higher education","1621","0.379636589278935","0.3651968156478","0.39407636291007","4"
"Rarely","2003","in school","179","0.284826708181615","0.249185391966494","0.320468024396735","4"
"Rarely","2003","middle vocational","3418","0.296591333590806","0.288091573449996","0.305091093731616","4"
"Rarely","2003","vocational + Abi","446","0.368662448241771","0.340887603794111","0.396437292689431","4"
"Rarely","2003","higher vocational","597","0.352252929529277","0.329411489217705","0.37509436984085","4"
"Rarely","2003","inadequately","52","0.172251094491063","0.126441321463151","0.218060867518974","4"
"Rarely","2003","general elemantary","679","0.234694741937802","0.218799897953346","0.250589585922258","4"
"Sometimes","2003","higher education","574","0.142020671849695","0.131634214084029","0.152407129615361","3"
"Sometimes","2003","vocational + Abi","203","0.1885146903493","0.165997235341402","0.211032145357198","3"
"Sometimes","2003","middle vocational","1349","0.122221504305767","0.116126277571689","0.128316731039846","3"
"Sometimes","2003","in school","191","0.335037065020955","0.297763332710408","0.372310797331502","3"
"Sometimes","2003","inadequately","42","0.154449520671574","0.110607466959258","0.19829157438389","3"
"Sometimes","2003","general elemantary","366","0.120082934769719","0.107891670154121","0.132274199385318","3"
