"pld0044","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","1-pers.-HH","5","","",""
"Very often","2003","lower secondary degree","(Married) couple without C. ","8","","",""
"Very often","2003","lower secondary degree","Single parent ","3","","",""
"Very often","2003","lower secondary degree","Couple + C. LE 16 ","4","","",""
"Very often","2003","lower secondary degree","Couple + C. GT 16 ","1","","",""
"Very often","2003","lower secondary degree","Couple + C. LE and GT 16","2","","",""
"Very often","2003","secondary school degree","1-pers.-HH","4","","",""
"Very often","2003","secondary school degree","(Married) couple without C. ","3","","",""
"Very often","2003","secondary school degree","Single parent ","1","","",""
"Very often","2003","secondary school degree","Couple + C. LE 16 ","3","","",""
"Very often","2003","secondary school degree","Couple + C. GT 16 ","12","","",""
"Very often","2003","secondary school degree","Couple + C. LE and GT 16","7","","",""
"Very often","2003","college entrance qualification","1-pers.-HH","7","","",""
"Very often","2003","college entrance qualification","(Married) couple without C. ","6","","",""
"Very often","2003","college entrance qualification","Single parent ","1","","",""
"Very often","2003","college entrance qualification","Couple + C. LE 16 ","4","","",""
"Very often","2003","college entrance qualification","Couple + C. GT 16 ","9","","",""
"Very often","2003","college entrance qualification","Couple + C. LE and GT 16","4","","",""
"Very often","2003","Other degree","1-pers.-HH","1","","",""
"Very often","2003","Other degree","(Married) couple without C. ","2","","",""
"Very often","2003","Other degree","Single parent ","2","","",""
"Very often","2003","Other degree","Couple + C. LE 16 ","5","","",""
"Very often","2003","Other degree","Couple + C. GT 16 ","3","","",""
"Very often","2003","Other degree","Couple + C. LE and GT 16","1","","",""
"Very often","2003","no degree/no degree yet","1-pers.-HH","","","",""
"Very often","2003","no degree/no degree yet","(Married) couple without C. ","","","",""
"Very often","2003","no degree/no degree yet","Single parent ","2","","",""
"Very often","2003","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Very often","2003","no degree/no degree yet","Couple + C. GT 16 ","13","","",""
"Very often","2003","no degree/no degree yet","Couple + C. LE and GT 16","9","","",""
"Often","2003","lower secondary degree","1-pers.-HH","23","","",""
"Often","2003","lower secondary degree","(Married) couple without C. ","26","","",""
"Often","2003","lower secondary degree","Single parent ","6","","",""
"Often","2003","lower secondary degree","Couple + C. LE 16 ","29","","",""
"Often","2003","lower secondary degree","Couple + C. GT 16 ","28","","",""
"Often","2003","lower secondary degree","Couple + C. LE and GT 16","22","","",""
"Often","2003","secondary school degree","1-pers.-HH","22","","",""
"Often","2003","secondary school degree","(Married) couple without C. ","20","","",""
"Often","2003","secondary school degree","Single parent ","12","","",""
"Often","2003","secondary school degree","Couple + C. LE 16 ","20","","",""
"Often","2003","secondary school degree","Couple + C. GT 16 ","36","0.0394740953156151","0.028479855618008","0.0504683350132221"
"Often","2003","secondary school degree","Couple + C. LE and GT 16","24","","",""
"Often","2003","college entrance qualification","1-pers.-HH","39","0.0460816659845309","0.0312438461708048","0.060919485798257"
"Often","2003","college entrance qualification","(Married) couple without C. ","28","","",""
"Often","2003","college entrance qualification","Single parent ","8","","",""
"Often","2003","college entrance qualification","Couple + C. LE 16 ","34","0.0418716667232324","0.0310128560020971","0.0527304774443677"
"Often","2003","college entrance qualification","Couple + C. GT 16 ","50","0.0519494628207963","0.0380479194170814","0.0658510062245111"
"Often","2003","college entrance qualification","Couple + C. LE and GT 16","18","","",""
"Often","2003","Other degree","1-pers.-HH","1","","",""
"Often","2003","Other degree","(Married) couple without C. ","12","","",""
"Often","2003","Other degree","Single parent ","2","","",""
"Often","2003","Other degree","Couple + C. LE 16 ","10","","",""
"Often","2003","Other degree","Couple + C. GT 16 ","7","","",""
"Often","2003","Other degree","Couple + C. LE and GT 16","2","","",""
"Often","2003","no degree/no degree yet","1-pers.-HH","1","","",""
"Often","2003","no degree/no degree yet","(Married) couple without C. ","2","","",""
"Often","2003","no degree/no degree yet","Single parent ","16","","",""
