"pld0044","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","West Germany","76","0.00550942850639053","0.00426181164336528","0.00675704536941578"
"Very often","2003","no migration background","East Germany","8","","",""
"Very often","2003","direct migration background","West Germany","29","","",""
"Very often","2003","direct migration background","East Germany","1","","",""
"Very often","2003","indirect migration background","West Germany","13","","",""
"Very often","2003","indirect migration background","East Germany","","","",""
"Often","2003","no migration background","West Germany","368","0.0251618603553109","0.022522095423123","0.0278016252874987"
"Often","2003","no migration background","East Germany","103","0.0182069510428676","0.0145737326357956","0.0218401694499397"
"Often","2003","direct migration background","West Germany","99","0.0437310984641786","0.0357165980705261","0.0517455988578312"
"Often","2003","direct migration background","East Germany","1","","",""
"Often","2003","indirect migration background","West Germany","69","0.100265294247211","0.0787982760937542","0.121732312400668"
"Often","2003","indirect migration background","East Germany","2","","",""
"Sometimes","2003","no migration background","West Germany","1775","0.127572268258878","0.121949237037086","0.13319529948067"
"Sometimes","2003","no migration background","East Germany","542","0.101741022235","0.0935259431478682","0.109956101322132"
"Sometimes","2003","direct migration background","West Germany","457","0.200745382390118","0.185046938526719","0.216443826253517"
"Sometimes","2003","direct migration background","East Germany","11","","",""
"Sometimes","2003","indirect migration background","West Germany","186","0.244147269126632","0.2134440650379","0.274850473215365"
"Sometimes","2003","indirect migration background","East Germany","10","","",""
"Rarely","2003","no migration background","West Germany","4495","0.31976248114864","0.311901592059508","0.327623370237773"
"Rarely","2003","no migration background","East Germany","1591","0.284821360106668","0.272556673296554","0.297086046916783"
"Rarely","2003","direct migration background","West Germany","680","0.267138384304388","0.249797534347139","0.284479234261638"
"Rarely","2003","direct migration background","East Germany","30","0.299734923209688","0.212519143858353","0.386950702561023"
"Rarely","2003","indirect migration background","West Germany","260","0.3324881427989","0.298817086254749","0.366159199343052"
"Rarely","2003","indirect migration background","East Germany","11","","",""
"Never","2003","no migration background","West Germany","6808","0.521993961730781","0.513574640959337","0.530413282502224"
"Never","2003","no migration background","East Germany","2958","0.593844215348319","0.58049838795107","0.607190042745568"
"Never","2003","direct migration background","West Germany","1236","0.477530151816861","0.457954228251593","0.497106075382129"
"Never","2003","direct migration background","East Germany","63","0.568431900035958","0.474143330436873","0.662720469635043"
"Never","2003","indirect migration background","West Germany","224","0.302177843780733","0.269357520322853","0.334998167238613"
"Never","2003","indirect migration background","East Germany","9","","",""
"Very often","2004","no migration background","West Germany","","","",""
"Very often","2004","no migration background","East Germany","","","",""
"Very often","2004","direct migration background","West Germany","","","",""
"Very often","2004","direct migration background","East Germany","","","",""
"Very often","2004","indirect migration background","West Germany","","","",""
"Very often","2004","indirect migration background","East Germany","","","",""
"Often","2004","no migration background","West Germany","","","",""
"Often","2004","no migration background","East Germany","","","",""
"Often","2004","direct migration background","West Germany","","","",""
"Often","2004","direct migration background","East Germany","","","",""
"Often","2004","indirect migration background","West Germany","","","",""
"Often","2004","indirect migration background","East Germany","","","",""
"Sometimes","2004","no migration background","West Germany","","","",""
"Sometimes","2004","no migration background","East Germany","","","",""
"Sometimes","2004","direct migration background","West Germany","","","",""
"Sometimes","2004","direct migration background","East Germany","","","",""
"Sometimes","2004","indirect migration background","West Germany","","","",""
"Sometimes","2004","indirect migration background","East Germany","","","",""
"Rarely","2004","no migration background","West Germany","","","",""
"Rarely","2004","no migration background","East Germany","","","",""
"Rarely","2004","direct migration background","West Germany","","","",""
"Rarely","2004","direct migration background","East Germany","","","",""
"Rarely","2004","indirect migration background","West Germany","","","",""
"Rarely","2004","indirect migration background","East Germany","","","",""
"Never","2004","no migration background","West Germany","","","",""
"Never","2004","no migration background","East Germany","","","",""
"Never","2004","direct migration background","West Germany","","","",""
"Never","2004","direct migration background","East Germany","","","",""
"Never","2004","indirect migration background","West Germany","","","",""
"Never","2004","indirect migration background","East Germany","","","",""
"Very often","2005","no migration background","West Germany","","","",""
"Very often","2005","no migration background","East Germany","","","",""
