"pld0044","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","Employed","middle vocational","3237","0.464122695105472","0.452384393683692","0.475860996527253","5"
"Never","2003","Employed","vocational + Abi","313","0.336247108927964","0.304854966433554","0.367639251422374","5"
"Never","2003","Employed","higher vocational","559","0.435040829151414","0.406990949102535","0.463090709200294","5"
"Never","2003","Employed","higher education","1479","0.406209807040784","0.389655263210267","0.422764350871302","5"
"Never","2003","Not Employed","general elemantary","1004","0.702968782732684","0.679672858711258","0.72626470675411","5"
"Never","2003","Not Employed","middle vocational","2809","0.68728369955357","0.673194156368677","0.701373242738463","5"
"Never","2003","Not Employed","vocational + Abi","167","0.607009056219645","0.550698732227714","0.663319380211577","5"
"Never","2003","Not Employed","higher vocational","309","0.635755688781876","0.59270610185343","0.678805275710321","5"
"Never","2003","Not Employed","higher education","565","0.569918177443739","0.538567485207254","0.601268869680223","5"
"Never","2003","Employed","in school","10","","","","5"
"Never","2003","Employed","inadequately","55","0.49165032625401","0.396479333666464","0.586821318841556","5"
"Never","2003","Employed","general elemantary","524","0.438813613382232","0.411336812576796","0.466290414187668","5"
"Never","2003","Not Employed","in school","98","0.213899930491502","0.177921512978827","0.249878348004177","5"
"Never","2003","Not Employed","inadequately","105","0.746604000880316","0.678129752297031","0.815078249463601","5"
"Often","2003","Not Employed","in school","87","0.145475465866985","0.114540120805095","0.176410810928875","2"
"Often","2003","Not Employed","inadequately","2","","","","2"
"Often","2003","Not Employed","general elemantary","35","0.0237380129666399","0.0159770386709149","0.031498987262365","2"
"Often","2003","Not Employed","middle vocational","58","0.0118675661066127","0.00857645883636768","0.0151586733768577","2"
"Often","2003","Not Employed","vocational + Abi","2","","","","2"
"Often","2003","Not Employed","higher vocational","6","","","","2"
"Often","2003","Not Employed","higher education","14","","","","2"
"Often","2003","Employed","in school","27","","","","2"
"Often","2003","Employed","inadequately","5","","","","2"
"Often","2003","Employed","general elemantary","95","0.0717611804654007","0.0574706876447153","0.0860516732860862","2"
"Often","2003","Employed","middle vocational","172","0.0275714872169496","0.0237174570392025","0.0314255173946967","2"
"Often","2003","Employed","vocational + Abi","22","","","","2"
"Often","2003","Employed","higher vocational","20","","","","2"
"Often","2003","Employed","higher education","74","0.0285503746253591","0.0229367734581324","0.0341639757925858","2"
"Rarely","2003","Not Employed","higher education","287","0.319185555864099","0.28966657686661","0.348704534861588","4"
"Rarely","2003","Employed","vocational + Abi","364","0.410408030276597","0.377721248055079","0.443094812498114","4"
"Rarely","2003","Employed","higher vocational","467","0.393823810872244","0.366179364955083","0.421468256789404","4"
"Rarely","2003","Employed","higher education","1334","0.402400913207938","0.385871404445937","0.418930421969938","4"
"Rarely","2003","Not Employed","higher vocational","130","0.271496669470564","0.231711107550015","0.311282231391112","4"
"Rarely","2003","Employed","in school","30","0.301171428844908","0.218043421325834","0.384299436363982","4"
"Rarely","2003","Employed","inadequately","25","","","","4"
"Rarely","2003","Employed","general elemantary","390","0.309204108878828","0.28361412238959","0.334794095368066","4"
"Rarely","2003","Employed","middle vocational","2465","0.348290132197363","0.337076303800939","0.359503960593788","4"
"Rarely","2003","Not Employed","in school","149","0.281692057246369","0.24222448130085","0.321159633191887","4"
"Rarely","2003","Not Employed","inadequately","27","","","","4"
"Rarely","2003","Not Employed","general elemantary","289","0.180319329971536","0.160719407059906","0.199919252883165","4"
"Rarely","2003","Not Employed","middle vocational","953","0.220593430878838","0.207991649256082","0.233195212501593","4"
"Rarely","2003","Not Employed","vocational + Abi","82","0.263211082248518","0.212439254551643","0.313982909945392","4"
"Sometimes","2003","Employed","vocational + Abi","167","0.215689147292128","0.188358700990297","0.243019593593959","3"
"Sometimes","2003","Employed","higher vocational","150","0.145304152665538","0.125365202952645","0.165243102378431","3"
"Sometimes","2003","Not Employed","higher education","90","0.0954609030801505","0.0768532424238465","0.114068563736454","3"
"Sometimes","2003","Employed","in school","40","0.317977676406054","0.233595102031159","0.402360250780949","3"
"Sometimes","2003","Employed","middle vocational","1023","0.152650023580156","0.144184847013115","0.161115200147198","3"
"Sometimes","2003","Employed","general elemantary","224","0.161977433277929","0.141577550646552","0.182377315909307","3"
"Sometimes","2003","Employed","inadequately","21","","","","3"
"Sometimes","2003","Employed","higher education","484","0.159553898305163","0.147210516892476","0.171897279717851","3"
"Sometimes","2003","Not Employed","in school","151","0.338308777617213","0.296795967021576","0.379821588212851","3"
"Sometimes","2003","Not Employed","inadequately","21","","","","3"
"Sometimes","2003","Not Employed","general elemantary","142","0.0895091866756424","0.0749551835598756","0.104063189791409","3"
"Sometimes","2003","Not Employed","middle vocational","326","0.0774911873581128","0.0693654075369914","0.0856169671792343","3"
"Sometimes","2003","Not Employed","vocational + Abi","36","0.119870693426331","0.0824226682882701","0.157318718564392","3"
"Sometimes","2003","Not Employed","higher vocational","35","0.0839138747608758","0.0591104007657992","0.108717348755952","3"
"Very often","2003","Not Employed","in school","14","","","","1"
"Very often","2003","Not Employed","inadequately","","","","","1"
"Very often","2003","Not Employed","general elemantary","8","","","","1"
"Very often","2003","Not Employed","middle vocational","13","","","","1"
"Very often","2003","Not Employed","vocational + Abi","2","","","","1"
"Very often","2003","Not Employed","higher vocational","","","","","1"
"Very often","2003","Not Employed","higher education","2","","","","1"
"Very often","2003","Employed","in school","10","","","","1"
"Very often","2003","Employed","inadequately","","","","","1"
"Very often","2003","Employed","general elemantary","20","","","","1"
"Very often","2003","Employed","middle vocational","37","0.00736566190005854","0.00535306541612215","0.00937825838399494","1"
"Very often","2003","Employed","vocational + Abi","4","","","","1"
"Very often","2003","Employed","higher vocational","4","","","","1"
"Very often","2003","Employed","higher education","10","","","","1"
