"pld0044","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Very often","2003","in school","Urban Area","22","","",""
"Very often","2003","in school","Rural Area","2","","",""
"Very often","2003","inadequately","Urban Area","","","",""
"Very often","2003","inadequately","Rural Area","","","",""
"Very often","2003","general elemantary","Urban Area","22","","",""
"Very often","2003","general elemantary","Rural Area","6","","",""
"Very often","2003","middle vocational","Urban Area","40","0.00635630875594362","0.00450968477593173","0.00820293273595551"
"Very often","2003","middle vocational","Rural Area","10","","",""
"Very often","2003","vocational + Abi","Urban Area","6","","",""
"Very often","2003","vocational + Abi","Rural Area","","","",""
"Very often","2003","higher vocational","Urban Area","4","","",""
"Very often","2003","higher vocational","Rural Area","","","",""
"Very often","2003","higher education","Urban Area","12","","",""
"Very often","2003","higher education","Rural Area","","","",""
"Often","2003","in school","Urban Area","89","0.174065341150351","0.137932101159857","0.210198581140844"
"Often","2003","in school","Rural Area","25","","",""
"Often","2003","inadequately","Urban Area","7","","",""
"Often","2003","inadequately","Rural Area","","","",""
"Often","2003","general elemantary","Urban Area","101","0.0539125308832451","0.0436016462286824","0.0642234155378079"
"Often","2003","general elemantary","Rural Area","29","","",""
"Often","2003","middle vocational","Urban Area","174","0.024538798419832","0.0209438531296315","0.0281337437100325"
"Often","2003","middle vocational","Rural Area","56","0.0146314127522102","0.0109001297544333","0.0183626957499872"
"Often","2003","vocational + Abi","Urban Area","21","","",""
"Often","2003","vocational + Abi","Rural Area","3","","",""
"Often","2003","higher vocational","Urban Area","18","","",""
"Often","2003","higher vocational","Rural Area","8","","",""
"Often","2003","higher education","Urban Area","72","0.0281030152500475","0.0222768182480926","0.0339292122520024"
"Often","2003","higher education","Rural Area","16","","",""
"Sometimes","2003","in school","Urban Area","130","0.305884439030748","0.261973523741577","0.349795354319919"
"Sometimes","2003","in school","Rural Area","61","0.405304713729278","0.336040722746974","0.474568704711582"
"Sometimes","2003","inadequately","Urban Area","38","0.18608247206482","0.132546831169635","0.239618112960005"
"Sometimes","2003","inadequately","Rural Area","4","","",""
"Sometimes","2003","general elemantary","Urban Area","257","0.125721852972304","0.11058569604791","0.140858009896697"
"Sometimes","2003","general elemantary","Rural Area","109","0.108024153542257","0.0876077805523962","0.128440526532117"
"Sometimes","2003","middle vocational","Urban Area","912","0.126982575259468","0.11924608184758","0.134719068671355"
"Sometimes","2003","middle vocational","Rural Area","437","0.112796779730607","0.1029662797452","0.122627279716014"
"Sometimes","2003","vocational + Abi","Urban Area","162","0.204715599723953","0.178221696849949","0.231209502597958"
"Sometimes","2003","vocational + Abi","Rural Area","41","0.125966101273633","0.0862403905036719","0.165691812043595"
"Sometimes","2003","higher vocational","Urban Area","123","0.140806591215962","0.120043325045269","0.161569857386656"
"Sometimes","2003","higher vocational","Rural Area","62","0.0898591251710171","0.0670144362778093","0.112703814064225"
"Sometimes","2003","higher education","Urban Area","431","0.149905135816981","0.137320503226338","0.162489768407623"
"Sometimes","2003","higher education","Rural Area","143","0.119854631218574","0.101835020176626","0.137874242260522"
"Rarely","2003","in school","Urban Area","114","0.273851418645315","0.231355409043083","0.316347428247547"
"Rarely","2003","in school","Rural Area","65","0.31128085299409","0.245957763175661","0.376603942812518"
"Rarely","2003","inadequately","Urban Area","41","0.181735273095896","0.128687567921422","0.234782978270369"
"Rarely","2003","inadequately","Rural Area","11","","",""
"Rarely","2003","general elemantary","Urban Area","462","0.247054298856342","0.227363494367886","0.266745103344797"
"Rarely","2003","general elemantary","Rural Area","217","0.208263928864341","0.181556083535683","0.234971774192999"
"Rarely","2003","middle vocational","Urban Area","2200","0.29919743482369","0.288557538084867","0.309837331562512"
"Rarely","2003","middle vocational","Rural Area","1218","0.291432455142288","0.277311135383777","0.305553774900798"
"Rarely","2003","vocational + Abi","Urban Area","343","0.36336728128004","0.331786226853185","0.394948335706896"
"Rarely","2003","vocational + Abi","Rural Area","103","0.389106067468142","0.33073500460522","0.447477130331063"
"Rarely","2003","higher vocational","Urban Area","394","0.35440952757941","0.325855329946962","0.382963725211858"
"Rarely","2003","higher vocational","Rural Area","203","0.34769558136073","0.309652595893493","0.385738566827966"
"Rarely","2003","higher education","Urban Area","1185","0.389052461604585","0.371865281344402","0.406239641864769"
"Rarely","2003","higher education","Rural Area","436","0.353165213493109","0.326648088116126","0.379682338870092"
"Never","2003","in school","Urban Area","68","0.205264351439719","0.166774519034343","0.243754183845095"
"Never","2003","in school","Rural Area","40","0.179266586649077","0.125151274428294","0.23338189886986"
"Never","2003","inadequately","Urban Area","117","0.601441192018123","0.534090375954289","0.668792008081958"
"Never","2003","inadequately","Rural Area","43","0.836857348745201","0.741765439055645","0.931949258434757"
"Never","2003","general elemantary","Urban Area","1001","0.562798136810394","0.540151550284734","0.585444723336055"
"Never","2003","general elemantary","Rural Area","527","0.652953784546596","0.621644259021693","0.684263310071499"
"Never","2003","middle vocational","Urban Area","3789","0.542924882741067","0.531349794736952","0.554499970745182"
"Never","2003","middle vocational","Rural Area","2257","0.577326411010952","0.561975683232214","0.59267713878969"
"Never","2003","vocational + Abi","Urban Area","359","0.398620414956167","0.366471719991195","0.430769109921139"
"Never","2003","vocational + Abi","Rural Area","121","0.468692610684631","0.408948145843166","0.528437075526096"
"Never","2003","higher vocational","Urban Area","539","0.48246304576855","0.452633858510822","0.512292233026277"
"Never","2003","higher vocational","Rural Area","329","0.547178779754535","0.507415897786628","0.586941661722443"
"Never","2003","higher education","Urban Area","1391","0.429380159633959","0.411930256961049","0.446830062306869"
"Never","2003","higher education","Rural Area","653","0.511757196085711","0.484024588722291","0.539489803449132"
"Very often","2004","in school","Urban Area","","","",""
"Very often","2004","in school","Rural Area","","","",""
"Very often","2004","inadequately","Urban Area","","","",""
"Very often","2004","inadequately","Rural Area","","","",""
"Very often","2004","general elemantary","Urban Area","","","",""
"Very often","2004","general elemantary","Rural Area","","","",""
"Very often","2004","middle vocational","Urban Area","","","",""
"Very often","2004","middle vocational","Rural Area","","","",""
"Very often","2004","vocational + Abi","Urban Area","","","",""
"Very often","2004","vocational + Abi","Rural Area","","","",""
"Very often","2004","higher vocational","Urban Area","","","",""
"Very often","2004","higher vocational","Rural Area","","","",""
"Very often","2004","higher education","Urban Area","","","",""
"Very often","2004","higher education","Rural Area","","","",""
"Often","2004","in school","Urban Area","","","",""
"Often","2004","in school","Rural Area","","","",""
"Often","2004","inadequately","Urban Area","","","",""
"Often","2004","inadequately","Rural Area","","","",""
"Often","2004","general elemantary","Urban Area","","","",""
"Often","2004","general elemantary","Rural Area","","","",""
"Often","2004","middle vocational","Urban Area","","","",""
"Often","2004","middle vocational","Rural Area","","","",""
"Often","2004","vocational + Abi","Urban Area","","","",""
"Often","2004","vocational + Abi","Rural Area","","","",""
"Often","2004","higher vocational","Urban Area","","","",""
"Often","2004","higher vocational","Rural Area","","","",""
"Often","2004","higher education","Urban Area","","","",""
"Often","2004","higher education","Rural Area","","","",""
"Sometimes","2004","in school","Urban Area","","","",""
"Sometimes","2004","in school","Rural Area","","","",""
"Sometimes","2004","inadequately","Urban Area","","","",""
"Sometimes","2004","inadequately","Rural Area","","","",""
"Sometimes","2004","general elemantary","Urban Area","","","",""
"Sometimes","2004","general elemantary","Rural Area","","","",""
"Sometimes","2004","middle vocational","Urban Area","","","",""
"Sometimes","2004","middle vocational","Rural Area","","","",""
"Sometimes","2004","vocational + Abi","Urban Area","","","",""
"Sometimes","2004","vocational + Abi","Rural Area","","","",""
"Sometimes","2004","higher vocational","Urban Area","","","",""
"Sometimes","2004","higher vocational","Rural Area","","","",""
"Sometimes","2004","higher education","Urban Area","","","",""
"Sometimes","2004","higher education","Rural Area","","","",""
"Rarely","2004","in school","Urban Area","","","",""
"Rarely","2004","in school","Rural Area","","","",""
"Rarely","2004","inadequately","Urban Area","","","",""
"Rarely","2004","inadequately","Rural Area","","","",""
"Rarely","2004","general elemantary","Urban Area","","","",""
"Rarely","2004","general elemantary","Rural Area","","","",""
"Rarely","2004","middle vocational","Urban Area","","","",""
"Rarely","2004","middle vocational","Rural Area","","","",""
"Rarely","2004","vocational + Abi","Urban Area","","","",""
"Rarely","2004","vocational + Abi","Rural Area","","","",""
"Rarely","2004","higher vocational","Urban Area","","","",""
"Rarely","2004","higher vocational","Rural Area","","","",""
"Rarely","2004","higher education","Urban Area","","","",""
"Rarely","2004","higher education","Rural Area","","","",""
"Never","2004","in school","Urban Area","","","",""
"Never","2004","in school","Rural Area","","","",""
"Never","2004","inadequately","Urban Area","","","",""
"Never","2004","inadequately","Rural Area","","","",""
"Never","2004","general elemantary","Urban Area","","","",""
"Never","2004","general elemantary","Rural Area","","","",""
"Never","2004","middle vocational","Urban Area","","","",""
"Never","2004","middle vocational","Rural Area","","","",""
"Never","2004","vocational + Abi","Urban Area","","","",""
"Never","2004","vocational + Abi","Rural Area","","","",""
"Never","2004","higher vocational","Urban Area","","","",""
"Never","2004","higher vocational","Rural Area","","","",""
"Never","2004","higher education","Urban Area","","","",""
"Never","2004","higher education","Rural Area","","","",""
"Very often","2005","in school","Urban Area","","","",""
"Very often","2005","in school","Rural Area","","","",""
"Very often","2005","inadequately","Urban Area","","","",""
"Very often","2005","inadequately","Rural Area","","","",""
"Very often","2005","general elemantary","Urban Area","","","",""
"Very often","2005","general elemantary","Rural Area","","","",""
"Very often","2005","middle vocational","Urban Area","","","",""
"Very often","2005","middle vocational","Rural Area","","","",""
"Very often","2005","vocational + Abi","Urban Area","","","",""
"Very often","2005","vocational + Abi","Rural Area","","","",""
"Very often","2005","higher vocational","Urban Area","","","",""
"Very often","2005","higher vocational","Rural Area","","","",""
"Very often","2005","higher education","Urban Area","","","",""
"Very often","2005","higher education","Rural Area","","","",""
"Often","2005","in school","Urban Area","","","",""
"Often","2005","in school","Rural Area","","","",""
"Often","2005","inadequately","Urban Area","","","",""
"Often","2005","inadequately","Rural Area","","","",""
"Often","2005","general elemantary","Urban Area","","","",""
"Often","2005","general elemantary","Rural Area","","","",""
"Often","2005","middle vocational","Urban Area","","","",""
"Often","2005","middle vocational","Rural Area","","","",""
"Often","2005","vocational + Abi","Urban Area","","","",""
"Often","2005","vocational + Abi","Rural Area","","","",""
"Often","2005","higher vocational","Urban Area","","","",""
"Often","2005","higher vocational","Rural Area","","","",""
"Often","2005","higher education","Urban Area","","","",""
"Often","2005","higher education","Rural Area","","","",""
"Sometimes","2005","in school","Urban Area","","","",""
"Sometimes","2005","in school","Rural Area","","","",""
"Sometimes","2005","inadequately","Urban Area","","","",""
"Sometimes","2005","inadequately","Rural Area","","","",""
"Sometimes","2005","general elemantary","Urban Area","","","",""
"Sometimes","2005","general elemantary","Rural Area","","","",""
"Sometimes","2005","middle vocational","Urban Area","","","",""
"Sometimes","2005","middle vocational","Rural Area","","","",""
"Sometimes","2005","vocational + Abi","Urban Area","","","",""
"Sometimes","2005","vocational + Abi","Rural Area","","","",""
"Sometimes","2005","higher vocational","Urban Area","","","",""
"Sometimes","2005","higher vocational","Rural Area","","","",""
"Sometimes","2005","higher education","Urban Area","","","",""
"Sometimes","2005","higher education","Rural Area","","","",""
"Rarely","2005","in school","Urban Area","","","",""
"Rarely","2005","in school","Rural Area","","","",""
"Rarely","2005","inadequately","Urban Area","","","",""
"Rarely","2005","inadequately","Rural Area","","","",""
"Rarely","2005","general elemantary","Urban Area","","","",""
"Rarely","2005","general elemantary","Rural Area","","","",""
"Rarely","2005","middle vocational","Urban Area","","","",""
"Rarely","2005","middle vocational","Rural Area","","","",""
"Rarely","2005","vocational + Abi","Urban Area","","","",""
"Rarely","2005","vocational + Abi","Rural Area","","","",""
"Rarely","2005","higher vocational","Urban Area","","","",""
"Rarely","2005","higher vocational","Rural Area","","","",""
"Rarely","2005","higher education","Urban Area","","","",""
"Rarely","2005","higher education","Rural Area","","","",""
"Never","2005","in school","Urban Area","","","",""
"Never","2005","in school","Rural Area","","","",""
"Never","2005","inadequately","Urban Area","","","",""
"Never","2005","inadequately","Rural Area","","","",""
"Never","2005","general elemantary","Urban Area","","","",""
"Never","2005","general elemantary","Rural Area","","","",""
"Never","2005","middle vocational","Urban Area","","","",""
"Never","2005","middle vocational","Rural Area","","","",""
"Never","2005","vocational + Abi","Urban Area","","","",""
"Never","2005","vocational + Abi","Rural Area","","","",""
"Never","2005","higher vocational","Urban Area","","","",""
"Never","2005","higher vocational","Rural Area","","","",""
"Never","2005","higher education","Urban Area","","","",""
"Never","2005","higher education","Rural Area","","","",""
"Very often","2006","in school","Urban Area","","","",""
"Very often","2006","in school","Rural Area","","","",""
"Very often","2006","inadequately","Urban Area","","","",""
"Very often","2006","inadequately","Rural Area","","","",""
"Very often","2006","general elemantary","Urban Area","","","",""
"Very often","2006","general elemantary","Rural Area","","","",""
"Very often","2006","middle vocational","Urban Area","","","",""
"Very often","2006","middle vocational","Rural Area","","","",""
"Very often","2006","vocational + Abi","Urban Area","","","",""
"Very often","2006","vocational + Abi","Rural Area","","","",""
"Very often","2006","higher vocational","Urban Area","","","",""
"Very often","2006","higher vocational","Rural Area","","","",""
"Very often","2006","higher education","Urban Area","","","",""
"Very often","2006","higher education","Rural Area","","","",""
"Often","2006","in school","Urban Area","","","",""
"Often","2006","in school","Rural Area","","","",""
"Often","2006","inadequately","Urban Area","","","",""
"Often","2006","inadequately","Rural Area","","","",""
"Often","2006","general elemantary","Urban Area","","","",""
"Often","2006","general elemantary","Rural Area","","","",""
"Often","2006","middle vocational","Urban Area","","","",""
"Often","2006","middle vocational","Rural Area","","","",""
"Often","2006","vocational + Abi","Urban Area","","","",""
"Often","2006","vocational + Abi","Rural Area","","","",""
"Often","2006","higher vocational","Urban Area","","","",""
"Often","2006","higher vocational","Rural Area","","","",""
"Often","2006","higher education","Urban Area","","","",""
"Often","2006","higher education","Rural Area","","","",""
"Sometimes","2006","in school","Urban Area","","","",""
"Sometimes","2006","in school","Rural Area","","","",""
"Sometimes","2006","inadequately","Urban Area","","","",""
"Sometimes","2006","inadequately","Rural Area","","","",""
"Sometimes","2006","general elemantary","Urban Area","","","",""
"Sometimes","2006","general elemantary","Rural Area","","","",""
"Sometimes","2006","middle vocational","Urban Area","","","",""
"Sometimes","2006","middle vocational","Rural Area","","","",""
"Sometimes","2006","vocational + Abi","Urban Area","","","",""
"Sometimes","2006","vocational + Abi","Rural Area","","","",""
"Sometimes","2006","higher vocational","Urban Area","","","",""
"Sometimes","2006","higher vocational","Rural Area","","","",""
"Sometimes","2006","higher education","Urban Area","","","",""
"Sometimes","2006","higher education","Rural Area","","","",""
"Rarely","2006","in school","Urban Area","","","",""
"Rarely","2006","in school","Rural Area","","","",""
"Rarely","2006","inadequately","Urban Area","","","",""
"Rarely","2006","inadequately","Rural Area","","","",""
"Rarely","2006","general elemantary","Urban Area","","","",""
"Rarely","2006","general elemantary","Rural Area","","","",""
"Rarely","2006","middle vocational","Urban Area","","","",""
"Rarely","2006","middle vocational","Rural Area","","","",""
"Rarely","2006","vocational + Abi","Urban Area","","","",""
"Rarely","2006","vocational + Abi","Rural Area","","","",""
"Rarely","2006","higher vocational","Urban Area","","","",""
"Rarely","2006","higher vocational","Rural Area","","","",""
"Rarely","2006","higher education","Urban Area","","","",""
"Rarely","2006","higher education","Rural Area","","","",""
"Never","2006","in school","Urban Area","","","",""
"Never","2006","in school","Rural Area","","","",""
"Never","2006","inadequately","Urban Area","","","",""
"Never","2006","inadequately","Rural Area","","","",""
"Never","2006","general elemantary","Urban Area","","","",""
"Never","2006","general elemantary","Rural Area","","","",""
"Never","2006","middle vocational","Urban Area","","","",""
"Never","2006","middle vocational","Rural Area","","","",""
"Never","2006","vocational + Abi","Urban Area","","","",""
"Never","2006","vocational + Abi","Rural Area","","","",""
"Never","2006","higher vocational","Urban Area","","","",""
"Never","2006","higher vocational","Rural Area","","","",""
"Never","2006","higher education","Urban Area","","","",""
"Never","2006","higher education","Rural Area","","","",""
"Very often","2007","in school","Urban Area","","","",""
"Very often","2007","in school","Rural Area","","","",""
"Very often","2007","inadequately","Urban Area","","","",""
"Very often","2007","inadequately","Rural Area","","","",""
"Very often","2007","general elemantary","Urban Area","","","",""
"Very often","2007","general elemantary","Rural Area","","","",""
"Very often","2007","middle vocational","Urban Area","","","",""
"Very often","2007","middle vocational","Rural Area","","","",""
"Very often","2007","vocational + Abi","Urban Area","","","",""
