"pld0044","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2003","no migration background","in school","16","","",""
"Very often","2003","no migration background","inadequately","","","",""
"Very often","2003","no migration background","general elemantary","17","","",""
"Very often","2003","no migration background","middle vocational","35","0.0044365150143369","0.00312057882387551","0.0057524512047983"
"Very often","2003","no migration background","vocational + Abi","4","","",""
"Very often","2003","no migration background","higher vocational","2","","",""
"Very often","2003","no migration background","higher education","8","","",""
"Very often","2003","direct migration background","in school","3","","",""
"Very often","2003","direct migration background","inadequately","","","",""
"Very often","2003","direct migration background","general elemantary","7","","",""
"Very often","2003","direct migration background","middle vocational","12","","",""
"Very often","2003","direct migration background","vocational + Abi","2","","",""
"Very often","2003","direct migration background","higher vocational","1","","",""
"Very often","2003","direct migration background","higher education","4","","",""
"Very often","2003","indirect migration background","in school","5","","",""
"Very often","2003","indirect migration background","inadequately","","","",""
"Very often","2003","indirect migration background","general elemantary","4","","",""
"Very often","2003","indirect migration background","middle vocational","3","","",""
"Very often","2003","indirect migration background","vocational + Abi","","","",""
"Very often","2003","indirect migration background","higher vocational","1","","",""
"Very often","2003","indirect migration background","higher education","","","",""
"Often","2003","no migration background","in school","97","0.176813656162908","0.143204897477284","0.210422414848531"
"Often","2003","no migration background","inadequately","2","","",""
"Often","2003","no migration background","general elemantary","77","0.0351243470227388","0.0268313294128274","0.0434173646326501"
"Often","2003","no migration background","middle vocational","184","0.0191905940163129","0.0164740553348126","0.0219071326978133"
"Often","2003","no migration background","vocational + Abi","10","","",""
"Often","2003","no migration background","higher vocational","18","","",""
"Often","2003","no migration background","higher education","69","0.0204373614461211","0.0160012818244462","0.0248734410677961"
"Often","2003","direct migration background","in school","2","","",""
"Often","2003","direct migration background","inadequately","4","","",""
"Often","2003","direct migration background","general elemantary","26","","",""
"Often","2003","direct migration background","middle vocational","30","0.0300818546367664","0.019321408977198","0.0408423002963348"
"Often","2003","direct migration background","vocational + Abi","11","","",""
"Often","2003","direct migration background","higher vocational","7","","",""
"Often","2003","direct migration background","higher education","15","","",""
"Often","2003","indirect migration background","in school","15","","",""
"Often","2003","indirect migration background","inadequately","1","","",""
"Often","2003","indirect migration background","general elemantary","27","","",""
"Often","2003","indirect migration background","middle vocational","16","","",""
"Often","2003","indirect migration background","vocational + Abi","3","","",""
"Often","2003","indirect migration background","higher vocational","1","","",""
"Often","2003","indirect migration background","higher education","4","","",""
"Sometimes","2003","no migration background","in school","156","0.348373922791619","0.306401161739631","0.390346683843607"
"Sometimes","2003","no migration background","inadequately","17","","",""
"Sometimes","2003","no migration background","general elemantary","221","0.0953276477152856","0.0820986213696806","0.108556674060891"
"Sometimes","2003","no migration background","middle vocational","1085","0.10906345776654","0.102891223649666","0.115235691883414"
"Sometimes","2003","no migration background","vocational + Abi","147","0.181070429691498","0.15568590703219","0.206454952350807"
"Sometimes","2003","no migration background","higher vocational","157","0.1181196380626","0.101764727110196","0.134474549015004"
