"pld0044","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","Not Employed","lower secondary degree","8","","",""
"Very often","2003","Not Employed","secondary school degree","5","","",""
"Very often","2003","Not Employed","college entrance qualification","8","","",""
"Very often","2003","Not Employed","Other degree","4","","",""
"Very often","2003","Not Employed","no degree/no degree yet","14","","",""
"Very often","2003","Employed","lower secondary degree","15","","",""
"Very often","2003","Employed","secondary school degree","25","","",""
"Very often","2003","Employed","college entrance qualification","23","","",""
"Very often","2003","Employed","Other degree","11","","",""
"Very often","2003","Employed","no degree/no degree yet","10","","",""
"Often","2003","Not Employed","lower secondary degree","42","0.00991327181778572","0.00686436434602965","0.0129621792895418"
"Often","2003","Not Employed","secondary school degree","24","","",""
"Often","2003","Not Employed","college entrance qualification","36","0.0262523645104662","0.0173497030523308","0.0351550259686016"
"Often","2003","Not Employed","Other degree","13","","",""
"Often","2003","Not Employed","no degree/no degree yet","89","0.0975332171339163","0.0749330847024874","0.120133349565345"
"Often","2003","Employed","lower secondary degree","103","0.0272789439515336","0.0221126252084639","0.0324452626946033"
"Often","2003","Employed","secondary school degree","115","0.0287119985716683","0.0240213388629309","0.0334026582804057"
"Often","2003","Employed","college entrance qualification","143","0.0420051677161927","0.0359246444865096","0.0480856909458759"
"Often","2003","Employed","Other degree","22","","",""
"Often","2003","Employed","no degree/no degree yet","30","0.0920696879539636","0.0545408375683469","0.12959853833958"
"Sometimes","2003","Not Employed","lower secondary degree","231","0.0589362874467838","0.0516885906092788","0.0661839842842888"
"Sometimes","2003","Not Employed","secondary school degree","144","0.0952292180723054","0.0806445117856148","0.109813924358996"
"Sometimes","2003","Not Employed","college entrance qualification","189","0.153093835653723","0.133044086803596","0.173143584503851"
"Sometimes","2003","Not Employed","Other degree","63","0.128053668139418","0.0986764420319567","0.157430894246879"
"Sometimes","2003","Not Employed","no degree/no degree yet","173","0.26264970270801","0.229126578751441","0.29617282666458"
"Sometimes","2003","Employed","lower secondary degree","506","0.139522999200522","0.128533806300158","0.150512192100885"
"Sometimes","2003","Employed","secondary school degree","639","0.136916928610574","0.127261243880498","0.146572613340649"
"Sometimes","2003","Employed","college entrance qualification","752","0.197806594819939","0.185732128782077","0.209881060857801"
"Sometimes","2003","Employed","Other degree","144","0.205339641686342","0.176116477684019","0.234562805688665"
"Sometimes","2003","Employed","no degree/no degree yet","63","0.263621212833691","0.206431030779143","0.320811394888239"
"Rarely","2003","Not Employed","lower secondary degree","789","0.186271169414458","0.17428965291607","0.198252685912847"
"Rarely","2003","Not Employed","secondary school degree","457","0.299496559964699","0.276738022468723","0.322255097460675"
"Rarely","2003","Not Employed","college entrance qualification","398","0.321851192098537","0.295837469774512","0.347864914422562"
"Rarely","2003","Not Employed","Other degree","91","0.185374128658622","0.151209747596201","0.219538509721044"
"Rarely","2003","Not Employed","no degree/no degree yet","179","0.228528470927925","0.196543261049074","0.260513680806777"
"Rarely","2003","Employed","lower secondary degree","1260","0.328321143405828","0.313427411694016","0.343214875117639"
"Rarely","2003","Employed","secondary school degree","1833","0.376567520787643","0.362957952615866","0.39017708895942"
"Rarely","2003","Employed","college entrance qualification","1707","0.411895377321445","0.396976753515117","0.426814001127772"
"Rarely","2003","Employed","Other degree","206","0.269084448606642","0.237001227692382","0.301167669520902"
"Rarely","2003","Employed","no degree/no degree yet","58","0.28288666726523","0.224423706511224","0.341349628019236"
"Never","2003","Not Employed","lower secondary degree","2986","0.743065399443098","0.72961844498584","0.756512353900355"
"Never","2003","Not Employed","secondary school degree","926","0.590438104999167","0.566004347715767","0.614871862282567"
"Never","2003","Not Employed","college entrance qualification","608","0.492800072764774","0.464962112489951","0.520638033039597"
"Never","2003","Not Employed","Other degree","326","0.650143989748623","0.608214522700337","0.692073456796909"
"Never","2003","Not Employed","no degree/no degree yet","207","0.397678190024391","0.360396183540491","0.434960196508291"
"Never","2003","Employed","lower secondary degree","1935","0.499395469616718","0.483537669158522","0.515253270074915"
"Never","2003","Employed","secondary school degree","2257","0.450116118295104","0.436141949619998","0.46409028697021"
"Never","2003","Employed","college entrance qualification","1556","0.342529178637618","0.328144669859708","0.356913687415528"
"Never","2003","Employed","Other degree","351","0.471011330905514","0.434900380126019","0.507122281685009"
"Never","2003","Employed","no degree/no degree yet","67","0.328421753740613","0.267461756949877","0.389381750531349"
"Very often","2004","Not Employed","lower secondary degree","","","",""
"Very often","2004","Not Employed","secondary school degree","","","",""
"Very often","2004","Not Employed","college entrance qualification","","","",""
"Very often","2004","Not Employed","Other degree","","","",""
"Very often","2004","Not Employed","no degree/no degree yet","","","",""
"Very often","2004","Employed","lower secondary degree","","","",""
"Very often","2004","Employed","secondary school degree","","","",""
"Very often","2004","Employed","college entrance qualification","","","",""
"Very often","2004","Employed","Other degree","","","",""
"Very often","2004","Employed","no degree/no degree yet","","","",""
"Often","2004","Not Employed","lower secondary degree","","","",""
"Often","2004","Not Employed","secondary school degree","","","",""
"Often","2004","Not Employed","college entrance qualification","","","",""
"Often","2004","Not Employed","Other degree","","","",""
"Often","2004","Not Employed","no degree/no degree yet","","","",""
"Often","2004","Employed","lower secondary degree","","","",""
"Often","2004","Employed","secondary school degree","","","",""
"Often","2004","Employed","college entrance qualification","","","",""
"Often","2004","Employed","Other degree","","","",""
"Often","2004","Employed","no degree/no degree yet","","","",""
"Sometimes","2004","Not Employed","lower secondary degree","","","",""
"Sometimes","2004","Not Employed","secondary school degree","","","",""
"Sometimes","2004","Not Employed","college entrance qualification","","","",""
"Sometimes","2004","Not Employed","Other degree","","","",""
"Sometimes","2004","Not Employed","no degree/no degree yet","","","",""
"Sometimes","2004","Employed","lower secondary degree","","","",""
"Sometimes","2004","Employed","secondary school degree","","","",""
"Sometimes","2004","Employed","college entrance qualification","","","",""
"Sometimes","2004","Employed","Other degree","","","",""
"Sometimes","2004","Employed","no degree/no degree yet","","","",""
