"pld0044","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","35-65 y.","general elemantary","627","0.640429798199537","0.610293061422341","0.670566534976733","5"
"Never","2003","66 and older","vocational + Abi","80","0.790224094097183","0.709614267035141","0.870833921159226","5"
"Never","2003","66 and older","higher education","367","0.643857727911461","0.604511901036148","0.683203554786775","5"
"Never","2003","35-65 y.","in school","","","","","5"
"Never","2003","35-65 y.","middle vocational","3707","0.565755693760141","0.553697734296716","0.577813653223566","5"
"Never","2003","35-65 y.","vocational + Abi","274","0.429139594826654","0.390021761919417","0.468257427733891","5"
"Never","2003","35-65 y.","inadequately","92","0.623908529149828","0.545602242974661","0.702214815324994","5"
"Never","2003","66 and older","general elemantary","621","0.805018885474075","0.777250922396302","0.832786848551849","5"
"Never","2003","66 and older","middle vocational","1472","0.777579424541792","0.75881059859183","0.796348250491754","5"
"Never","2003","66 and older","higher vocational","174","0.695614714130725","0.637996305921669","0.75323312233978","5"
"Never","2003","66 and older","in school","","","","","5"
"Never","2003","66 and older","inadequately","38","0.855750158813164","0.759324154918169","0.952176162708159","5"
"Never","2003","35-65 y.","higher vocational","604","0.485286477147611","0.456550437711738","0.514022516583483","5"
"Never","2003","35-65 y.","higher education","1498","0.436391182883819","0.419221552462085","0.453560813305552","5"
"Never","2003","16-34 y.","in school","108","0.197641126540963","0.166194017595593","0.229088235486334","5"
"Never","2003","16-34 y.","inadequately","30","0.497286232811315","0.373821925609639","0.620750540012991","5"
"Never","2003","16-34 y.","general elemantary","280","0.283721650725263","0.255425136826689","0.312018164623838","5"
"Never","2003","16-34 y.","middle vocational","867","0.306588385150152","0.289248084897162","0.323928685403141","5"
"Never","2003","16-34 y.","vocational + Abi","126","0.266827703162988","0.225779028096095","0.307876378229881","5"
"Never","2003","16-34 y.","higher vocational","90","0.326616325606646","0.270985308095803","0.382247343117489","5"
"Never","2003","16-34 y.","higher education","179","0.313709087655913","0.275449389356879","0.351968785954947","5"
"Often","2003","66 and older","middle vocational","7","","","","2"
"Often","2003","66 and older","vocational + Abi","","","","","2"
"Often","2003","66 and older","general elemantary","6","","","","2"
"Often","2003","66 and older","in school","","","","","2"
"Often","2003","66 and older","inadequately","","","","","2"
"Often","2003","35-65 y.","in school","","","","","2"
"Often","2003","35-65 y.","inadequately","3","","","","2"
"Often","2003","35-65 y.","general elemantary","22","","","","2"
"Often","2003","66 and older","higher vocational","2","","","","2"
"Often","2003","66 and older","higher education","1","","","","2"
"Often","2003","16-34 y.","in school","114","0.151047038626875","0.122768585040891","0.179325492212859","2"
"Often","2003","35-65 y.","middle vocational","72","0.0135248551194422","0.010714885199682","0.0163348250392025","2"
"Often","2003","35-65 y.","vocational + Abi","12","","","","2"
"Often","2003","35-65 y.","higher vocational","16","","","","2"
"Often","2003","35-65 y.","higher education","64","0.0237544661882019","0.0184823345946548","0.0290265977817491","2"
"Often","2003","16-34 y.","inadequately","4","","","","2"
"Often","2003","16-34 y.","general elemantary","102","0.106247972842221","0.0869053827016882","0.125590562982753","2"
"Often","2003","16-34 y.","middle vocational","151","0.0604064052089467","0.0514466792254879","0.0693661311924056","2"
"Often","2003","16-34 y.","vocational + Abi","12","","","","2"
"Often","2003","16-34 y.","higher vocational","8","","","","2"
"Often","2003","16-34 y.","higher education","23","","","","2"
"Rarely","2003","66 and older","general elemantary","132","0.152365946786499","0.127177994045302","0.177553899527696","4"
"Rarely","2003","66 and older","middle vocational","323","0.176132422948652","0.158940454422199","0.193324391475105","4"
"Rarely","2003","66 and older","in school","","","","","4"
"Rarely","2003","66 and older","inadequately","7","","","","4"
"Rarely","2003","35-65 y.","in school","","","","","4"
"Rarely","2003","35-65 y.","inadequately","28","","","","4"
"Rarely","2003","66 and older","vocational + Abi","15","","","","4"
"Rarely","2003","66 and older","higher vocational","59","0.261295376033325","0.206282250500872","0.316308501565778","4"
"Rarely","2003","66 and older","higher education","155","0.282933724625019","0.245924160952386","0.319943288297653","4"
"Rarely","2003","35-65 y.","general elemantary","221","0.231409734875072","0.204924314849929","0.257895154900214","4"
"Rarely","2003","35-65 y.","middle vocational","2061","0.308358074474346","0.297123397118882","0.319592751829811","4"
"Rarely","2003","35-65 y.","vocational + Abi","235","0.373287462937157","0.335060796537415","0.4115141293369","4"
"Rarely","2003","35-65 y.","higher vocational","424","0.375583300239333","0.347739057020675","0.403427543457992","4"
"Rarely","2003","35-65 y.","higher education","1229","0.394469688485279","0.377549358186107","0.411390018784452","4"
"Rarely","2003","16-34 y.","in school","179","0.284826708181615","0.249185391966494","0.320468024396735","4"
"Rarely","2003","16-34 y.","inadequately","17","","","","4"
"Rarely","2003","16-34 y.","general elemantary","326","0.335640252923025","0.305999825734791","0.365280680111259","4"
"Rarely","2003","16-34 y.","middle vocational","1034","0.383533448229009","0.365246569300942","0.401820327157076","4"
"Rarely","2003","16-34 y.","vocational + Abi","196","0.419265405553982","0.37347083135885","0.465059979749115","4"
"Rarely","2003","16-34 y.","higher vocational","114","0.367805939298273","0.310605239479979","0.425006639116567","4"
"Rarely","2003","16-34 y.","higher education","237","0.419558882397572","0.378867784120864","0.46024998067428","4"
"Sometimes","2003","35-65 y.","general elemantary","100","0.100912739665173","0.0819961635156334","0.119829315814712","3"
"Sometimes","2003","66 and older","general elemantary","23","","","","3"
"Sometimes","2003","66 and older","middle vocational","80","0.0408099685517874","0.0318807653731087","0.0497391717304662","3"
"Sometimes","2003","66 and older","higher education","46","0.0724048507919575","0.0511109599365231","0.0936987416473919","3"
"Sometimes","2003","35-65 y.","middle vocational","637","0.110583147470761","0.102953764125541","0.118212530815982","3"
"Sometimes","2003","35-65 y.","vocational + Abi","93","0.175226338945948","0.14518096466692","0.205271713224977","3"
"Sometimes","2003","35-65 y.","higher vocational","117","0.119389229863129","0.100746066776454","0.138032392949804","3"
"Sometimes","2003","35-65 y.","higher education","406","0.142305950983945","0.130210785813052","0.154401116154839","3"
"Sometimes","2003","66 and older","vocational + Abi","3","","","","3"
"Sometimes","2003","66 and older","higher vocational","10","","","","3"
"Sometimes","2003","35-65 y.","in school","","","","","3"
"Sometimes","2003","35-65 y.","inadequately","24","","","","3"
"Sometimes","2003","66 and older","inadequately","6","","","","3"
"Sometimes","2003","66 and older","in school","","","","","3"
"Sometimes","2003","16-34 y.","in school","191","0.335037065020955","0.297763332710408","0.372310797331502","3"
"Sometimes","2003","16-34 y.","inadequately","12","","","","3"
"Sometimes","2003","16-34 y.","general elemantary","243","0.246004941190094","0.218971461655683","0.273038420724506","3"
"Sometimes","2003","16-34 y.","middle vocational","632","0.232418991028805","0.21653421394759","0.24830376811002","3"
"Sometimes","2003","16-34 y.","vocational + Abi","107","0.264120497502736","0.223205260797732","0.305035734207741","3"
"Sometimes","2003","16-34 y.","higher vocational","58","0.26210263886306","0.209935088637405","0.314270189088715","3"
"Sometimes","2003","16-34 y.","higher education","122","0.210765548010408","0.177135561304889","0.244395534715927","3"
"Very often","2003","16-34 y.","in school","24","","","","1"
"Very often","2003","16-34 y.","inadequately","","","","","1"
"Very often","2003","16-34 y.","general elemantary","24","","","","1"
"Very often","2003","16-34 y.","middle vocational","32","0.017052770383088","0.0121837030330267","0.0219218377331493","1"
"Very often","2003","16-34 y.","vocational + Abi","5","","","","1"
"Very often","2003","16-34 y.","higher vocational","3","","","","1"
"Very often","2003","16-34 y.","higher education","4","","","","1"
"Very often","2003","35-65 y.","in school","","","","","1"
"Very often","2003","35-65 y.","inadequately","","","","","1"
"Very often","2003","35-65 y.","general elemantary","4","","","","1"
"Very often","2003","35-65 y.","middle vocational","14","","","","1"
"Very often","2003","35-65 y.","vocational + Abi","1","","","","1"
"Very often","2003","35-65 y.","higher vocational","1","","","","1"
"Very often","2003","35-65 y.","higher education","8","","","","1"
"Very often","2003","66 and older","in school","","","","","1"
"Very often","2003","66 and older","inadequately","","","","","1"
"Very often","2003","66 and older","general elemantary","","","","","1"
"Very often","2003","66 and older","middle vocational","4","","","","1"
"Very often","2003","66 and older","vocational + Abi","","","","","1"
"Very often","2003","66 and older","higher vocational","","","","","1"
"Very often","2003","66 and older","higher education","","","","","1"
"Never","2004","66 and older","vocational + Abi","","","","","5"
"Never","2004","66 and older","higher education","","","","","5"
"Never","2004","66 and older","higher vocational","","","","","5"
"Never","2004","35-65 y.","in school","","","","","5"
"Never","2004","35-65 y.","inadequately","","","","","5"
"Never","2004","35-65 y.","general elemantary","","","","","5"
"Never","2004","35-65 y.","middle vocational","","","","","5"
"Never","2004","35-65 y.","vocational + Abi","","","","","5"
"Never","2004","66 and older","in school","","","","","5"
"Never","2004","66 and older","inadequately","","","","","5"
"Never","2004","66 and older","general elemantary","","","","","5"
"Never","2004","66 and older","middle vocational","","","","","5"
"Never","2004","35-65 y.","higher vocational","","","","","5"
