"pld0044","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2003","no migration background","Male","4475","0.50223151997924","0.491908585318053","0.512554454640426","5"
"Never","2003","no migration background","Female","5291","0.570775085774872","0.560931151182173","0.580619020367572","5"
"Never","2003","direct migration background","Male","578","0.445408459346976","0.417900069295699","0.472916849398254","5"
"Never","2003","direct migration background","Female","721","0.514524078771292","0.487893175825258","0.541154981717326","5"
"Never","2003","indirect migration background","Male","107","0.319447174250854","0.272192721705518","0.366701626796191","5"
"Never","2003","indirect migration background","Female","126","0.27923004808978","0.235805473279095","0.322654622900465","5"
"Often","2003","direct migration background","Male","57","0.0464325864490227","0.034786326983442","0.0580788459146035","2"
"Often","2003","no migration background","Male","254","0.0292419504655729","0.0257634171412728","0.032720483789873","2"
"Often","2003","no migration background","Female","217","0.0184004245490947","0.0157275728876261","0.0210732762105632","2"
"Often","2003","indirect migration background","Male","38","0.101181446122038","0.0706182516093772","0.131744640634698","2"
"Often","2003","direct migration background","Female","43","0.0385549940064001","0.0282960717977242","0.048813916215076","2"
"Often","2003","indirect migration background","Female","33","0.099076686453792","0.0701575172598682","0.127995855647716","2"
"Rarely","2003","direct migration background","Male","354","0.281520712648232","0.256628607566552","0.306412817729913","4"
"Rarely","2003","no migration background","Male","3025","0.330195322822582","0.320485818799109","0.339904826846054","4"
"Rarely","2003","no migration background","Female","3061","0.295266124684836","0.286193913733955","0.304338335635717","4"
"Rarely","2003","indirect migration background","Male","123","0.295255813586841","0.249025454185416","0.341486172988266","4"
"Rarely","2003","direct migration background","Female","356","0.255890667031429","0.232639498088098","0.27914183597476","4"
"Rarely","2003","indirect migration background","Female","148","0.376427830377108","0.329531335177604","0.423324325576613","4"
"Sometimes","2003","no migration background","Male","1211","0.132358536914938","0.125361991984582","0.139355081845294","3"
"Sometimes","2003","no migration background","Female","1106","0.112216844964056","0.105939496589396","0.118494193338716","3"
"Sometimes","2003","direct migration background","Male","249","0.212417905350818","0.189779658001423","0.235056152700214","3"
"Sometimes","2003","indirect migration background","Male","99","0.257498540538664","0.213183787673009","0.30181329340432","3"
"Sometimes","2003","direct migration background","Female","219","0.183240133062157","0.162626398150312","0.203853867974002","3"
"Sometimes","2003","indirect migration background","Female","97","0.231228976093803","0.190418111685342","0.272039840502264","3"
"Very often","2003","no migration background","Male","47","0.00597266981766752","0.00438185028257759","0.00756348935275746","1"
"Very often","2003","no migration background","Female","37","0.00334152002714125","0.00219379204129021","0.0044892480129923","1"
"Very often","2003","direct migration background","Male","16","","","","1"
"Very often","2003","direct migration background","Female","14","","","","1"
"Very often","2003","indirect migration background","Male","7","","","","1"
"Very often","2003","indirect migration background","Female","6","","","","1"
"Never","2004","no migration background","Male","","","","","5"
"Never","2004","no migration background","Female","","","","","5"
"Never","2004","direct migration background","Male","","","","","5"
"Never","2004","direct migration background","Female","","","","","5"
"Never","2004","indirect migration background","Male","","","","","5"
"Never","2004","indirect migration background","Female","","","","","5"
"Often","2004","no migration background","Female","","","","","2"
"Often","2004","no migration background","Male","","","","","2"
"Often","2004","direct migration background","Male","","","","","2"
"Often","2004","direct migration background","Female","","","","","2"
"Often","2004","indirect migration background","Male","","","","","2"
"Often","2004","indirect migration background","Female","","","","","2"
"Rarely","2004","no migration background","Male","","","","","4"
"Rarely","2004","direct migration background","Male","","","","","4"
"Rarely","2004","no migration background","Female","","","","","4"
"Rarely","2004","indirect migration background","Male","","","","","4"
"Rarely","2004","direct migration background","Female","","","","","4"
"Rarely","2004","indirect migration background","Female","","","","","4"
"Sometimes","2004","no migration background","Female","","","","","3"
"Sometimes","2004","indirect migration background","Male","","","","","3"
"Sometimes","2004","no migration background","Male","","","","","3"
"Sometimes","2004","direct migration background","Male","","","","","3"
"Sometimes","2004","direct migration background","Female","","","","","3"
"Sometimes","2004","indirect migration background","Female","","","","","3"
"Very often","2004","direct migration background","Male","","","","","1"
"Very often","2004","no migration background","Male","","","","","1"
"Very often","2004","no migration background","Female","","","","","1"
"Very often","2004","direct migration background","Female","","","","","1"
"Very often","2004","indirect migration background","Male","","","","","1"
"Very often","2004","indirect migration background","Female","","","","","1"
"Never","2005","direct migration background","Male","","","","","5"
"Never","2005","no migration background","Male","","","","","5"
"Never","2005","no migration background","Female","","","","","5"
"Never","2005","direct migration background","Female","","","","","5"
"Never","2005","indirect migration background","Male","","","","","5"
"Never","2005","indirect migration background","Female","","","","","5"
"Often","2005","no migration background","Male","","","","","2"
"Often","2005","no migration background","Female","","","","","2"
"Often","2005","direct migration background","Male","","","","","2"
"Often","2005","indirect migration background","Male","","","","","2"
"Often","2005","direct migration background","Female","","","","","2"
"Often","2005","indirect migration background","Female","","","","","2"
"Rarely","2005","no migration background","Female","","","","","4"
"Rarely","2005","no migration background","Male","","","","","4"
"Rarely","2005","direct migration background","Male","","","","","4"
"Rarely","2005","direct migration background","Female","","","","","4"
"Rarely","2005","indirect migration background","Male","","","","","4"
"Rarely","2005","indirect migration background","Female","","","","","4"
"Sometimes","2005","no migration background","Male","","","","","3"
"Sometimes","2005","direct migration background","Male","","","","","3"
"Sometimes","2005","direct migration background","Female","","","","","3"
"Sometimes","2005","indirect migration background","Female","","","","","3"
"Sometimes","2005","no migration background","Female","","","","","3"
"Sometimes","2005","indirect migration background","Male","","","","","3"
"Very often","2005","no migration background","Male","","","","","1"
"Very often","2005","no migration background","Female","","","","","1"
"Very often","2005","direct migration background","Male","","","","","1"
"Very often","2005","direct migration background","Female","","","","","1"
"Very often","2005","indirect migration background","Male","","","","","1"
"Very often","2005","indirect migration background","Female","","","","","1"
"Never","2006","no migration background","Female","","","","","5"
"Never","2006","no migration background","Male","","","","","5"
"Never","2006","direct migration background","Female","","","","","5"
"Never","2006","direct migration background","Male","","","","","5"
"Never","2006","indirect migration background","Male","","","","","5"
"Never","2006","indirect migration background","Female","","","","","5"
"Often","2006","no migration background","Male","","","","","2"
"Often","2006","direct migration background","Male","","","","","2"
"Often","2006","no migration background","Female","","","","","2"
"Often","2006","indirect migration background","Male","","","","","2"
"Often","2006","direct migration background","Female","","","","","2"
"Often","2006","indirect migration background","Female","","","","","2"
"Rarely","2006","no migration background","Male","","","","","4"
"Rarely","2006","direct migration background","Male","","","","","4"
"Rarely","2006","no migration background","Female","","","","","4"
