"pld0044","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2003","lower secondary degree","(0) in school","","","",""
"Very often","2003","lower secondary degree","(1a) inadequately completed","","","",""
"Very often","2003","lower secondary degree","(1b) general elementary school","5","","",""
"Very often","2003","lower secondary degree","(1c) basic vocational qualification","18","","",""
"Very often","2003","lower secondary degree","(2b) intermediate general qualification","","","",""
"Very often","2003","lower secondary degree","(2a) intermediate vocational","","","",""
"Very often","2003","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Very often","2003","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","lower secondary degree","(3a) lower tertiary education","","","",""
"Very often","2003","lower secondary degree","(3b) higher tertiary education","","","",""
"Very often","2003","secondary school degree","(0) in school","","","",""
"Very often","2003","secondary school degree","(1a) inadequately completed","","","",""
"Very often","2003","secondary school degree","(1b) general elementary school","","","",""
"Very often","2003","secondary school degree","(1c) basic vocational qualification","","","",""
"Very often","2003","secondary school degree","(2b) intermediate general qualification","19","","",""
"Very often","2003","secondary school degree","(2a) intermediate vocational","10","","",""
"Very often","2003","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Very often","2003","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","secondary school degree","(3a) lower tertiary education","","","",""
"Very often","2003","secondary school degree","(3b) higher tertiary education","1","","",""
"Very often","2003","college entrance qualification","(0) in school","","","",""
"Very often","2003","college entrance qualification","(1a) inadequately completed","","","",""
"Very often","2003","college entrance qualification","(1b) general elementary school","","","",""
"Very often","2003","college entrance qualification","(1c) basic vocational qualification","","","",""
"Very often","2003","college entrance qualification","(2b) intermediate general qualification","","","",""
"Very often","2003","college entrance qualification","(2a) intermediate vocational","","","",""
"Very often","2003","college entrance qualification","(2c_gen) general maturity certificate","16","","",""
"Very often","2003","college entrance qualification","(2c_voc) vocational maturity certificate","6","","",""
"Very often","2003","college entrance qualification","(3a) lower tertiary education","4","","",""
"Very often","2003","college entrance qualification","(3b) higher tertiary education","5","","",""
"Very often","2003","Other degree","(0) in school","","","",""
"Very often","2003","Other degree","(1a) inadequately completed","","","",""
"Very often","2003","Other degree","(1b) general elementary school","4","","",""
"Very often","2003","Other degree","(1c) basic vocational qualification","5","","",""
"Very often","2003","Other degree","(2b) intermediate general qualification","","","",""
"Very often","2003","Other degree","(2a) intermediate vocational","","","",""
"Very often","2003","Other degree","(2c_gen) general maturity certificate","1","","",""
"Very often","2003","Other degree","(2c_voc) vocational maturity certificate","3","","",""
"Very often","2003","Other degree","(3a) lower tertiary education","","","",""
"Very often","2003","Other degree","(3b) higher tertiary education","2","","",""
"Very often","2003","no degree/no degree yet","(0) in school","24","","",""
"Very often","2003","no degree/no degree yet","(1a) inadequately completed","","","",""
"Very often","2003","no degree/no degree yet","(1b) general elementary school","","","",""
"Very often","2003","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Very often","2003","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Very often","2003","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Very often","2003","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Very often","2003","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Very often","2003","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Very often","2003","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Often","2003","lower secondary degree","(0) in school","","","",""
"Often","2003","lower secondary degree","(1a) inadequately completed","","","",""
"Often","2003","lower secondary degree","(1b) general elementary school","64","0.0323904908983525","0.0240530460123699","0.0407279357843351"
"Often","2003","lower secondary degree","(1c) basic vocational qualification","72","0.0132916166999707","0.0103652282082907","0.0162180051916507"
"Often","2003","lower secondary degree","(2b) intermediate general qualification","","","",""
"Often","2003","lower secondary degree","(2a) intermediate vocational","1","","",""
"Often","2003","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"Often","2003","lower secondary degree","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","lower secondary degree","(3a) lower tertiary education","3","","",""
"Often","2003","lower secondary degree","(3b) higher tertiary education","1","","",""
"Often","2003","secondary school degree","(0) in school","","","",""
"Often","2003","secondary school degree","(1a) inadequately completed","","","",""
"Often","2003","secondary school degree","(1b) general elementary school","","","",""
"Often","2003","secondary school degree","(1c) basic vocational qualification","","","",""
"Often","2003","secondary school degree","(2b) intermediate general qualification","55","0.0894900553196613","0.0671824730485522","0.11179763759077"
"Often","2003","secondary school degree","(2a) intermediate vocational","75","0.0168060579342116","0.0132809276557051","0.020331188212718"
"Often","2003","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Often","2003","secondary school degree","(2c_voc) vocational maturity certificate","3","","",""
"Often","2003","secondary school degree","(3a) lower tertiary education","6","","",""
"Often","2003","secondary school degree","(3b) higher tertiary education","","","",""
