"pld0044","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2003","in school","Male","13","","",""
"Very often","2003","in school","Female","11","","",""
"Very often","2003","inadequately","Male","","","",""
"Very often","2003","inadequately","Female","","","",""
"Very often","2003","general elemantary","Male","16","","",""
"Very often","2003","general elemantary","Female","12","","",""
"Very often","2003","middle vocational","Male","31","0.0077148846410957","0.00536044070454831","0.0100693285776431"
"Very often","2003","middle vocational","Female","19","","",""
"Very often","2003","vocational + Abi","Male","4","","",""
"Very often","2003","vocational + Abi","Female","2","","",""
"Very often","2003","higher vocational","Male","1","","",""
"Very often","2003","higher vocational","Female","3","","",""
"Very often","2003","higher education","Male","3","","",""
"Very often","2003","higher education","Female","9","","",""
"Often","2003","in school","Male","56","0.158680325428341","0.117403441222711","0.19995720963397"
"Often","2003","in school","Female","58","0.142619081729916","0.104002970308862","0.181235193150969"
"Often","2003","inadequately","Male","4","","",""
"Often","2003","inadequately","Female","3","","",""
"Often","2003","general elemantary","Male","67","0.0708884988679919","0.0541957840168843","0.0875812137190994"
"Often","2003","general elemantary","Female","63","0.0313341556644316","0.0233367201251655","0.0393315912036977"
"Often","2003","middle vocational","Male","136","0.0286549886081381","0.024165547550738","0.0331444296655381"
"Often","2003","middle vocational","Female","94","0.0140561918346475","0.0110233919871218","0.0170889916821733"
"Often","2003","vocational + Abi","Male","12","","",""
"Often","2003","vocational + Abi","Female","12","","",""
"Often","2003","higher vocational","Male","14","","",""
"Often","2003","higher vocational","Female","12","","",""
"Often","2003","higher education","Male","49","0.0211723566498035","0.0154661647519574","0.0268785485476497"
"Often","2003","higher education","Female","39","0.0295129873903143","0.0218911521976401","0.0371348225829886"
"Sometimes","2003","in school","Male","101","0.342249218617226","0.288648975172219","0.395849462062232"
"Sometimes","2003","in school","Female","90","0.32707408377519","0.275265763946106","0.378882403604274"
"Sometimes","2003","inadequately","Male","18","","",""
"Sometimes","2003","inadequately","Female","24","","",""
"Sometimes","2003","general elemantary","Male","168","0.151035357581951","0.127744296067638","0.174326419096265"
"Sometimes","2003","general elemantary","Female","198","0.105505170284743","0.0914031756406275","0.119607164928858"
"Sometimes","2003","middle vocational","Male","743","0.136960466941617","0.127708834809942","0.146212099073293"
"Sometimes","2003","middle vocational","Female","606","0.108044789989226","0.100047234391039","0.116042345587414"
"Sometimes","2003","vocational + Abi","Male","95","0.207313029641656","0.171197867482666","0.243428191800646"
"Sometimes","2003","vocational + Abi","Female","108","0.173743220978151","0.145160231021808","0.202326210934495"
"Sometimes","2003","higher vocational","Male","100","0.121188520254323","0.10065133948024","0.141725701028406"
"Sometimes","2003","higher vocational","Female","85","0.129175437487496","0.104505149324089","0.153845725650904"
"Sometimes","2003","higher education","Male","299","0.136656042296233","0.123041125058841","0.150270959533625"
"Sometimes","2003","higher education","Female","275","0.149255590152768","0.133207514658539","0.165303665646997"
"Rarely","2003","in school","Male","88","0.29070061931739","0.239402361957982","0.341998876676798"
"Rarely","2003","in school","Female","91","0.278341288315119","0.228847857447698","0.32783471918254"
"Rarely","2003","inadequately","Male","24","","",""
"Rarely","2003","inadequately","Female","28","","",""
"Rarely","2003","general elemantary","Male","251","0.254932304804796","0.226584758737305","0.283279850872286"
