"pld0044","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Very often","2003","16-34 y.","lower secondary degree","12","","",""
"Very often","2003","16-34 y.","secondary school degree","27","","",""
"Very often","2003","16-34 y.","college entrance qualification","24","","",""
"Very often","2003","16-34 y.","Other degree","4","","",""
"Very often","2003","16-34 y.","no degree/no degree yet","24","","",""
"Very often","2003","35-65 y.","lower secondary degree","7","","",""
"Very often","2003","35-65 y.","secondary school degree","3","","",""
"Very often","2003","35-65 y.","college entrance qualification","7","","",""
"Very often","2003","35-65 y.","Other degree","11","","",""
"Very often","2003","35-65 y.","no degree/no degree yet","","","",""
"Very often","2003","66 and older","lower secondary degree","4","","",""
"Very often","2003","66 and older","secondary school degree","","","",""
"Very often","2003","66 and older","college entrance qualification","","","",""
"Very often","2003","66 and older","Other degree","","","",""
"Very often","2003","66 and older","no degree/no degree yet","","","",""
"Often","2003","16-34 y.","lower secondary degree","81","0.0685232412776937","0.0539468456550908","0.0830996369002966"
"Often","2003","16-34 y.","secondary school degree","98","0.0558966572502834","0.0456158675452205","0.0661774469553462"
"Often","2003","16-34 y.","college entrance qualification","110","0.0774240830302129","0.0646667939162563","0.0901813721441696"
"Often","2003","16-34 y.","Other degree","7","","",""
"Often","2003","16-34 y.","no degree/no degree yet","116","0.136451071736678","0.110400508091659","0.162501635381697"
"Often","2003","35-65 y.","lower secondary degree","53","0.0141036151507548","0.0105917740233161","0.0176154562781936"
"Often","2003","35-65 y.","secondary school degree","39","0.0125971716494543","0.00913965146691268","0.016054691831996"
"Often","2003","35-65 y.","college entrance qualification","68","0.021348362776824","0.0163697767091566","0.0263269488444914"
"Often","2003","35-65 y.","Other degree","26","","",""
"Often","2003","35-65 y.","no degree/no degree yet","3","","",""
"Often","2003","66 and older","lower secondary degree","11","","",""
"Often","2003","66 and older","secondary school degree","2","","",""
"Often","2003","66 and older","college entrance qualification","1","","",""
"Often","2003","66 and older","Other degree","2","","",""
"Often","2003","66 and older","no degree/no degree yet","","","",""
"Sometimes","2003","16-34 y.","lower secondary degree","239","0.198484894405663","0.17547234294346","0.221497445867866"
"Sometimes","2003","16-34 y.","secondary school degree","411","0.219182318052047","0.200668270825332","0.237696365278763"
"Sometimes","2003","16-34 y.","college entrance qualification","456","0.278072391925114","0.256685628400395","0.299459155449834"
"Sometimes","2003","16-34 y.","Other degree","50","0.270479227029065","0.210111862901806","0.330846591156325"
"Sometimes","2003","16-34 y.","no degree/no degree yet","206","0.336406718529645","0.300550169044948","0.372263268014342"
"Sometimes","2003","35-65 y.","lower secondary degree","411","0.109875836354038","0.100561961645599","0.119189711062477"
"Sometimes","2003","35-65 y.","secondary school degree","352","0.0956275765573495","0.0865106963706958","0.104744456744003"
"Sometimes","2003","35-65 y.","college entrance qualification","446","0.155813934205849","0.143321936229981","0.168305932181718"
